subject,z_lsc_T2W40,z_density_T2W40,z_diameter_T2W40,z_asp_T2W40
CDMS-10-4A-JURAN,0.1097090784151697,-1.465057271067364,0.6114983297813475,1.143611230726792
CDMS-10-5A-HEPIHO,-0.0409573376333546,0.1151874597676357,-0.1514028668054166,-0.1548927550785135
CDMS-10-5A-KSRAGU,-0.2616198779193388,-1.4876152411563246,0.68453537413962,1.001292557233726
CDMS-10-5A-SROPU,-0.2559216804122292,-1.7071815387069398,0.3636829719874771,0.884582729696964
CDMS-10-5A-SZURO,0.4475634422977846,-0.3365614182139204,0.3481754087441289,0.6617662113204522
CDMS-10-5B-SRAJA,-0.3094498684889811,-1.4993566035471606,0.8665891030825452,1.374678803259789
CDMS-10-5C-DAAUSA,-0.0949080800900296,-0.6626903028962923,-0.0120010509831237,0.1599426161152522
CDMS-10-5C-ICAPA,0.3586559745382356,-3.6236077858118114,1.0172848034867925,2.0993687492124584
CDMS-10-5C-JFALGI,0.291014380266211,0.5409190704269886,-0.2475563305020303,-0.5727874496643222
CDMS-10-5C-NBEMO,0.0803010026203785,-0.9094444047580228,0.3575601703044134,0.2401156333791185
CDMS-10-6B-ASCACO,-0.3685020105143559,-1.7953490137876185,1.0854295314434683,1.5267378933125024
CDMS-10-6B-JJMOBE,0.7675741055885662,-0.6034222056052962,-0.0911520510370645,-0.1977726395158343
CDMS-11-5A-EAARCA,-0.4640311925557946,-1.5705875628982435,0.9967993860847444,1.347741852802705
CDMS-11-5A-MGTHAR,-0.2238308431144981,-0.2174726098816824,-0.1353975101665809,-0.0069017345434533
CDMS-11-6A-DFVEBE,-0.2592725690624928,-0.5872971312063442,2.010915432847324,2.1816682139434365
CDMS-11-6A-NMREPR,-1.0039138948596138,-1.7238195466924295,1.4249606597968862,2.200277737747089
CDMS-11-6B-ARAHE,-0.3902559682300036,-2.220385386126744,1.05818659658832,1.7827012886996094
CDMS-11-6B-AVROTO,-0.1524513864884575,-0.1699959255421612,0.3769516538810318,0.3225996987006511
CDMS-11-6B-EAFESA,-0.6787019926556239,-2.3498088726142905,1.450745231633286,1.9220904360074025
CDMS-11-6B-EFRGR,-0.2175656688276744,-2.097366423127783,1.0107952001475582,1.5497013189561624
CDMS-11-6B-EROCO,0.252186391095457,-1.594330194089856,0.5114665216250717,1.438697210031009
CDMS-11-6B-JACUPE,-1.0309387639000898,-1.7247976489199448,0.8037988562447379,1.6180303549378767
CDMS-11-6B-JDCHBA,-0.8211407676559512,-1.4996795773475782,1.1937256211529992,1.662843975611076
CDMS-11-6B-JFSAHE,-0.1285396111949894,-0.9307629461131472,0.5266561211764521,0.5373889302567405
CDMS-11-6B-JLPENA,-1.3548297965301888,-1.3546287095625251,0.9405337262695154,1.438114469288388
CDMS-11-6B-JMARME,-0.0478245910033714,-1.3985652559373234,0.404702386976737,1.0156070862023472
CDMS-11-6B-JPSAMA,0.1273115819473238,0.1760579984154708,-0.1343148713601612,0.0792590055013486
CDMS-11-6B-LESTA,-0.6183519344041879,-1.2048893758835435,1.1245945116533402,1.3954898546332195
CDMS-11-6B-MEBRTA,-1.9030744464481428,-2.7183602328846064,2.4144745561317147,3.3698542588639158
CDMS-11-6B-MMAMO,-0.1029164670464808,-0.8868247548616898,0.5710446807832605,0.8515215020072195
CDMS-11-6B-RSECA,0.0787825760530452,-1.3233408371189783,0.2050770238883595,0.3725067576266485
CDMS-11-6B-SCAPA,-0.2839676704261528,0.0884313484516114,0.0249364104434442,0.1327928226169721
CDMS-11-6B-VZAPE,-0.189263890195298,-1.8657924417875744,0.4540523050975632,0.8048806586499258
CDMS-11-6B-YLNIME,0.192612678882157,0.2068020626424152,-0.2947358112964722,-0.2855963964780639
CDMS-11-7C-ICARE,-0.0029100889894594,-0.9371972490766028,-0.2489446822284239,0.0831724265336096
CDMS-11-7C-SALMA,-0.1217254114904282,-1.0112403926750524,0.3180068203657952,0.5927064684768378
CDMS-11-7C-SPGAVE,-0.2552052829117632,-0.7271130416702422,0.5166349204311826,1.0423724840945845
CDMS-12-5A-SRIGO,-0.5795760359787954,-1.7597785198647635,1.107322470304292,1.556505002632474
CDMS-12-6A-FAROPA,-0.1379979075010452,-0.7354842158949323,0.1234326487380835,0.217009755930584
CDMS-12-6A-JGIGA,-0.4076501921675257,0.2868917820892184,0.2719380613829005,0.2566972487567364
CDMS-12-6A-SROAL,-0.0533207100139791,-0.8074586542467329,0.6876984505021435,0.462791215463275
CDMS-12-6B-IJDAGA,-1.1463700446354828,-2.448725949459851,1.6207504600724505,2.3669454704667525
CDMS-12-6B-SCLAG,-0.6492097456378074,-2.1630478095396413,1.1613956209725926,1.977227481119308
CDMS-12-7C-CATRAR,0.6063838202672327,1.5101241616080514,-0.5207776031244091,-0.8776069177678961
CDMS-12-7C-DLOLO,-0.7699519419639844,-1.5235804532445856,0.8680518070848485,1.1389687695908353
CDMS-12-7C-JSZAOR,-0.7732052315664822,-2.474318157088068,1.692934894772667,2.786208930374213
CDMS-12-7C-MAROBE,0.0255921185168858,-0.4487234948331938,-0.1872175975386309,0.113223760560534
CDMS-12-7C-VMAPA,0.3037186345615552,-0.3828511079634947,-0.3071503158288415,-0.3540736046873043
CDMS-12-7C-VQURA,0.191146243743716,-0.5873041887695062,0.1976559909151019,0.3767345349270475
CDMS-13-6B-JDTAHE,-0.7857668701740271,-1.4019991110887398,1.1284844114443846,1.453685922636894
CDMS-13-7C-MVEAR,-0.3515244671596678,-2.2814741949884323,0.6564588367835632,1.1966266112110069
CDMS-13-7C-RAIZAC,0.1831899188402738,-0.4542591553742823,0.720722084243252,0.9582186191686204
CDMS-13-7C-SSOSLO,-0.7623127569819247,-1.2295183165932375,1.5173678866951037,2.022603279857276
CDMS-14-10A-IMORTO,-0.0365412893538945,-0.1205667498913985,-0.2625128640065907,-0.4167498641406719
CDMS-14-10A-JCVANI,-0.4181477030373844,-0.8232913063333123,0.3933591471293745,0.7510778701071394
CDMS-14-6B-KDCAHE,-1.427160613120686,0.3930532941662755,0.132760557086934,0.2410800567346508
CDMS-15-10A-AMALOS,-0.2269174034841758,-1.174600527814618,0.7003585300127838,1.0637529219634294
CDMS-15-10A-JJMACH,0.1912390863148736,-1.013640799838197,0.1188350351669305,0.4048075224255706
CDMS-15-10A-MAALCA,0.24216835557975,-0.724280270891365,-0.0460924684980185,-0.1155530350469785
CDMS-15-10A-MAALRI,-0.6265714494646754,-1.545107435830695,1.116389677975287,1.6595055567808312
CDMS-15-10A-SGOMO,-0.2487104559918631,-1.1042196910560873,0.1904567278812473,0.2142229377136636
CDMS-15-10A-SHEGA,-0.0364458805703597,-1.2966769287305042,0.6847249332172362,1.3395132265441725
CDMS-15-11B-JEMOLO,-1.5337705222432734,-2.4278856893070677,2.177242813769388,2.6395923012982783
CDMS-15-11B-VSAHO,-0.4273650934425763,-1.646455926490855,0.8391208667160813,1.4932393475601058
CDMS-16-10A-SGALO,0.4592844241518509,0.7095152991831997,-0.1074408181538779,-0.3460644301210689
CDMS-16-11B-NGABE,-0.0663315843180752,-1.0042907937552112,0.3213018716571817,0.5733792709090978
CDMS-17-10A-ASSAMO,0.2033628350643193,0.018258413363035,0.2744171105644987,0.6298184512158199
CDMS-18-7C-VVECA,-0.3425721773764936,-1.256317410435529,1.2196437995500085,1.695290974034409
CDMS-8-4A-DJAVDA,-0.1898744420588982,-1.2378273491891023,0.1461162074592878,0.5021760303646459
CDMS-8-4A-DOSTR,-2.2897857891910007,-2.4541888473695166,1.6128576840015294,2.214966718652023
CDMS-8-4A-LGOPA,-0.3659621856610371,-1.1568680726763616,1.018718983546037,1.4212726292428957
CDMS-8-4C-JDBUTU,-3.323280119991537,-2.625569472764588,3.237662001944729,4.891685877186851
CDMS-9-4A-ACDUTR,-0.0776699432094077,-2.209195267328754,1.6780031316752524,1.6128203411331192
CDMS-9-4A-CARGA,-0.0740961145318144,-0.5643689913845817,0.4090005947313138,0.4546832193917253
CDMS-9-4A-CRAAG,0.4499745928752235,-2.137324433719793,0.0777584895047167,0.7178178197031727
CDMS-9-4A-EROHI,0.1534325108385062,-1.8654714474755767,0.4189097137945392,0.9712562860723356
CDMS-9-4A-ILOSE,-0.0924473710157808,-0.3606906778823043,-0.0796299310737787,-0.104332715283233
CDMS-9-4A-TGAFR,0.0933446918707908,-0.1465949356626154,-0.3942059965305106,-0.3255181232286124
CDMS-9-4C-SCAMO,-0.1263836360991706,-0.9338003459954614,0.2089560687587832,0.4920555029213455
CDMS-9-5A-ABERO,-2.2351336121705945,-3.239705357755743,2.618210622524477,3.937137933942571
CDMS-9-5A-VVAAR,0.0738249022865957,0.2139420345343015,0.2985543191562666,0.5100296222146434
