feature,selected,ranking
asp_T2W10,True,1
diameter_T2W10,True,1
l2_T2W10,True,1
l3_T2W10,True,1
pe_T2W10,True,1
density_T2W10,False,2
lcc_T2W10,False,2
atd_T2W10,False,3
l1_T2W10,False,3
re_T2W10,False,3
edges_T2W10,False,4
lsc_T2W10,False,4
nodes_T2W10,False,4
