subject,re_T6W30,lcc_T6W30,lsc_T6W30,atd_T6W30,density_T6W30,diameter_T6W30,asp_T6W30,y_true,y_pred
CSO-12-7B-SSARA,-0.0,-0.45981701739847636,-0.0,-0.0,-0.0,-0.5552897552963669,-0.0,7,13.446124946248421
CSO-12-7B-VHOMA,-0.0,-0.563511062730555,-0.0,-0.0,-0.0,-0.7927221823045603,-0.0,22,13.10499847390815
CSO-12-8A-YTOME,-0.0,-0.2979623059955114,-0.0,-0.0,-0.0,-0.05089668736305453,-0.0,29,14.112372725584699
CSO-13-6A-ANASA,-0.0,-0.5351277883910747,-0.0,-0.0,-0.0,-0.6050348035823097,-0.0,11,13.32106912696988
CSO-13-6B-JETAVE,0.0,0.21062202615077263,-0.0,0.0,0.0,0.5613078613646025,0.0,23,15.233161606458639
CSO-13-6B-LFMIES,-0.0,0.12527580926142481,0.0,-0.0,-0.0,0.03567427380726158,0.0,23,14.622181802011951
CSO-13-6B-LJMAHU,0.0,0.07810607468145318,0.0,-0.0,-0.0,0.0011293705130846988,0.0,24,14.540467164137802
CSO-13-7A-CAPAMU,-0.0,-0.15057795251784342,0.0,-0.0,-0.0,-0.5449232394636998,-0.0,15,13.765730526961722
CSO-13-7A-CDDITR,-0.0,-0.5689651584018853,-0.0,-0.0,-0.0,-0.7703379030647262,-0.0,11,13.121928657476653
CSO-13-7A-JJATFL,-0.0,0.12028639790673443,-0.0,0.0,0.0,0.6971878845875195,0.0,18,15.278706001437518
CSO-13-7A-KRAMA,0.0,0.2575047320846751,-0.0,0.0,0.0,0.7698856143752908,0.0,17,15.48862206540323
CSO-13-7A-RXCHLU,-0.0,-0.10426444635134562,-0.0,-0.0,0.0,0.4235794466432578,0.0,5,14.780546719235177
CSO-13-7A-YAMEZA,-0.0,-0.36915316289560357,-0.0,-0.0,-0.0,-0.384732565698688,-0.0,7,13.707345990348973
CSO-13-7A-YBOSO,0.0,0.5407299800690604,0.0,-0.0,0.0,0.2538032258473119,0.0,14,15.255764924859637
CSO-13-8A-KIGAGU,-0.0,-0.015837531356598246,-0.0,-0.0,-0.0,-0.006727039364720872,-0.0,9,14.438667148221946
CSO-13-8A-MBUAN,-0.0,-0.30341333594866093,0.0,-0.0,-0.0,-0.6987520892102698,-0.0,8,13.459066293784335
CSO-13-8A-MGAAN,-0.0,-0.43850120469882664,-0.0,-0.0,-0.0,-0.5884871805352174,-0.0,25,13.43424333370922
CSO-13-8A-MGAHE,0.0,-0.1250428406128709,-0.0,-0.0,-0.0,0.02913814570946794,0.0,24,14.36532702403986
CSO-13-8A-MJAGA,0.0,0.5421808344499288,0.0,0.0,0.0,0.3967262980019053,0.0,5,15.400138851395099
CSO-13-8A-VHODU,-0.0,-0.03585863726760965,-0.0,-0.0,0.0,0.2953410223993483,0.0,17,14.720714104075004
CSO-13-8B-FCJISA,-0.0,-0.2779085434884432,0.0,-0.0,-0.0,-0.4572324943443362,-0.0,11,13.726090681110485
CSO-13-8B-JEMABE,0.0,0.48307525418294744,0.0,0.0,0.0,0.6273536164490271,0.0,9,15.571660589575238
CSO-13-9B-DMLLLU,0.0,0.25968112821959405,-0.0,0.0,0.0,0.4345015418050732,0.0,26,15.155414388967932
CSO-14-7A-MVEBE,-0.0,0.09822399835344327,-0.0,0.0,0.0,0.7439836342277051,0.0,25,15.303439351524414
CSO-14-7B-EALHU,0.0,0.0715828700258301,-0.0,0.0,0.0,0.17704137781914941,0.0,8,14.709855966788245
CSO-14-7B-EVEGO,-0.0,-0.42553861341904803,-0.0,-0.0,-0.0,-0.4423852183166141,-0.0,4,13.593307887207603
CSO-14-8A-AQUMA,-0.0,0.24767908564770255,-0.0,0.0,0.0,0.5786104444531046,0.0,9,15.287521249044072
CSO-14-8A-MCIDOS,0.0,0.60732834099971,0.0,0.0,0.0,0.4469973849443434,0.0,27,15.515557444887317
CSO-14-8A-SZARA,-0.0,-0.05909863092952361,-0.0,-0.0,-0.0,-0.014231591209097935,0.0,30,14.387901496804643
CSO-14-8B-JLLORA,-0.0,0.1430868993914668,-0.0,0.0,0.0,0.47752432541225887,0.0,31,15.08184294374699
CSO-14-9A-AEDCAGO,-0.0,-0.3678465940530143,-0.0,-0.0,-0.0,-0.5392135457341429,-0.0,7,13.554171579156108
CSO-14-9A-HASACA,-0.0,-0.2764155541211766,0.0,-0.0,-0.0,-0.32037177532839795,-0.0,19,13.864444389493691
CSO-14-9A-JSMAAL,-0.0,-0.18721890539083902,0.0,-0.0,-0.0,-0.15608687897125376,-0.0,10,14.117925934581171
CSO-14-9A-MARJA,-0.0,-0.18329881942319756,-0.0,-0.0,-0.0,-0.06463541834156403,-0.0,10,14.213297481178504
CSO-14-9A-SORZU,0.0,0.12765042525120135,0.0,-0.0,-0.0,-0.1540886807918449,-0.0,21,14.43479346340262
CSO-14-9B-ERAGA,0.0,0.3982792610467649,0.0,0.0,0.0,0.4007192474673647,0.0,6,15.260230227457395
CSO-14-9B-MFEGA,0.0,0.22440239702342696,0.0,0.0,0.0,-0.08916635413158676,0.0,27,14.596467761835106
CSO-15-10A-LJRAGU,-0.0,-0.1577263447835823,-0.0,-0.0,-0.0,-0.00822431556805441,-0.0,17,14.295281058591629
CSO-15-10A-MAARLO,0.0,0.150123591253769,-0.0,0.0,0.0,0.28379105710009817,0.0,14,14.895146367297132
CSO-15-10A-SFEGA,0.0,0.503573338361296,0.0,0.0,0.0,0.5428933918598263,0.0,5,15.507698449164387
CSO-15-10B-MEBUAR,-0.0,-0.19377389442469667,0.0,-0.0,-0.0,-0.3062843670452535,-0.0,16,13.961173457473315
