r2,rmse,mae,rho
-0.01747888576257517,8.654339031642035,7.112042805271425,0.030152550369606852
-0.011982733301070247,8.399575066540034,6.946938803069788,-0.17564425824180846
-0.010166661373193664,7.408355383986103,6.536553858446203,-0.01541098149716292
-0.00028118558985679165,8.013413552406861,6.707787603091829,0.02979456422784831
-0.006363588060898984,8.824797969312057,7.135088395337434,0.050693701876404436
-0.00210783634671019,7.163451457192465,6.3673208543018935,-0.017471773806004173
-0.02752543498756288,7.353211950985821,6.324425820522479,-0.04011674846700984
0.0024583143505130245,8.000588522954782,6.8569221500109325,0.18203702330535743
-0.007891339393783392,7.260475618478353,6.145428453042469,-0.061997027294791916
0.028471419297676492,7.952171103887748,6.690314606726127,0.19818600564854172
-0.040226652227650206,7.973610745987995,6.944467096172557,-0.1942026670684367
-0.010064290874374882,7.605531591407594,6.716498767416,-0.08115058426257982
-0.014503776118125256,7.836963606932348,6.795010775686649,-0.09313484776127304
-0.007592304801822269,8.038474567321847,6.735611113630155,-0.07909613909137525
0.0016704897403593266,7.750648902861687,6.616660624999995,0.13360768204591422
3.146831861555732e-05,8.169667175568552,6.978232818673408,0.049982929439478206
-0.031321781544602745,6.936836786540679,5.840863852375572,-0.14665104043399696
-0.0046115240644335476,7.413660089728556,6.553915470046527,0.07905548314466897
0.01036222977299428,6.785178831271554,6.001140464915287,0.20606979340746084
-0.004150938548694638,7.120964609259522,6.212928777276378,-0.03527402431572846
0.006329315805627456,8.223649044501007,6.908686411118494,0.043820650467487746
-0.014531653395043032,8.385752847287836,6.96713741587924,-0.13120959544509014
0.01325760813460819,8.167899810110283,6.953845500841243,0.22237505897585053
0.006238050657278671,7.898046795887521,6.823543292494547,0.27750224011306146
-0.02694105345086384,7.042945112235431,6.253885938364986,-0.5298861946134977
-0.009618575803164164,7.777755299982595,6.91626180227838,-0.014390989949130543
0.0007070457631921379,7.612789016759194,6.559180990721097,0.023279720560852864
-0.017063040337820468,7.413434929663934,6.380198287556568,-0.08161904444462935
-0.09733472522431486,7.873867455002849,7.011965379663452,-0.0133768502974962
-0.019991302023373736,8.137348903267846,6.948948308157093,-0.20935463949806576
-0.00021364998909190192,7.905322146910512,6.640365080172531,-0.021218354783417645
0.0021219968485512997,8.450110706921746,7.375716330815836,0.04902315316886273
0.0017837870619373808,8.649198030653155,7.216247206272235,-0.02361802139853088
-0.12147941032176446,8.28918100904634,7.060204002564143,-0.08946044984039768
0.008341281532691314,7.51837840916534,6.4960400194026,0.23350004876951888
-0.08832883097802324,7.704688177016747,6.769449807086868,-0.35771889302124493
-0.034675180411988915,7.924541311378522,6.79212030421357,-0.19517229126443245
-0.01676207598526558,7.538991869819986,6.716739324795853,-0.15081455145507658
-0.0006561467161332324,7.303201279757827,6.320761288937559,0.13911290284159525
-0.009480255516113978,8.087099566244662,6.696496068666794,-0.26088545147905273
-0.009112789488830986,7.766586526186052,6.649738313694139,-0.05546051074791418
-0.005952968618746057,7.0264190421588175,6.190269750720656,0.07851910597389107
-0.012566149870506083,8.118661465565504,6.701376987768232,-0.1500517044515652
-0.005992237353156238,7.932628834848927,6.893239433520476,-0.06812741752367235
0.0014923042679693133,7.323345171672103,6.277689199493853,0.0589041959447116
-0.0077299043271927825,7.298803892143647,6.058930948303283,-0.11974687421711028
-0.03525775569726486,7.451861907598356,6.447260260615396,-0.4464228766375314
0.0002401686266593206,7.850111431544725,6.585982617327,0.10032540586048898
-0.0209405363187829,7.472051450547853,6.5330301973092535,-0.17172293245225762
-0.007403581361792755,7.275226770009937,6.488324732235632,-0.016786606205768714
0.003691515549127944,7.675792653631961,6.6435005074380955,0.1384513922076616
-0.010597652206189911,7.724546298745194,7.00335753713424,-0.019221018103062253
-0.0023452922242748198,7.359600176831038,6.123567124587632,0.026049786160422316
-0.002207724165828262,8.475422931207873,7.15829773272999,0.04040408836702286
0.006080725201116799,7.84600359175083,6.416076272625625,0.16963722560097153
0.009574223117248315,7.27625076921905,6.328917631803899,0.30584734728694685
-0.00951159211590813,8.470448494445526,6.985228980509484,-0.2160591505050121
0.011846917191563167,8.16586371094138,6.978457333380703,0.30034290606693065
-0.001763819695899782,7.531345931666293,6.3260929591943755,0.00514228879393665
0.00896690026970648,8.112147894519936,6.978735224242327,0.19773874580153653
-0.00826102451883326,8.17405596990064,6.69657455669932,0.12568511576575092
-0.025254806898161064,7.797398927078704,6.662789240557814,-0.15527043592988563
-0.0035429065122276615,7.956527938879544,6.817660189069222,-0.020547975329550557
0.012641807913359226,8.378299907308797,7.062569175352829,0.3513703781353145
-0.019029671576458185,7.430343366667489,6.179010316529253,-0.21879390905745177
-0.002449176228566552,7.631411505424471,6.543266491649424,-0.0832907636445082
0.011988239073218776,8.437731272155009,7.210419671221957,0.4322384208299434
-0.010630809627764082,7.866872437365779,6.656428863914838,0.0030811394859952316
0.011248819198919846,7.585265341082886,6.576617631007793,0.34174179576000524
-0.025674938778172507,8.235779609355442,7.05423671358975,-0.18667613190973253
-0.03646391236078084,7.91077377918122,6.636696447272863,-0.23604023828111517
-0.002220398283112157,7.647910256502543,6.424724363455994,0.07260284616441197
0.014608932733551683,7.114523796136958,6.033246614979938,0.24083641148276339
-0.0464468923413317,7.568905030491766,6.545215849751401,-0.14684248086912677
0.0019235605443425063,7.1911380468036485,6.110884153114093,0.16144012212577513
-0.14358545251419375,8.321425910448408,7.258366519520691,-0.31820573677824143
-0.03842307004324108,6.882446348029959,6.053795676172498,-0.34657585055841944
