feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
l2_T2W30,0.2856502366446789,0.18918466887060995,1.0,400,1.0
pe_T2W30,0.24340660866370534,0.14354781068703482,1.0,400,1.0
asp_T2W30,-0.12962007834046094,0.09758221834448581,1.0,400,1.0
diameter_T2W30,-0.1145741148954955,0.09275670880878843,1.0,400,1.0
edges_T2W30,0.11197223250668492,0.13623674958533,1.0,400,1.0
lsc_T2W30,0.07216316304171615,0.09684757913635067,1.0,400,1.0
l1_T2W30,-0.059798866139902575,0.11150387887829181,1.0,400,1.0
l3_T2W30,-0.0594077713896974,0.10618961422034214,1.0,400,1.0
density_T2W30,-0.026401575002196642,0.071654174173848,1.0,400,1.0
nodes_T2W30,-0.02471229167968888,0.04531002146287847,1.0,400,1.0
atd_T2W30,0.02061260757911552,0.04648958948716544,1.0,400,1.0
lcc_T2W30,-0.013504836341320015,0.04985326048237026,1.0,400,1.0
re_T2W30,0.010065250670063036,0.0876657967060742,1.0,400,1.0
