feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
z_re,z,2,T2W10,240,-0.044945535938392275,0.48830433569272735,-0.04376714749877257,0.5006934328813779,-0.04781631874248831,0.46092676262846916,-0.037834137227068174,0.5605373705527168,0.044945535938392275,0.04376714749877257,0.04781631874248831,0.037834137227068174
z_pe,z,2,T2W10,240,0.15030767065096506,0.019824665309583964,0.15013343833827633,0.02023215837036522,0.015073582799173089,0.8162949384238241,0.013545831221243195,0.8349751160151241,0.15030767065096506,0.15013343833827633,0.015073582799173089,0.013545831221243195
z_l1,z,2,T2W10,240,-0.025918306362129953,0.6895281409791814,-0.024715459538167665,0.7038365959070926,-0.014962550789152103,0.8176243543797105,-0.004848591577513065,0.9405609329407044,0.025918306362129953,0.024715459538167665,0.014962550789152103,0.004848591577513065
z_l2,z,2,T2W10,240,0.1538151696548174,0.01709482438988619,0.1534393127209492,0.01760839299112769,0.02123476220108857,0.7434508703451855,0.017815065378730892,0.7840907350401511,0.1538151696548174,0.1534393127209492,0.02123476220108857,0.017815065378730892
z_l3,z,2,T2W10,240,-0.12807193414958024,0.04749129665575073,-0.12804451667063418,0.048009016326773325,-0.11675081682961586,0.07100709580506434,-0.11752577609807227,0.06972867279400025,0.12807193414958024,0.12804451667063418,0.11675081682961586,0.11752577609807227
z_lsc,z,2,T2W10,240,-0.028442280750584498,0.6610860638248178,-0.028949506561707146,0.6561062388997001,0.07424837779996214,0.2518663664612734,0.07104402107765012,0.27398191521136933,0.028442280750584498,0.028949506561707146,0.07424837779996214,0.07104402107765012
z_atd,z,2,T2W10,240,0.05862143133475816,0.3658915893816735,0.06045795599945299,0.35205600147878147,-0.1350998306524686,0.03647169054977371,-0.12418734686761393,0.05520584674478705,0.05862143133475816,0.06045795599945299,0.1350998306524686,0.12418734686761393
z_density,z,2,T2W10,240,-0.07458843899732873,0.24969500968370625,-0.07554271274902492,0.24466630525109861,0.03558729522767478,0.5832721034589012,0.029086911484336928,0.6545791284830772,0.07458843899732873,0.07554271274902492,0.03558729522767478,0.029086911484336928
z_diameter,z,2,T2W10,240,0.06031343066606946,0.35219471367547467,0.060726021334231294,0.34992097901473174,-0.07075723297894657,0.27491554696414683,-0.06833927015592961,0.2927118760274457,0.06031343066606946,0.060726021334231294,0.07075723297894657,0.06833927015592961
z_asp,z,2,T2W10,240,0.04174766587443748,0.5197984331683184,0.04266996278871255,0.5115010147843492,-0.11161306291137207,0.08444280142088187,-0.10587340773632517,0.10251649885995459,0.04174766587443748,0.04266996278871255,0.11161306291137207,0.10587340773632517
z_cc,z,2,T2W10,240,-0.12383895541617213,0.05538167105082214,-0.12476995695545888,0.05406468361773445,-0.10638973096168917,0.10012509040584357,-0.11390690492633535,0.0788411196209351,0.12383895541617213,0.12476995695545888,0.10638973096168917,0.11390690492633535
z_re,z,2,T2W20,237,-0.057749220067639266,0.3761154239698015,-0.05616308390092226,0.39040078469173023,-0.050019291758722016,0.4434110581259137,-0.03343114988434526,0.6093545162285742,0.057749220067639266,0.05616308390092226,0.050019291758722016,0.03343114988434526
z_pe,z,2,T2W20,237,0.13106051757747714,0.043832808117167846,0.1311962835568876,0.04406357787367196,0.025901700102789166,0.6915813736836107,0.027205518418764802,0.6775585486787365,0.13106051757747714,0.1311962835568876,0.025901700102789166,0.027205518418764802
z_l1,z,2,T2W20,237,-0.024963113267163127,0.7022166131637564,-0.02389896182132416,0.7149280615935973,-0.04429328342289834,0.49738223455535097,-0.03497160676402437,0.5929575800105739,0.024963113267163127,0.02389896182132416,0.04429328342289834,0.03497160676402437
z_l2,z,2,T2W20,237,0.13603735078545298,0.03635495242066591,0.1361360181512761,0.03661808814159548,0.030122039394318262,0.6445289625277524,0.03115229830060298,0.633970882769373,0.13603735078545298,0.1361360181512761,0.030122039394318262,0.03115229830060298
z_l3,z,2,T2W20,237,-0.14629597906222697,0.024295576779158782,-0.14615732323240244,0.024738520219726397,-0.09947714760262232,0.12673001307956597,-0.09914450784134807,0.12882690700367821,0.14629597906222697,0.14615732323240244,0.09947714760262232,0.09914450784134807
