feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_lsc_T6W30,-0.3470633967504627,0.6208008327765545,1.0,334,0.835
z_l1_T6W30,-0.16601392544792484,0.23296261962639742,1.0,217,0.5425
z_l2_T6W30,-0.14870237858958538,0.1670193441607675,1.0,263,0.6575
z_diameter_T6W30,-0.1398148674043435,0.7346968351463563,1.0,138,0.345
z_l3_T6W30,0.135022746158029,0.1483824753341829,1.0,300,0.75
z_re_T6W30,0.10901402212429898,0.16270982708914647,1.0,213,0.5325
z_pe_T6W30,-0.08809695577407291,0.13972066507779082,1.0,118,0.295
z_density_T6W30,0.08308427055119622,0.21514704568138673,1.0,108,0.27
z_atd_T6W30,0.06346791622802339,0.15724884246622278,1.0,131,0.3275
z_asp_T6W30,0.05812715408008185,0.5236007655352769,1.0,178,0.445
