subject,re_T6W30,pe_T6W30,l1_T6W30,l3_T6W30,lsc_T6W30,density_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,0.0006079623578962889,0.0005161376167393017,8.057077362460997e-05,6.485035843012323e-05,0.00014303397533287998,0.0,7,8.002246786780214
CDMS-10-5A-HEPIHO,0.0005765335749087204,0.0005849003182633323,0.00011729486608427807,0.00020736175062999955,0.00010504688521464174,0.0,11,8.002425369093292
CDMS-10-5A-KSRAGU,0.0002937997203074375,0.0004452604629740917,-6.255667249982174e-05,0.0006411922986548768,0.00019162968397562133,0.0,9,8.002343557191603
CDMS-10-5A-SROPU,-0.0006933193636921097,-0.000559684633367989,-6.508233644334882e-05,0.0007646853169828686,-0.0001623402886935449,0.0,10,8.000118490392977
CDMS-10-5A-SZURO,6.31792429156815e-05,0.00047954958203298194,7.641015952543726e-05,0.0004739224062429059,0.00014216627094616762,0.0,10,8.002069459359854
CDMS-10-5B-SRAJA,0.00018024125881748764,0.000489123462960623,8.284227417947917e-05,-0.00010233536200887064,0.0003029607486122227,0.0,4,8.001787064080752
CDMS-10-5C-DAAUSA,-0.0004732466991183799,-0.0007309114275127641,3.869873105495701e-05,-0.000296784330954966,-0.0002497059542360023,0.0,3,7.9991222820174235
CDMS-10-5C-ICAPA,-0.000648749804694046,-0.0009415885764518922,-8.019282892210639e-05,3.56807002737285e-05,-0.0001792149151116035,0.0,7,7.999020166273285
CDMS-10-5C-JFALGI,0.0001287101344523359,0.00029950471985430374,0.00013789228555857844,-0.0002832862654285923,0.00020602579553555023,0.0,12,8.001323078368163
CDMS-10-5C-MAORTO,-0.0011381527706730993,-0.0014809364915215164,-0.0001266698942730864,-0.00014780283797507813,-0.0006005046240242933,0.0,4,7.997340165079724
CDMS-10-5C-NBEMO,-0.0007538235693714092,-0.0007954535636397199,-0.00021908291729360154,-0.00024654504392608784,-0.00048077589744081547,0.0,9,7.998338550706519
CDMS-10-6B-ASCACO,0.00015553815980239824,0.0004243203301415416,0.00011803270838337695,-9.50550054547904e-05,0.0003558820455853075,0.0,9,8.001792949936648
CDMS-10-6B-JJMOBE,0.00034516642973589633,0.00033740810524567056,0.00012412461273952967,0.00010494383838029328,0.00031505589494848035,0.0,9,8.00206093057924
CDMS-11-4A-GACHSA,-0.0012016205790829416,-0.0010662833522282376,-6.0138164732252523e-05,-0.0001339842420585163,-0.0005524203837800547,0.0,2,7.997819784976309
CDMS-11-5A-EAARCA,-0.00027390882331245,0.00012912787372637062,7.534768192767182e-05,-0.00026989516019313597,0.0002940275179766756,0.0,6,8.000788930788316
CDMS-11-5A-MGTHAR,-0.001281003792078046,-0.0015734450946642724,-8.464798892755723e-05,-0.0001097144453474813,-0.0004662221653804546,0.0,9,7.997319198211793
CDMS-11-6A-DFVEBE,0.000494861075425354,0.0006754092183894939,-0.0004240421954753638,0.00028604059065965383,4.288814731029421e-05,0.0,11,8.0019093885345
CDMS-11-6A-NMREPR,0.0,0.0003967133591457804,0.00012838245456479012,0.0005970758667583968,0.00029150541161776175,0.0,9,8.002247908790277
CDMS-11-6B-ARAHE,-0.0003966100353098118,0.0004577809619487287,-0.0002516384806716529,0.00019249806129414786,-0.00020781978612879727,0.0,7,8.000628442419323
CDMS-11-6B-AVROTO,0.0002056372070521796,0.0007900183827904492,0.00010839355423553228,-1.998320885948136e-05,-0.00014283025990733257,0.0,10,8.001775467373502
CDMS-11-6B-EAFESA,2.947247755395551e-05,0.00012842283622783646,1.2191446078375565e-05,0.00025193418104391813,0.00031204123624246937,0.0,7,8.001568293875337
CDMS-11-6B-EFRGR,-0.0012832672548432076,-0.0011441039915326544,-0.00010646424610859673,-0.0004866144089325535,-0.0004407148028231706,0.0,7,7.9973730669939505
CDMS-11-6B-EROCO,5.9356221478132904e-05,0.00030161171482921765,7.740545183149675e-05,-0.0002493789209985725,-9.153335216805548e-05,0.0,8,8.000931692813163
CDMS-11-6B-JACUPE,-0.0006538569123098958,-0.0011607614698786247,-9.393595094396448e-05,-0.0002866291409903649,0.0004889774825137609,0.0,8,7.9991280257065815
CDMS-11-6B-JDCHBA,-0.000955732534564626,-0.0015108951376443622,-0.0001412576216950724,-9.462985043200535e-05,-0.0004542686375412715,0.0,6,7.997677447916313
CDMS-11-6B-JFSAHE,0.0004800136879985399,0.00048129579062047525,0.00012022687648923229,0.0003365563492336617,0.00016278535667634464,0.0,8,8.002415109759209
CDMS-11-6B-JLPENA,4.020942827352638e-05,8.289004236214943e-05,0.0,-0.00044386389399458606,-0.0001956838851240538,0.0,6,8.000317783389708
CDMS-11-6B-JMARME,-8.118296413562954e-05,-0.00012849593540784342,8.980170806911058e-05,-1.9032322477527202e-05,-4.322500431187614e-05,0.0,4,8.000652097179927
CDMS-11-6B-JPSAMA,0.00025358140463827304,0.0003847532395377823,5.652926532590582e-05,0.0004892455435522556,0.0002433507768333836,0.0,10,8.002261691928078
CDMS-11-6B-LESTA,7.540363446192199e-05,0.00030605685487399155,4.678923656553505e-05,-0.00018053225932534425,0.0003539625048307057,0.0,8,8.001435911669597
CDMS-11-6B-MAGIMU,-0.0005573192957660242,-0.0006709421394476326,9.145823610129324e-05,-0.0006649239898534395,0.0001373442770637295,0.0,9,7.999169848786289
CDMS-11-6B-MEBRTA,3.658598774883631e-05,-0.000767259720914388,-0.00018390505747732425,0.00035419899053519457,-1.884271925358511e-05,0.0,9,8.00025500917883
CDMS-11-6B-MMAMO,0.0005456878213278906,0.000687721407184311,-2.5480318114296657e-05,0.00037607929659799923,5.0455440086736066e-05,0.0,9,8.002468695345273
CDMS-11-6B-RSECA,7.71410212407512e-05,3.010696166349169e-05,7.68812870138546e-05,0.00011282254997083166,0.00039773209587883946,0.0,10,8.001528915613958
CDMS-11-6B-SCAPA,0.0002991037657667841,0.00048178384725113476,0.00010748615121679924,0.0002188566989479666,0.0001125315028017047,0.0,3,8.002053993664175
CDMS-11-6B-VZAPE,-0.0003525117133809602,-0.0005281920969720345,-8.133687820626768e-05,0.00040176547358027157,0.0002493447384682285,0.0,12,8.00052330122168
CDMS-11-6B-YLNIME,0.00039670296315925686,0.00048724369962102425,0.00011883985991856228,0.00053907459262789,0.00014046751689932648,0.0,9,8.002516560330417
CDMS-11-7C-ICARE,-0.0007881145399901058,-0.000654015502857428,4.4553431923354415e-05,-0.0004472468894799472,-0.0005067533386719262,0.0,11,7.998482654859115
CDMS-11-7C-IMOIB,0.0006544786031012532,0.0006195043038951243,0.0,0.00039304280292624694,4.167388244079176e-05,0.0,5,8.002542931290554
CDMS-11-7C-SALMA,-0.0006333346724663556,-0.0003208649566584755,0.00014408840462417413,0.00017747250092056672,0.000218951359604578,0.0,10,8.000420544334215
CDMS-11-7C-SPGAVE,-0.00012396054327393707,0.00015896074011819778,-0.00019260115148728851,5.74582384819598e-05,0.0003924265492265222,0.0,8,8.001126515531256
CDMS-12-5A-SRIGO,0.00028332730859456,0.0004664270203317977,1.161703987402618e-05,0.0004870775724549443,0.0001948273580464152,0.0,10,8.002277507997492
CDMS-12-6A-FAROPA,0.00042576180690068183,0.0003247503063030564,0.0,0.0004652260625983937,-0.00011383832576740546,0.0,14,8.001936131548225
CDMS-12-6A-JGIGA,6.258776887482938e-05,-0.00026116992243074876,0.0,0.00047951357007207715,0.000202001128726518,0.0,7,8.001317164243433
CDMS-12-6A-JSOTGU,-0.00043802790297879966,0.0,-3.5170844258596142e-06,-0.0002656034949165627,-2.833081137033238e-05,0.0,8,8.000098752404499
CDMS-12-6A-SROAL,0.00030795680596170294,0.0004973179478159709,4.887575636158066e-05,0.0003602728302803433,0.00019518185184714087,0.0,10,8.002243836890457
