feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
pe_T6W200,0.20936136555042442,0.14526239409585212,1.0,66,0.165
cc_T6W200,0.15560385961804749,0.10992480701186216,1.0,324,0.81
l1_T6W200,-0.12386507759565267,0.0978365646000411,1.0,88,0.22
l2_T6W200,0.07601599547537717,0.08646721160371348,1.0,27,0.0675
density_T6W200,0.058562814772733895,0.035745016418426555,1.0,289,0.7225
asp_T6W200,-0.05427816248581742,0.05368976959275483,1.0,289,0.7225
atd_T6W200,0.046206155557424404,0.03090066155531119,1.0,301,0.7525
lsc_T6W200,-0.045060978802391474,0.027971700524234016,1.0,103,0.2575
re_T6W200,0.044886379431438465,0.040560512812198905,1.0,54,0.135
l3_T6W200,0.04225584842479335,0.05764133174791061,1.0,60,0.15
nodes_T6W200,-0.041772352007335124,0.03272554447113464,1.0,137,0.3425
lcc_T6W200,-0.04121853132858159,0.035019814012220374,1.0,206,0.515
diameter_T6W200,-0.03694732476632986,0.04200275957483656,1.0,36,0.09
edges_T6W200,-0.0015495407166897718,0.05003650288579029,1.0,20,0.05
