feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
nodes,raw,6,T6W150,252,-0.10118430155675641,0.1090715367374095,-0.11666056687244508,0.06498937810586795,0.1506649339295206,0.016687592866292563,0.07793961402308384,0.2185081184920069,0.10118430155675641,0.11666056687244508,0.1506649339295206,0.07793961402308384
edges,raw,6,T6W150,252,-0.03716084108508862,0.5570827683433874,-0.03929864275268386,0.5354294430643481,0.026537039808606964,0.6750393435490751,0.0058363171308824175,0.9266949442248594,0.03716084108508862,0.03929864275268386,0.026537039808606964,0.0058363171308824175
re,raw,6,T6W150,252,0.08307544067997437,0.1886784936717707,0.09819754529578595,0.12072714576020553,-0.1590208026736694,0.01147363112471723,-0.0839939415504903,0.1847015882155022,0.08307544067997437,0.09819754529578595,0.1590208026736694,0.0839939415504903
pe,raw,6,T6W150,252,0.03249549266064041,0.607656903411112,0.036467838172434715,0.565246227368584,-0.06028304385548882,0.3405530742660411,-0.024354382778476676,0.7009955018325099,0.03249549266064041,0.036467838172434715,0.06028304385548882,0.024354382778476676
l1,raw,6,T6W150,252,-0.03299456761482799,0.6021505119174867,-0.029546048847722176,0.6413138154525871,-0.032016134424086067,0.612966675169981,0.011572622997027668,0.8552407584442356,0.03299456761482799,0.029546048847722176,0.032016134424086067,0.011572622997027668
l2,raw,6,T6W150,252,0.025508297398262346,0.6869599484872173,0.02712984005723514,0.6688325579311268,-0.007469559828269106,0.906077393914212,0.00924317792656561,0.8841490366997871,0.025508297398262346,0.02712984005723514,0.007469559828269106,0.00924317792656561
l3,raw,6,T6W150,252,0.05666291176295561,0.37038964705839195,0.06792288564612803,0.2837344236737567,-0.19424384718006368,0.001949936586563092,-0.12944303350760972,0.04044688770842725,0.05666291176295561,0.06792288564612803,0.19424384718006368,0.12944303350760972
lcc,raw,6,T6W150,252,-0.10129726145902174,0.10867472910960037,-0.11679848650448477,0.06467067858317016,0.15040374195217196,0.016879489906935795,0.07760325891212276,0.2205080216421468,0.10129726145902174,0.11679848650448477,0.15040374195217196,0.07760325891212276
lsc,raw,6,T6W150,252,-0.09525296848265812,0.13155269106816636,-0.11065361798976842,0.08016846373996027,0.14836007584203195,0.018448575865070403,0.07429872188294452,0.24085222580074847,0.09525296848265812,0.11065361798976842,0.14836007584203195,0.07429872188294452
atd,raw,6,T6W150,252,0.100699061843703,0.11078906471790367,0.11619434086568331,0.0660762629937661,-0.14708065215037502,0.01949421192824889,-0.07383271716925259,0.24382358504350113,0.100699061843703,0.11619434086568331,0.14708065215037502,0.07383271716925259
density,raw,6,T6W150,252,0.1009760200093901,0.10980617720657138,0.11452230825363591,0.07009723385762713,-0.13892153033836546,0.02745059844718115,-0.07102514468232447,0.26226677072833315,0.1009760200093901,0.11452230825363591,0.13892153033836546,0.07102514468232447
diameter,raw,6,T6W150,252,-0.07580700602272786,0.23047263904605214,-0.08088676902026334,0.20153708739060885,0.1285186318737615,0.04150113973674654,0.09246593075769792,0.14408274861486545,0.07580700602272786,0.08088676902026334,0.1285186318737615,0.09246593075769792
asp,raw,6,T6W150,252,-0.10369156104856601,0.1005281105455869,-0.11491934369486285,0.06912479930812379,0.12582591806331694,0.04599584956739429,0.06537714046419715,0.30221137134950327,0.10369156104856601,0.11491934369486285,0.12582591806331694,0.06537714046419715
cc,raw,6,T6W150,252,0.08064886683264003,0.20196418830039795,0.08635614835486677,0.17261204492862525,-0.12521596466483514,0.0470687233280618,-0.08596236839349759,0.174585444096993,0.08064886683264003,0.08635614835486677,0.12521596466483514,0.08596236839349759
nodes,raw,6,T6W200,248,-0.0875876063388653,0.16912943353430251,-0.09955453580466438,0.11862642338039044,0.14288759805911525,0.02442435353884168,0.07687546755588916,0.22864891434064685,0.0875876063388653,0.09955453580466438,0.14288759805911525,0.07687546755588916
edges,raw,6,T6W200,248,-0.056609299172786405,0.37470624017767334,-0.058869050789707625,0.35689073217743233,0.01978136967858269,0.7565808385597412,-0.0020432025996320368,0.9745130447427114,0.056609299172786405,0.058869050789707625,0.01978136967858269,0.0020432025996320368
re,raw,6,T6W200,248,0.061199895834850575,0.3371519164198782,0.073162819955882,0.25198254868257125,-0.14619448896843348,0.021277196834291908,-0.07390063257318112,0.24721881812685592,0.061199895834850575,0.073162819955882,0.14619448896843348,0.07390063257318112
