subject,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,1.7890625440202124,0.06382179173699465,6,16.443471898410436
CDMS-10-5A-HEPIHO,-0.545777837954145,-0.4270902942653064,25,13.61771943043378
CDMS-10-5A-KSRAGU,-0.6850466000933767,-0.5851047348323426,19,13.320436227727512
CDMS-10-5A-SROPU,0.028326876438747733,0.20786289316291964,19,14.826777332254899
CDMS-10-5A-SZURO,-0.22343267098765823,0.734971121134542,12,15.102126012800115
CDMS-10-5B-SRAJA,-0.33455822102930216,-1.3714782191095103,30,12.884551122514418
CDMS-10-5C-DAAUSA,-0.5367096737918658,-0.781710858997116,18,13.27216702986425
CDMS-10-5C-ICAPA,-0.38407334244557634,0.920835749449106,16,15.12734996965676
CDMS-10-5C-JFALGI,-1.1476030751383972,-0.13082878195507153,19,13.312155705559762
CDMS-10-5C-MAORTO,-0.814079230651728,0.5051926629006508,28,14.281700994902154
CDMS-10-5C-NBEMO,1.851224010769134,0.37023419574644173,22,16.812045769168808
CDMS-10-6B-ASCACO,2.1629060413966767,0.6444224162180687,14,17.397916020267978
CDMS-10-6B-JJMOBE,-1.1878849575050554,0.7302071670951277,13,14.132909772243304
CDMS-11-5A-EAARCA,0.5843653678273648,-0.6308522047388082,26,14.544100725741787
CDMS-11-5A-MGTHAR,-1.1852274555317217,-0.13068763435707328,16,13.274672472764436
CDMS-11-6A-DFVEBE,-1.3104145753710446,-0.7718770535389227,7,12.508295933743264
CDMS-11-6A-NMREPR,-1.5383545855766618,-1.9624626486470687,23,11.089770328429502
CDMS-11-6B-ARAHE,-0.7446322044639411,-0.3031269469638544,13,13.542828411225436
CDMS-11-6B-AVROTO,-0.13835469716553603,-0.19849859350838892,15,14.253734271979306
CDMS-11-6B-EAFESA,-0.6390416528769532,0.9642697902524862,2,14.915815700028764
CDMS-11-6B-EFRGR,-0.8906848240041993,0.6442980200199689,10,14.344200758669
CDMS-11-6B-EROCO,-0.6999505904481436,-0.3698492754457811,13,13.520787696759307
CDMS-11-6B-JACUPE,-0.298836692413251,0.9339790232922486,22,15.225729893532229
CDMS-11-6B-JDCHBA,-1.022471236812362,-2.0320320501120577,13,11.536084275728811
CDMS-11-6B-JFSAHE,0.8897750674985052,0.08233217474560128,12,15.562694804897337
CDMS-11-6B-JLPENA,-1.093369392851006,-0.004878677698249624,7,13.492339492103975
CDMS-11-6B-JMARME,0.5108845210308649,0.2726194355368787,8,15.374091519220975
CDMS-11-6B-JPSAMA,0.8023509492329761,-0.3459496937457927,0,15.046988818140415
CDMS-11-6B-LESTA,-0.23010926473331936,0.23754180655527693,21,14.59802010447519
CDMS-11-6B-MAGIMU,-2.460170835805797,1.4569389277012683,26,13.587355654548702
CDMS-11-6B-MEBRTA,-0.24586434721607522,0.9006791451330874,17,15.245402360570242
CDMS-11-6B-MMAMO,0.02014720564199696,0.12640085120928735,9,14.737135619504516
CDMS-11-6B-RSECA,0.4732674321466958,-0.3395965800885153,1,14.72425841471141
CDMS-11-6B-SCAPA,-1.1498774978793869,-1.3299953397742763,10,12.110714724999568
CDMS-11-6B-VZAPE,0.7013335833681696,0.7563040424232698,21,16.048225188444672
CDMS-11-6B-YLNIME,0.012779318280297058,0.007615730999341486,8,14.61098261193287
CDMS-11-7C-ICARE,1.2617843953282193,-2.1084901856503255,17,13.743881772331125
CDMS-11-7C-SALMA,-0.568261241947485,0.995740787727778,18,15.018067108433524
CDMS-11-7C-SPGAVE,-0.4712159145276942,-0.0201591194696621,8,14.099212528655874
CDMS-12-5A-SRIGO,1.5623461853853786,0.2003949411050238,15,16.353328689143634
CDMS-12-6A-FAROPA,-1.163696230694494,0.1457374694279101,23,13.572628801386648
CDMS-12-6A-JGIGA,-0.5689193268952936,0.7767825493715658,1,14.798450785129504
CDMS-12-6A-JSOTGU,-0.23750198944985154,0.15070039140579178,21,14.503785964609172
CDMS-12-6A-SROAL,-1.3884227034508778,-0.3653446305297586,24,12.836820228672595
CDMS-12-6B-IJDAGA,0.7645410636904579,-0.07131116442662336,25,15.283817461917065
CDMS-12-6B-SCLAG,1.8409398536584087,-1.4371427469229674,31,14.994384669388673
CDMS-12-7C-ARAHE,3.3060646487359766,0.7537994095954675,22,18.650451620984676
CDMS-12-7C-CATRAR,-1.8491994395881026,-1.212559717062957,12,11.528828406002171
CDMS-12-7C-DLOLO,1.2117856490295704,0.45476668136883136,19,16.257139893051633
CDMS-12-7C-JSZAOR,-1.2738649078814566,-0.5496645249248165,10,12.767058129846959
CDMS-12-7C-MAROBE,-1.2231466568771372,-0.9046669409186701,9,12.462773964857425
CDMS-12-7C-VMAPA,-0.4886128886241047,0.324464091243369,12,14.426438765272495
CDMS-12-7C-VQURA,0.37565738040974483,0.4752554036685627,13,15.441500346731539
CDMS-13-6B-ASUMO,-2.1719147681234237,-3.8877061528595127,5,8.530966641670295
CDMS-13-6B-JDTAHE,0.9488292724998608,0.45390787105750424,21,15.993324706210597
CDMS-13-7C-MVEAR,1.6639624281899665,1.197331744409513,27,17.451881735252712
CDMS-13-7C-RAIZAC,-0.47202323153886094,-1.063065482005337,5,13.055498849109034
CDMS-13-7C-SSOSLO,1.4340252000035059,-1.2754224110757315,23,14.749190351581005
CDMS-14-10A-IMORTO,0.15677078352934345,-0.31496496523314355,11,14.432393380949431
CDMS-14-10A-JCVANI,-0.4486804064801549,-1.2569949382685512,22,12.884912217904525
CDMS-14-6B-KDCAHE,-1.8418958356402266,-1.1100968056650224,22,11.638594921347982
CDMS-15-10A-AMALOS,-0.1767686166029468,0.0631929111079224,16,14.477011857158207
CDMS-15-10A-JJMACH,0.06430812550422056,0.0699780498365384,6,14.72487373799399
CDMS-15-10A-MAALCA,3.807704461149085,0.4356609900570477,13,18.833953013859364
CDMS-15-10A-MAALRI,-0.9317509600604611,0.2546049056220862,12,13.913441508214856
CDMS-15-10A-SGOMO,1.6948769004479038,0.8179540213757475,12,17.103418484476883
CDMS-15-10A-SHEGA,-0.08353926477519225,-0.01153591705688376,13,14.495512380821156
CDMS-15-11B-JEMOLO,-1.080931946596287,-0.6799830593037086,19,12.829672556753236
CDMS-15-11B-VSAHO,0.44106006575131806,0.47016913650402026,12,15.50181676490857
CDMS-16-10A-SGALO,-0.6949826756166693,-0.561300738541596,20,13.334304148494965
CDMS-16-11B-NGABE,1.5115365334582813,-0.31990214242310705,28,15.782221953688406
CDMS-17-10A-ASSAMO,-1.191942024222205,-0.9073128404899221,11,12.491332697941104
CDMS-18-7C-VVECA,-0.9807112924644924,-0.7375406186828235,5,12.872335651505916
CDMS-8-4A-DBEVA,-0.6319140834240089,1.6997409868743447,21,15.658414466103567
CDMS-8-4A-DJAVDA,-2.7346283833845195,1.6869979196521616,5,13.542957098920873
CDMS-8-4A-DOSTR,-0.8094367833234869,0.5258258818447399,17,14.306976661174485
CDMS-8-4A-LGOPA,0.4429231649634768,0.06638838169786282,12,15.09989910931457
CDMS-8-4C-JDBUTU,-0.2508015837423701,-0.5032830948248338,7,13.836502884086027
CDMS-9-4A-ACDUTR,0.6276712811128445,1.691790398903597,5,16.910049242669672
CDMS-9-4A-CARGA,0.1481392344764493,0.2154209571355453,8,14.954147754265225
CDMS-9-4A-CRAAG,1.7365437723337882,1.886173053880147,32,18.213304388867165
CDMS-9-4A-EROHI,-0.5627076552049969,0.533809265337273,5,14.561689172785508
CDMS-9-4A-ILOSE,-0.5981425036019035,-0.30417265178165087,7,13.688272407269677
CDMS-9-4A-TGAFR,-1.0609926597235357,-0.5983373087529142,6,12.931257594176781
CDMS-9-4C-SCAMO,-0.17822307020516306,-0.013730624751364903,10,14.398633867696702
CDMS-9-5A-ABERO,1.1773710664947985,0.13293917210878003,22,15.900897801256809
CDMS-9-5A-VVAAR,-0.6614023692366288,0.040276434802844346,5,13.969461628219447
CDMS-9-5C-JDMADE,0.11938878088761093,0.030720744759474002,15,14.740697088300315
CDMS-9-5C-LVIZAC,0.37809506678952975,-0.6215865568497256,6,14.347096072593036
CDMS-9-5C-MLOGO,-1.5587093352735473,-1.6389475946917111,5,11.392930632687973
CDMS-9-5C-SCAAG,5.074098005628008,-1.9371817001318459,21,17.72750386814939
CDMS-XX-10A-VGILO,-0.05795325626004479,0.5221701536376205,17,15.054804460030807
CDMS-XX-5C-MPCAQU,0.36775904609762805,-0.05241674027924223,24,14.905929868471617
CDMS-XX-6B-SPUCA,1.0263489444761444,1.0148566602670825,2,16.63179316739646
CSO-10-4A-KCOMO,-0.3023551530433681,0.13875709133727965,8,14.426989500947142
CSO-10-4A-LRAVI,1.2393865114287523,0.6818295126873425,16,16.511803586769325
CSO-10-4A-LSCAVA,0.372875889028081,-0.29473807787685696,22,14.668725373804456
CSO-10-5A-ACAVA,-0.39524401905544987,0.5510329826354748,9,14.746376526233256
CSO-10-5A-ARACA,-0.23257249541318423,-0.8847836105014484,5,13.4732314567386
CSO-10-5A-DABRZA,1.3313793859821974,-0.05342923075021771,10,15.86853771788521
CSO-10-5A-GZAMA,-1.420482420012505,0.11410707792485904,20,13.284212220565585
CSO-10-5A-IPECA,-0.5167170429792282,-0.5374462963659251,27,13.536424223308078
CSO-10-5A-JANORO,-0.1747792830253848,-0.28771788977195506,15,14.128090389855892
CSO-10-5A-JBUVE,1.262678135164676,-0.07067845553196009,9,15.782587242285947
CSO-10-5A-JJSEMO,1.7373339598742834,0.13477724520746048,23,16.462698767734974
CSO-10-5A-JLCARI,2.9908798551353146,0.4179339575765423,24,17.99940137536509
CSO-10-5A-MAARAN,-0.8016647860404545,-0.5371547946734699,7,13.251767981939306
CSO-10-5A-RVMOIB,0.6072235060801303,0.38704729104574265,15,15.584858359779105
CSO-10-5A-SVHEES,0.17899942234732594,1.1311903412033357,10,15.900777326203892
CSO-11-5A-MDVOSPE,0.033293593130628546,-1.2704076836374913,8,13.35347347214637
CSO-11-5A-MTAGA,-1.3874303465679592,-0.033448608444500996,12,13.169708607640771
CSO-11-6A-CAPAMU,0.9232635479736531,-0.44227707156752094,6,15.071574039059364
CSO-11-6A-DSCACH,-0.3018184645179431,0.47734571185773644,2,14.766114809993024
CSO-11-6A-EROMO,0.627161463242986,0.651029418745635,14,15.868778444641853
CSO-11-6A-FSOVRE,1.918220986623006,0.22849758852225333,15,16.73730613779849
CSO-11-6B-ANREVA,0.6671640742792976,0.8539388282274955,18,16.111690465160024
CSO-11-6B-DISEMO,-1.0621940771371439,0.6317903788200403,2,14.160183864336128
CSO-11-6B-LHFDLACH,1.6273044344377932,0.2209151068987163,21,16.438807103989742
CSO-11-6B-RJGIHE,-1.8958427870804233,0.02333010137931201,7,12.71807487695212
CSO-11-6B-SFLVA,2.5985821377314555,0.45904476485844714,22,17.648214465243136
CSO-11-6B-VCOMA,0.1855430009017679,-0.5107518257020219,28,14.265378737852977
CSO-12-6A-DGISE,2.119437816099656,-0.1091615481890632,7,16.600863830563824
CSO-12-6A-FJOVRE,0.35173613752630295,0.5239074804233826,8,15.466231180602916
CSO-12-6B-GQULO,0.2996715949513456,-0.439000730502251,7,14.451258427102326
CSO-12-6B-LJHEFE,-0.2572950417180431,-0.04075926408055693,2,14.29253325685463
CSO-12-6B-VPAMA,-1.4132487763612531,0.836999564464637,23,14.014338350756615
CSO-12-7A-DALRE,-1.6086562346019846,1.3693487963339381,23,14.351280124385184
CSO-12-7A-ESALA,-0.34122552045286625,0.31731959438559315,17,14.566681636585958
CSO-12-7A-IMERO,-0.4582247560944404,0.25839909259460897,18,14.3907618991534
CSO-12-7A-JHEZA,0.5939951831270086,-0.5191947157079337,23,14.665388030072306
CSO-12-7A-LSARAR,-1.3613876156407854,0.8551155926935137,20,14.08431553970596
CSO-12-7A-SCAHO,-0.5339502513917603,-0.38186778737198296,6,13.674769523889488
CSO-12-7B-DVAGRO,0.3212363882734872,-0.013446085832643782,21,14.898377865094075
CSO-12-7B-SMUGU,-0.5783632941468964,0.5060398555614279,12,14.518264124067763
CSO-12-7B-SSARA,1.075362983080294,0.227875051952923,7,15.893825597686448
CSO-12-7B-VHOMA,0.7550968311418967,-0.8268107390520761,22,14.518873654743052
CSO-12-8A-YTOME,2.0140335197960617,-0.3158817493176304,29,16.288739333131662
CSO-13-6A-ANASA,-0.44212215822085243,-0.4326398046043802,11,13.715825599827998
CSO-13-6B-JETAVE,1.6709266322638998,0.01732031658486969,23,16.278834511502
CSO-13-6B-LFMIES,0.32980294557384593,-0.40111103031195844,23,14.519279477915118
CSO-13-6B-LJMAHU,2.4575735287994003,1.151654852030918,24,18.19981594348355
CSO-13-7A-CAPAMU,0.6951009555831221,-0.1620366327722307,15,15.123651885464122
CSO-13-7A-CDDITR,0.4895876896805317,-1.027061889247414,11,14.053113363086348
CSO-13-7A-JJATFL,-0.1008455984745949,-1.489791399412057,18,12.999950564766579
CSO-13-7A-KRAMA,0.859356277217637,-0.4429506220728719,17,15.006993217797996
CSO-13-7A-RXCHLU,1.02216951513683,0.7676003835545209,5,16.38035746134458
CSO-13-7A-YAMEZA,-0.07645010800629545,-0.10542687906908337,7,14.408710575577853
CSO-13-8A-KIGAGU,0.6604380741529369,-0.17650697651929037,9,15.074518660286877
CSO-13-8A-MBUAN,-1.0572495064303338,-1.37480455813648,8,12.158533498086417
CSO-13-8A-MGAAN,-0.40961546144031075,-0.015131495869599788,25,14.16584060534332
CSO-13-8A-MGAHE,1.2987368883829982,0.5200981768435361,24,16.409422627879767
CSO-13-8A-MJAGA,0.9709161613268918,-0.4575929161648201,5,15.103910807815303
CSO-13-8A-VHODU,0.8264232783633217,-0.4218415435576856,17,14.995169297458867
CSO-13-8B-FCJISA,0.2710062787307677,-0.13056168649152258,11,14.731032154892477
CSO-13-8B-JEMABE,0.9448871882016856,-0.7932750822051534,9,14.742199668649763
CSO-13-9B-DMLLLU,-1.0167992106575878,0.6994327113441274,26,14.27322106333977
CSO-14-7A-MVEBE,-0.3876824114915006,0.2835057364691927,25,14.486410887630923
CSO-14-7B-EALHU,2.647369406142867,0.7233974698475297,8,17.961354438643628
CSO-14-7B-EVEGO,0.09810867899834778,-0.016089658639460564,4,14.672606583012119
CSO-14-8A-AQUMA,-0.9688214371149761,0.04300436082320439,9,13.664770486361459
CSO-14-8A-MCIDOS,4.2417907448990775,1.7141463759593978,27,20.546524683511706
CSO-14-8A-SZARA,1.2862020183652536,-0.35150998758670443,30,15.52527959343178
CSO-14-8B-JLLORA,-2.289097088910001,0.205168366133938,31,12.506658839877169
CSO-14-9A-AEDCAGO,-0.19858198171833244,0.7635320561104855,7,15.155537637045384
CSO-14-9A-HASACA,-0.8311732434897336,0.43412818696585115,19,14.193542506129349
CSO-14-9A-JSMAAL,-0.3113019431835853,0.09313147519364331,10,14.37241709466329
CSO-14-9A-MARJA,-1.1854728037615079,-0.6509516977172181,10,12.754163061174506
CSO-14-9A-SORZU,-1.359841079920576,0.38349930456279435,21,13.614245787295449
CSO-14-9B-ERAGA,-1.9138658427373916,-0.4034823762363263,6,12.273239343679514
CSO-14-9B-MFEGA,2.0833926317857574,0.8246309242013689,27,17.49861111864036
CSO-15-10A-LJRAGU,1.5911248478718532,-0.05111917614007385,17,16.13059323438501
CSO-15-10A-MAARLO,-0.26601080352381923,-1.1196143679444694,14,13.204962391184942
CSO-15-10A-SFEGA,-1.2181331465466483,0.7373423947781935,5,14.109796810884777
CSO-15-10B-MEBUAR,-0.0913053198556023,-1.2396578963417095,16,13.259624346455919
CSO-15-10B-YVBUAN,-0.8698209546917446,0.23555341865791385,24,13.9563200266194
CSO-15-10C-ALBAHO,-0.053655503463634936,0.056002160513610955,13,14.592934219703206
CSO-15-10C-SSCAMO,-1.8388782422144372,-1.405644990953382,10,11.346064329485412
CSO-15-11C-JETALO,-0.2471275469185075,-0.796914714638987,15,13.546545301095737
CSO-15-7B-JCRAGA,-1.510448311221641,0.973488663785909,20,14.053627915217499
CSO-15-8A-VBMABR,-0.45933664794182044,0.6222371808998933,31,14.753488095611305
CSO-15-8B-KEPOGO,0.015912790841080063,-0.1428340805013022,7,14.46366627299301
CSO-15-9B-ALRIHE,-0.528434013172331,0.07363613462083272,8,14.135789684101733
CSO-15-9B-AMSAGO,0.45651263502328454,0.6023346022112409,32,15.649434799887757
CSO-15-9B-JCAPA,0.10254753980529287,-0.7602323398119715,14,13.932902762646552
CSO-15-9B-KSBEJA,-1.0434250440377149,-0.3908225631617725,28,13.156339955453744
CSO-15-9B-RMCHLU,0.5844183197032043,-0.025253169041300448,9,15.149752713315134
CSO-16-10A-JEGAHE,-3.6064350540599994,-1.856759804449727,9,9.127392704143505
CSO-16-10A-MSACO,-2.1237495995997877,-2.1006068201063015,15,10.366231142947143
CSO-16-10A-SMOUT,-1.3903159793513977,0.9630899381920598,4,14.163361521493893
CSO-16-10A-YKMUJO,2.9482350577251037,1.1336302496817137,15,18.67245287006005
CSO-16-10B-JESUGU,-1.737086886661631,0.15382587539176298,10,13.007326551383363
CSO-16-10B-LTVIFA,0.7366945877283231,-1.4674683145320468,20,13.859813835849508
CSO-16-10B-VVILI,0.5789519538250739,0.7654843655557073,30,15.935023882034013
CSO-16-10C-ACALGU,-0.21040014593874157,-0.5769011649679432,19,13.803286251746547
CSO-16-10C-MAVAVE,-0.2665798889203708,-0.23680925223192334,11,14.087198421500936
CSO-16-11A-JAVABO,0.6863159503229901,-0.2988349742023288,16,14.978068538773892
CSO-16-11A-JDMUVA,0.6011779360596603,0.7555613376878421,23,15.947326836400734
CSO-16-11A-VZAOR,-0.12798141676430144,-0.7748155272730636,4,13.687790618615866
CSO-16-11B-KRORE,-0.8767656949092241,-0.7038343673600798,8,13.009987500383927
CSO-16-11B-LLOZA,1.403441221322377,-0.45788854960738434,9,15.536140234368224
CSO-16-11B-YAROMO,0.2355231872135974,-0.06839444703505457,13,14.757716302831774
CSO-16-9A-JALEMO,0.3679705314654864,0.02467370887041875,13,14.983231802989136
CSO-16-9A-JPROSO,0.22500629265623573,-0.06774270848444167,2,14.747851146825026
CSO-16-9A-JSMAGU,-0.16023497680393564,0.3350743062024432,19,14.765426892051739
CSO-16-9B-SJPAJI,-0.682839164431548,0.9134596275296258,24,14.821208025751309
CSO-17-10A-YVGOCA,-0.6667664022320412,0.43300179355531804,24,14.356822953976508
CSO-17-10B-EHECO,-0.9089162709605181,-0.951779842746681,15,12.729891448946033
CSO-17-10B-YCQUVE,1.3622895572199625,0.4372425692020338,12,16.390119689075227
CSO-17-11A-DJAPA,-0.3594127892867793,0.7484144633632505,16,14.979589236729701
CSO-17-11A-JDAMO,-1.5771596767665987,0.20874493807278474,6,13.222172823959417
CSO-17-11A-NPAHE,2.1747302764032717,0.33121166945975433,17,17.09652950851626
CSO-17-11A-RLPAIG,-0.07535079016814457,-1.42130778778644,4,13.093928984698646
CSO-17-11A-SPUVA,-1.270416056568376,0.30743838093359377,6,13.62760988701845
CSO-17-11B-CDBEBU,2.2972948212197357,-0.14022443832322415,13,16.747657945549744
CSO-17-11C-JDAAG,1.6421821578486193,0.07744946918437351,7,16.310219189686222
CSO-17-11C-MAPAMA,0.6860904019413376,0.020530202661249875,7,15.29720816725582
CSO-17-11C-MCAAG,1.027250343519363,0.023992476568745872,12,15.64183038274134
CSO-17-11C-SARJA,-0.25399462701444697,-0.00849051936674542,8,14.328102416272039
CSO-18-11A-ADBAHO,-0.4320891749363401,-0.3291254270994352,19,13.829372960617455
CSO-18-11B-YLLRE,0.5323219229121783,-0.911567328266661,22,14.211342157298748
CSO-18-9B-MAMOLO,-0.059773144557418334,-0.4657815387172339,10,14.06503287937858
CSO-8-3A-AIPRBR,-1.5922612365075435,0.5920904328216923,1,13.590416758967379
CSO-8-3A-DAPAVA,0.1695542735558737,-1.5614167549252844,9,13.19872508128382
CSO-8-3A-KVPECO,3.805759960697209,1.4506235076945688,23,19.84697103104501
