subject,z_pe_T2W10,z_l3_T2W10
CDMS-10-4A-JURAN,1.3592261913254147,-0.12885652471589476
CDMS-10-5A-HEPIHO,-0.47880252816982416,0.4773318981341566
CDMS-10-5A-KSRAGU,-0.58843742506329,0.6724514057732817
CDMS-10-5A-SROPU,-0.026856878609212168,-0.30672146344660767
CDMS-10-5A-SZURO,-0.22504656307302146,-0.9576056329268134
CDMS-10-5B-SRAJA,-0.3125266126828924,1.6434816896006013
CDMS-10-5C-DAAUSA,-0.47166390477952963,0.9152247245168473
CDMS-10-5C-ICAPA,-0.35150581482237525,-1.1871151298697924
CDMS-10-5C-JFALGI,-0.9525702763215427,0.11150203975566361
CDMS-10-5C-MAORTO,-0.6900142534192052,-0.673870428246874
CDMS-10-5C-NBEMO,1.4081608260064595,-0.5072209146431552
CDMS-10-6B-ASCACO,1.653522576671225,-0.8457942145699748
CDMS-10-6B-JJMOBE,-0.9842809051237731,-0.9517230036984323
CDMS-11-5A-EAARCA,0.4108667123511521,0.728941330186857
CDMS-11-5A-MGTHAR,-0.9821888713441567,0.11132774777496214
CDMS-11-6A-DFVEBE,-1.0807384438768175,0.903081737633268
CDMS-11-6A-NMREPR,-1.2601769563826217,2.373241517246463
CDMS-11-6B-ARAHE,-0.6353442941354136,0.32425938650826003
CDMS-11-6B-AVROTO,-0.15807163815361763,0.19506212619418198
CDMS-11-6B-EAFESA,-0.5522214957537473,-1.2407483840579616
CDMS-11-6B-EFRGR,-0.7503195666829545,-0.845640607565208
CDMS-11-6B-EROCO,-0.6001701167361901,0.40664950120417853
CDMS-11-6B-JACUPE,-0.28440597711077126,-1.203344716936882
CDMS-11-6B-JDCHBA,-0.8540642223993463,2.4591472566958807
CDMS-11-6B-JFSAHE,0.6512907702618213,-0.15171352946742384
CDMS-11-6B-JLPENA,-0.9098765374356697,-0.044023760554098026
CDMS-11-6B-JMARME,0.3530212562816502,-0.3866841846958636
CDMS-11-6B-JPSAMA,0.5824689178606255,0.3771378021635809
CDMS-11-6B-LESTA,-0.2303024988310583,-0.3433696010952945
CDMS-11-6B-MAGIMU,-1.985847436942765,-1.849106450466562
CDMS-11-6B-MEBRTA,-0.24270518567204666,-1.162225336913498
CDMS-11-6B-MMAMO,-0.033296063898499983,-0.20613044492809923
CDMS-11-6B-RSECA,0.32340840126736375,0.3692928456878626
CDMS-11-6B-SCAPA,-0.954360743177644,1.5922577700506013
CDMS-11-6B-VZAPE,0.502946214269956,-0.9839479664719231
CDMS-11-6B-YLNIME,-0.039096198536123,-0.05945211548525207
CDMS-11-7C-ICARE,0.9441432640553963,2.553559347816776
CDMS-11-7C-SALMA,-0.49650187180411065,-1.2796094242910914
