file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-10-5A-SZURO,1,11,10,7,0,0,1,0,0,4,1,0.7,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,2,11,10,6,0,0,0,0,0,4,1,0.6,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,3,11,10,6,0,0,0,0,0,4,1,0.6,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,4,11,10,6,0,0,0,0,0,4,1,0.6,0.13333333333333333,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,5,11,8,5,0,0,0,0,0,4,1,0.625,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,6,11,8,5,0,0,0,0,0,4,1,0.625,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5A-SZURO,7,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-SZURO,8,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5A-SZURO,9,11,6,5,0,0,0,0,0,6,1,0.8333333333333334,0.3333333333333333,3.0,1.8666666666666667,0.0
CDMS-10-5A-SZURO,10,11,5,4,1,0,0,0,0,5,1,1.0,0.4,3.0,1.8,0.0
CDMS-10-5A-SZURO,11,11,5,4,1,0,0,0,0,5,1,1.0,0.4,3.0,1.8,0.0
CDMS-10-5A-SZURO,12,11,8,6,1,0,0,0,0,5,1,0.875,0.21428571428571427,3.0,1.8,0.0
CDMS-10-5A-SZURO,13,11,8,6,1,0,0,0,0,5,1,0.875,0.21428571428571427,3.0,1.8,0.0
CDMS-10-5A-SZURO,14,11,8,6,1,0,0,0,0,5,1,0.875,0.21428571428571427,3.0,1.8,0.0
CDMS-10-5B-SRAJA,0,11,8,6,0,0,1,0,0,4,1,0.75,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5B-SRAJA,1,11,8,6,0,0,1,0,0,4,1,0.75,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-10-5C-DAAUSA,0,11,6,6,1,0,1,0,0,6,1,1.1666666666666667,0.3333333333333333,3.0,1.8666666666666667,0.0
CDMS-10-5C-DAAUSA,1,11,7,7,1,0,1,0,0,7,1,1.1428571428571428,0.2857142857142857,3.0,1.9047619047619047,0.0
CDMS-10-5C-DAAUSA,2,11,7,7,5,0,1,0,0,7,1,1.7142857142857142,0.2857142857142857,3.0,1.9047619047619047,0.0
CDMS-10-5C-DAAUSA,3,11,9,11,6,0,1,0,0,9,1,1.8888888888888888,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,4,11,9,11,6,0,1,0,0,9,1,1.8888888888888888,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,5,11,9,11,6,0,1,0,0,9,1,1.8888888888888888,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,6,11,9,11,6,0,1,0,0,9,1,1.8888888888888888,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,7,11,8,9,6,0,0,0,0,8,1,1.875,0.32142857142857145,3.0,1.8214285714285714,0.26666666666666666
CDMS-10-5C-DAAUSA,8,11,9,10,6,0,0,0,0,9,1,1.7777777777777777,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,9,11,9,10,5,0,0,0,0,9,1,1.6666666666666667,0.2777777777777778,3.0,1.8611111111111112,0.23280423280423282
CDMS-10-5C-DAAUSA,10,11,9,10,4,0,0,0,0,9,1,1.5555555555555556,0.2777777777777778,3.0,1.9444444444444444,0.2
CDMS-10-5C-DAAUSA,11,11,9,10,4,0,0,0,0,9,1,1.5555555555555556,0.2777777777777778,3.0,1.9444444444444444,0.2
CDMS-10-5C-DAAUSA,12,11,10,11,4,0,0,0,0,10,1,1.5,0.24444444444444444,4.0,2.088888888888889,0.11333333333333333
CDMS-10-5C-ICAPA,0,11,9,8,2,0,0,0,0,9,1,1.1111111111111112,0.2222222222222222,4.0,2.2777777777777777,0.0
CDMS-10-5C-ICAPA,1,11,9,8,2,0,0,0,0,9,1,1.1111111111111112,0.2222222222222222,4.0,2.2777777777777777,0.0
CDMS-10-5C-ICAPA,2,11,7,6,1,0,0,0,0,7,1,1.0,0.2857142857142857,4.0,2.0952380952380953,0.0
CDMS-10-5C-ICAPA,3,11,7,6,1,0,0,0,0,7,1,1.0,0.2857142857142857,4.0,2.0952380952380953,0.0
CDMS-10-5C-ICAPA,4,11,7,6,1,0,0,0,0,7,1,1.0,0.2857142857142857,4.0,2.0952380952380953,0.0
CDMS-10-5C-ICAPA,5,11,7,5,0,0,0,0,0,5,1,0.7142857142857143,0.23809523809523808,4.0,2.0,0.0
CDMS-10-5C-ICAPA,6,11,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-5C-JFALGI,0,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5C-JFALGI,1,11,5,4,0,0,0,0,0,5,1,0.8,0.4,3.0,1.8,0.0
CDMS-10-5C-JFALGI,2,11,6,5,0,0,0,0,0,6,1,0.8333333333333334,0.3333333333333333,3.0,1.8666666666666667,0.0
CDMS-10-5C-JFALGI,3,11,6,5,0,0,0,0,0,6,1,0.8333333333333334,0.3333333333333333,3.0,1.8666666666666667,0.0
CDMS-10-5C-JFALGI,4,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-JFALGI,5,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,0,11,5,5,0,0,1,0,0,5,1,1.0,0.4,3.0,1.8,0.0
CDMS-10-5C-MAORTO,1,11,4,4,0,0,1,0,0,4,1,1.0,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,2,11,4,4,0,0,1,0,0,4,1,1.0,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,3,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,4,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,5,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,6,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,7,11,4,3,0,0,0,0,0,4,1,0.75,0.5,2.0,1.5,0.0
CDMS-10-5C-MAORTO,8,11,6,5,0,0,0,0,0,6,1,0.8333333333333334,0.3333333333333333,4.0,2.1333333333333333,0.0
CDMS-10-5C-MAORTO,9,11,6,5,1,0,0,0,0,6,1,1.0,0.3333333333333333,4.0,2.1333333333333333,0.0
CDMS-10-5C-MAORTO,10,11,6,5,1,0,0,0,0,6,1,1.0,0.3333333333333333,4.0,2.1333333333333333,0.0
CDMS-10-5C-MAORTO,11,11,3,2,1,0,0,0,0,3,1,1.0,0.6666666666666666,2.0,1.3333333333333333,0.0
CDMS-10-5C-MAORTO,12,11,5,4,1,0,0,0,0,5,1,1.0,0.4,4.0,2.0,0.0
CDMS-10-5C-MAORTO,13,11,5,4,1,0,0,0,0,5,1,1.0,0.4,4.0,2.0,0.0
CDMS-10-5C-MAORTO,14,11,5,4,1,0,0,0,0,5,1,1.0,0.4,4.0,2.0,0.0
CDMS-10-5C-MAORTO,15,11,5,4,1,0,0,0,0,5,1,1.0,0.4,4.0,2.0,0.0
CDMS-10-5C-MAORTO,16,11,6,6,1,0,1,0,0,6,1,1.1666666666666667,0.3333333333333333,4.0,2.066666666666667,0.0
CDMS-10-5C-NBEMO,0,11,12,12,3,0,0,0,0,12,1,1.25,0.18181818181818182,4.0,2.5,0.0
CDMS-10-5C-NBEMO,1,11,12,12,3,0,0,0,0,12,1,1.25,0.18181818181818182,4.0,2.5,0.0
CDMS-10-5C-NBEMO,2,11,12,12,3,0,0,0,0,12,1,1.25,0.18181818181818182,4.0,2.5,0.0
CDMS-10-5C-NBEMO,3,11,12,11,3,0,0,0,0,10,1,1.1666666666666667,0.16666666666666666,4.0,2.3555555555555556,0.0
CDMS-10-5C-NBEMO,4,11,13,12,3,0,0,0,0,10,1,1.1538461538461537,0.15384615384615385,4.0,2.3555555555555556,0.0
CDMS-10-5C-NBEMO,5,11,11,10,3,0,0,0,0,8,1,1.1818181818181819,0.18181818181818182,4.0,2.142857142857143,0.0
CDMS-10-5C-NBEMO,6,11,10,9,2,0,0,0,0,7,1,1.1,0.2,4.0,2.0,0.0
CDMS-10-5C-NBEMO,7,11,9,8,1,0,0,0,0,6,1,1.0,0.2222222222222222,3.0,1.7333333333333334,0.0
CDMS-10-5C-NBEMO,8,11,9,8,0,0,0,0,0,6,1,0.8888888888888888,0.2222222222222222,3.0,1.7333333333333334,0.0
CDMS-10-6B-ASCACO,0,11,5,5,0,0,0,0,0,5,1,1.0,0.5,3.0,1.6,0.0
CDMS-10-6B-ASCACO,1,11,7,7,0,0,0,0,0,7,1,1.0,0.3333333333333333,4.0,2.0952380952380953,0.0
CDMS-10-6B-ASCACO,2,11,7,7,0,0,0,0,0,7,1,1.0,0.3333333333333333,4.0,2.0952380952380953,0.0
CDMS-10-6B-ASCACO,3,11,7,7,0,0,0,0,0,7,1,1.0,0.3333333333333333,4.0,2.0952380952380953,0.0
CDMS-10-6B-ASCACO,4,11,6,5,0,0,0,0,0,6,1,0.8333333333333334,0.3333333333333333,5.0,2.3333333333333335,0.0
CDMS-10-6B-ASCACO,5,11,8,7,2,0,0,0,0,8,1,1.125,0.25,5.0,2.5714285714285716,0.0
CDMS-10-6B-ASCACO,6,11,7,6,3,0,0,0,0,7,1,1.2857142857142858,0.2857142857142857,5.0,2.380952380952381,0.0
CDMS-10-6B-ASCACO,7,11,6,5,3,0,0,0,0,6,1,1.3333333333333333,0.3333333333333333,5.0,2.3333333333333335,0.0
CDMS-10-6B-ASCACO,8,11,6,5,3,0,0,0,0,6,1,1.3333333333333333,0.3333333333333333,5.0,2.3333333333333335,0.0
CDMS-10-6B-ASCACO,9,11,6,5,3,0,0,0,0,6,1,1.3333333333333333,0.3333333333333333,5.0,2.3333333333333335,0.0
CDMS-10-6B-ASCACO,10,11,6,4,3,0,0,0,0,3,1,1.1666666666666667,0.26666666666666666,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,0,11,7,5,1,0,0,0,0,5,1,0.8571428571428571,0.23809523809523808,3.0,1.8,0.0
CDMS-10-6B-JJMOBE,1,11,8,6,0,0,0,0,0,6,1,0.75,0.21428571428571427,3.0,1.9333333333333333,0.0
CDMS-10-6B-JJMOBE,2,11,9,7,0,0,0,0,0,7,1,0.7777777777777778,0.19444444444444445,3.0,2.0,0.0
CDMS-10-6B-JJMOBE,3,11,7,4,0,0,0,0,0,3,1,0.5714285714285714,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,4,11,7,4,0,0,0,0,0,3,1,0.5714285714285714,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,5,11,5,3,0,0,0,0,0,3,1,0.6,0.3,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,6,11,5,3,0,0,0,0,0,3,1,0.6,0.3,2.0,1.3333333333333333,0.0
CDMS-10-6B-JJMOBE,7,11,6,4,0,0,0,0,0,4,1,0.6666666666666666,0.26666666666666666,3.0,1.6666666666666667,0.0
CDMS-10-6B-JJMOBE,8,11,6,4,1,0,0,0,0,4,1,0.8333333333333334,0.26666666666666666,3.0,1.6666666666666667,0.0
