split,subject,set
0,CSO-16-10B-JESUGU,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CDMS-9-4A-CRAAG,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CSO-8-3A-KVPECO,TRAIN
0,CSO-11-6B-DISEMO,TRAIN
0,CDMS-11-6B-MEBRTA,TRAIN
0,CSO-15-10A-LJRAGU,TRAIN
0,CDMS-9-5C-SCAAG,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-9-4A-FAGIGA,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CSO-14-9A-HASACA,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CDMS-10-5A-KSRAGU,TRAIN
0,CDMS-16-11B-NGABE,TRAIN
0,CDMS-13-7C-MVEAR,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CSO-10-5A-ACAVA,TRAIN
0,CDMS-9-4C-SCAMO,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CSO-18-11A-ADBAHO,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CSO-13-8A-MGAHE,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CDMS-13-7C-SSOSLO,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CSO-12-7A-LSARAR,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CSO-10-5A-MAARAN,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CSO-9-4A-KEMOCO,TRAIN
0,CSO-12-7A-IMERO,TRAIN
0,CDMS-15-10A-SGOMO,TRAIN
0,CSO-13-7A-CAPAMU,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CSO-15-9B-ALRIHE,TRAIN
0,CSO-14-7B-EVEGO,TRAIN
0,CDMS-11-6B-JACUPE,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-15-10A-SFEGA,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CDMS-15-10A-SHEGA,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CSO-10-5A-JBUVE,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CSO-9-4A-GSBRCO,TRAIN
0,CDMS-16-10A-SGALO,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-16-11B-KRORE,TRAIN
0,CDMS-17-10A-ASSAMO,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CSO-16-10A-YKMUJO,TRAIN
0,CDMS-15-10A-MAALRI,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CSO-11-6A-EROMO,TRAIN
0,CDMS-10-5C-DAAUSA,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CSO-16-10C-ACALGU,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CDMS-11-6B-JDCHBA,TRAIN
0,CDMS-12-6B-SCLAG,TRAIN
0,CDMS-10-5A-SROPU,TRAIN
0,CSO-16-10C-MAVAVE,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CSO-13-7A-KRAMA,TRAIN
0,CSO-15-9B-RMCHLU,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CDMS-15-11B-JEMOLO,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CDMS-11-6B-JFSAHE,TRAIN
0,CSO-9-4A-MPAME,TRAIN
0,CSO-16-10A-JEGAHE,TRAIN
0,CDMS-12-7C-VMAPA,TRAIN
0,CDMS-12-7C-VQURA,TRAIN
0,CSO-17-10A-YVGOCA,TRAIN
0,CDMS-9-4A-TGAFR,TRAIN
0,CSO-13-6B-JETAVE,TRAIN
0,CSO-13-9B-DMLLLU,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CSO-16-9B-SJPAJI,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CDMS-9-5C-MLOGO,TRAIN
0,CDMS-12-7C-MAROBE,TRAIN
0,CSO-14-9B-MFEGA,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CDMS-9-4A-CARGA,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CSO-10-5A-SVHEES,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CSO-16-11A-VZAOR,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CSO-13-7A-YAMEZA,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CDMS-11-6B-AVROTO,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CDMS-12-5A-SRIGO,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CSO-17-11A-RLPAIG,TRAIN
0,CDMS-10-5C-JFALGI,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CDMS-10-5C-NBEMO,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CSO-10-5A-RVMOIB,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CDMS-11-5A-MGTHAR,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CDMS-10-6B-ASCACO,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CSO-13-8A-KIGAGU,TRAIN
0,CSO-12-7A-ESALA,TRAIN
0,CSO-17-10B-YCQUVE,TRAIN
0,CSO-10-4A-KCOMO,TRAIN
0,CSO-14-8B-JLLORA,TRAIN
0,CDMS-12-7C-ARAHE,TRAIN
0,CDMS-10-5A-HEPIHO,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CDMS-XX-5C-MPCAQU,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CSO-12-7A-JHEZA,TRAIN
0,CSO-10-5A-GZAMA,TRAIN
0,CSO-16-10B-LTVIFA,TRAIN
0,CSO-14-9A-SORZU,TRAIN
0,CDMS-13-6B-JDTAHE,TRAIN
0,CSO-9-4A-DKVIMO,VALIDATION
0,CSO-9-4A-DSMOMU,VALIDATION
0,CSO-15-8A-VBMABR,VALIDATION
0,CDMS-9-5C-JDMADE,VALIDATION
0,CSO-12-6A-DGISE,VALIDATION
0,CSO-9-4A-YVDITR,VALIDATION
0,CSO-12-7B-SSARA,VALIDATION
0,CSO-16-11A-JDMUVA,VALIDATION
0,CSO-16-10B-VVILI,VALIDATION
0,CDMS-12-6A-SROAL,VALIDATION
0,CSO-13-6B-LFMIES,VALIDATION
0,CDMS-XX-10A-VGILO,VALIDATION
0,CSO-12-7A-SCAHO,VALIDATION
0,CDMS-14-10A-JCVANI,VALIDATION
0,CSO-13-8B-FCJISA,VALIDATION
0,CDMS-12-7C-JSZAOR,VALIDATION
0,CSO-15-10B-YVBUAN,VALIDATION
0,CDMS-8-4A-DJAVDA,VALIDATION
0,CSO-15-8B-KEPOGO,VALIDATION
0,CDMS-11-7C-ICARE,VALIDATION
0,CSO-9-4A-NSARPA,VALIDATION
0,CDMS-12-6B-IJDAGA,VALIDATION
0,CSO-10-4A-LSCAVA,VALIDATION
0,CDMS-11-6B-ARAHE,VALIDATION
0,CSO-11-6B-SFLVA,VALIDATION
0,CSO-16-10A-MSACO,VALIDATION
0,CDMS-12-6A-JGIGA,VALIDATION
0,CSO-16-9A-JALEMO,VALIDATION
0,CSO-8-4A-JRAAR,VALIDATION
0,CSO-15-9B-JCAPA,VALIDATION
0,CDMS-11-6B-SCAPA,VALIDATION
0,CSO-13-8A-MBUAN,VALIDATION
0,CSO-8-3A-DAPAVA,VALIDATION
0,CSO-11-5A-MDVOSPE,VALIDATION
0,CSO-14-9B-ERAGA,VALIDATION
0,CSO-14-9A-AEDCAGO,VALIDATION
0,CSO-15-10A-MAARLO,VALIDATION
0,CDMS-8-4A-DOSTR,VALIDATION
0,CDMS-11-6B-JLPENA,VALIDATION
0,CSO-14-9A-JSMAAL,VALIDATION
0,CSO-15-11C-JETALO,VALIDATION
0,CSO-15-10C-ALBAHO,VALIDATION
0,CDMS-11-6B-VZAPE,VALIDATION
0,CSO-17-10B-EHECO,VALIDATION
0,CSO-14-8A-SZARA,VALIDATION
0,CDMS-8-4A-LGOPA,VALIDATION
0,CSO-11-6B-LHFDLACH,VALIDATION
0,CSO-14-9A-MARJA,TEST
0,CDMS-11-6B-JMARME,TEST
0,CDMS-13-6B-ASUMO,TEST
0,CSO-15-9B-AMSAGO,TEST
0,CSO-14-8A-AQUMA,TEST
0,CSO-12-7B-VHOMA,TEST
0,CDMS-10-5A-SZURO,TEST
0,CSO-13-6A-ANASA,TEST
0,CSO-16-9A-JSMAGU,TEST
0,CDMS-11-6B-EROCO,TEST
0,CDMS-14-10A-IMORTO,TEST
0,CSO-9-2A-EXMOCO,TEST
0,CDMS-9-4A-EROHI,TEST
0,CDMS-XX-6B-SPUCA,TEST
0,CDMS-12-7C-DLOLO,TEST
0,CSO-8-4A-ARAGR,TEST
0,CSO-10-5A-JANORO,TEST
0,CSO-13-8A-MGAAN,TEST
0,CSO-15-7B-JCRAGA,TEST
0,CSO-17-11B-CDBEBU,TEST
0,CSO-17-11A-JDAMO,TEST
0,CSO-10-5A-JJSEMO,TEST
0,CSO-12-6B-GQULO,TEST
1,CSO-10-5A-SVHEES,TRAIN
1,CDMS-11-6B-ARAHE,TRAIN
1,CSO-11-6B-VCOMA,TRAIN
1,CSO-13-8A-MGAAN,TRAIN
1,CDMS-13-7C-MVEAR,TRAIN
1,CSO-9-4A-MPAME,TRAIN
1,CDMS-14-6B-KDCAHE,TRAIN
1,CSO-8-3A-DAPAVA,TRAIN
1,CSO-11-6A-CAPAMU,TRAIN
1,CDMS-11-6A-NMREPR,TRAIN
1,CSO-9-4A-DKVIMO,TRAIN
1,CSO-16-9B-SJPAJI,TRAIN
1,CSO-12-6B-LJHEFE,TRAIN
1,CDMS-9-4A-ACDUTR,TRAIN
1,CDMS-9-5C-LVIZAC,TRAIN
1,CSO-15-10C-ALBAHO,TRAIN
1,CSO-16-10B-VVILI,TRAIN
1,CSO-13-8A-MJAGA,TRAIN
1,CDMS-14-10A-JCVANI,TRAIN
1,CSO-10-5A-MAARAN,TRAIN
1,CDMS-15-10A-MAALCA,TRAIN
1,CDMS-8-4A-DOSTR,TRAIN
1,CSO-15-11C-JETALO,TRAIN
1,CDMS-11-5A-EAARCA,TRAIN
1,CSO-16-9A-JPROSO,TRAIN
1,CDMS-10-5C-JFALGI,TRAIN
1,CSO-11-6B-ANREVA,TRAIN
1,CSO-10-5A-IPECA,TRAIN
1,CDMS-12-6B-SCLAG,TRAIN
1,CDMS-12-7C-MAROBE,TRAIN
1,CSO-13-7A-CAPAMU,TRAIN
1,CSO-8-3A-KVPECO,TRAIN
1,CDMS-12-6A-SROAL,TRAIN
1,CSO-15-10C-SSCAMO,TRAIN
1,CDMS-12-7C-VQURA,TRAIN
1,CDMS-13-6B-ASUMO,TRAIN
1,CDMS-13-7C-SSOSLO,TRAIN
1,CDMS-XX-10A-VGILO,TRAIN
1,CDMS-11-6B-EFRGR,TRAIN
1,CDMS-15-10A-MAALRI,TRAIN
1,CDMS-11-6B-EAFESA,TRAIN
1,CDMS-9-4A-CRAAG,TRAIN
1,CSO-12-7A-ESALA,TRAIN
1,CSO-8-4A-JRAAR,TRAIN
1,CSO-14-9A-JSMAAL,TRAIN
1,CDMS-12-5A-SRIGO,TRAIN
1,CSO-16-9A-JALEMO,TRAIN
1,CDMS-11-6B-JFSAHE,TRAIN
1,CSO-9-4A-GSBRCO,TRAIN
1,CSO-16-11A-JAVABO,TRAIN
1,CSO-11-6B-LHFDLACH,TRAIN
1,CSO-13-7A-CDDITR,TRAIN
1,CSO-14-8B-JLLORA,TRAIN
1,CSO-18-9B-MAMOLO,TRAIN
1,CSO-9-4A-NSARPA,TRAIN
1,CSO-9-4A-KEMOCO,TRAIN
1,CSO-15-9B-JCAPA,TRAIN
1,CSO-11-5A-MDVOSPE,TRAIN
1,CSO-15-9B-RMCHLU,TRAIN
1,CSO-13-9B-DMLLLU,TRAIN
1,CSO-12-7B-VHOMA,TRAIN
1,CDMS-10-5A-SZURO,TRAIN
1,CSO-10-5A-RVMOIB,TRAIN
1,CSO-9-4A-YVDITR,TRAIN
1,CSO-17-11A-RLPAIG,TRAIN
1,CSO-9-4A-DVGATO,TRAIN
1,CDMS-10-5C-NBEMO,TRAIN
1,CDMS-11-6B-EROCO,TRAIN
1,CSO-17-11A-SPUVA,TRAIN
1,CDMS-11-7C-SALMA,TRAIN
1,CSO-13-8B-JEMABE,TRAIN
1,CSO-16-10C-MAVAVE,TRAIN
1,CSO-14-9A-SORZU,TRAIN
1,CSO-13-7A-JJATFL,TRAIN
1,CDMS-11-6B-SCAPA,TRAIN
1,CSO-15-10A-MAARLO,TRAIN
1,CSO-13-8A-MBUAN,TRAIN
1,CDMS-10-6B-ASCACO,TRAIN
1,CSO-15-8B-KEPOGO,TRAIN
1,CDMS-15-11B-VSAHO,TRAIN
1,CSO-9-4A-FAGIGA,TRAIN
1,CSO-17-11A-JDAMO,TRAIN
1,CSO-15-10B-MEBUAR,TRAIN
1,CDMS-15-11B-JEMOLO,TRAIN
1,CDMS-9-4A-CARGA,TRAIN
1,CDMS-9-4A-ILOSE,TRAIN
1,CDMS-8-4A-DJAVDA,TRAIN
1,CDMS-12-6A-FAROPA,TRAIN
1,CSO-15-10A-SFEGA,TRAIN
1,CDMS-11-6B-JMARME,TRAIN
1,CDMS-8-4C-JDBUTU,TRAIN
1,CDMS-11-6B-JLPENA,TRAIN
1,CSO-10-5A-DABRZA,TRAIN
1,CDMS-10-5A-SROPU,TRAIN
1,CSO-12-7B-SSARA,TRAIN
1,CSO-12-7A-LSARAR,TRAIN
1,CDMS-11-6A-DFVEBE,TRAIN
1,CSO-16-10C-ACALGU,TRAIN
1,CSO-16-11B-YAROMO,TRAIN
1,CSO-11-6B-SFLVA,TRAIN
1,CSO-13-8B-FCJISA,TRAIN
1,CSO-13-7A-KRAMA,TRAIN
1,CSO-10-4A-KCOMO,TRAIN
1,CSO-18-11A-ADBAHO,TRAIN
1,CDMS-12-6B-IJDAGA,TRAIN
1,CDMS-12-7C-VMAPA,TRAIN
1,CSO-14-9A-AEDCAGO,TRAIN
1,CSO-13-7A-RXCHLU,TRAIN
1,CDMS-9-4C-SCAMO,TRAIN
1,CDMS-XX-6B-SPUCA,TRAIN
1,CDMS-11-7C-SPGAVE,TRAIN
1,CDMS-18-7C-VVECA,TRAIN
1,CSO-15-9B-AMSAGO,TRAIN
1,CSO-12-7A-JHEZA,TRAIN
1,CSO-14-9B-ERAGA,TRAIN
1,CDMS-11-6B-JDCHBA,TRAIN
1,CSO-11-6A-EROMO,TRAIN
1,CDMS-15-10A-SHEGA,TRAIN
1,CSO-10-5A-GZAMA,TRAIN
1,CDMS-11-6B-MEBRTA,TRAIN
1,CSO-17-10A-YVGOCA,TRAIN
1,CSO-13-7A-YAMEZA,TRAIN
1,CSO-10-5A-JJSEMO,TRAIN
1,CSO-10-5A-ACAVA,TRAIN
1,CSO-12-7A-DALRE,TRAIN
1,CSO-14-8A-AQUMA,TRAIN
1,CDMS-12-7C-JSZAOR,TRAIN
1,CSO-12-7B-DVAGRO,TRAIN
1,CDMS-9-4A-EROHI,TRAIN
1,CDMS-11-6B-JACUPE,TRAIN
1,CSO-16-11A-VZAOR,TRAIN
1,CSO-17-11A-DJAPA,TRAIN
1,CSO-14-9A-MARJA,TRAIN
1,CDMS-XX-5C-MPCAQU,TRAIN
1,CSO-11-6B-DISEMO,TRAIN
1,CSO-9-4A-MLORO,TRAIN
1,CSO-14-8A-SZARA,TRAIN
1,CSO-16-10B-LTVIFA,TRAIN
1,CDMS-15-10A-JJMACH,TRAIN
1,CDMS-12-7C-CATRAR,TRAIN
1,CDMS-9-5C-JDMADE,TRAIN
1,CSO-17-11B-CDBEBU,TRAIN
1,CSO-11-6A-DSCACH,TRAIN
1,CDMS-16-10A-SGALO,TRAIN
1,CDMS-11-6B-LESTA,TRAIN
1,CSO-15-8A-VBMABR,TRAIN
1,CSO-8-4A-ARAGR,TRAIN
1,CSO-15-10A-LJRAGU,TRAIN
1,CDMS-16-11B-NGABE,TRAIN
1,CSO-17-11C-MCAAG,TRAIN
1,CSO-12-7A-IMERO,TRAIN
1,CDMS-11-6B-MMAMO,TRAIN
1,CSO-17-10B-EHECO,TRAIN
1,CSO-16-9A-JSMAGU,TRAIN
1,CDMS-17-10A-ASSAMO,TRAIN
1,CDMS-11-5A-MGTHAR,TRAIN
1,CSO-13-8A-VHODU,TRAIN
1,CSO-9-4A-AGAPE,TRAIN
1,CDMS-9-5A-ABERO,TRAIN
1,CDMS-12-6A-JGIGA,TRAIN
1,CDMS-10-6B-JJMOBE,VALIDATION
1,CDMS-15-10A-AMALOS,VALIDATION
1,CDMS-8-4A-LGOPA,VALIDATION
1,CSO-13-6A-ANASA,VALIDATION
1,CSO-9-2A-EXMOCO,VALIDATION
1,CDMS-9-5C-MLOGO,VALIDATION
1,CSO-16-10A-MSACO,VALIDATION
1,CDMS-11-6B-JPSAMA,VALIDATION
1,CSO-13-6B-LFMIES,VALIDATION
1,CSO-10-5A-JLCARI,VALIDATION
1,CDMS-10-5B-SRAJA,VALIDATION
1,CSO-14-7B-EVEGO,VALIDATION
1,CSO-10-5A-JBUVE,VALIDATION
1,CDMS-10-5C-DAAUSA,VALIDATION
1,CDMS-10-5A-HEPIHO,VALIDATION
1,CSO-16-10B-JESUGU,VALIDATION
1,CDMS-13-7C-RAIZAC,VALIDATION
1,CSO-17-11C-MAPAMA,VALIDATION
1,CSO-11-5A-MTAGA,VALIDATION
1,CSO-10-4A-LRAVI,VALIDATION
1,CDMS-12-7C-ARAHE,VALIDATION
1,CSO-15-10B-YVBUAN,VALIDATION
1,CSO-14-9A-HASACA,VALIDATION
1,CSO-9-4A-SLOCA,VALIDATION
1,CSO-15-9B-ALRIHE,VALIDATION
1,CSO-17-10B-YCQUVE,VALIDATION
1,CSO-11-6B-RJGIHE,VALIDATION
1,CSO-17-11C-SARJA,VALIDATION
