subject,z_re_T2W30,z_pe_T2W30,z_l2_T2W30,z_density_T2W30
CDMS-10-4A-JURAN,0.3976300487260626,0.8830338259368598,0.6937694484149408,-0.49824916060876223
CDMS-10-5A-HEPIHO,-0.05475200275372324,-0.9161888169065189,-0.9440670127338806,1.3773250617777175
CDMS-10-5A-KSRAGU,0.41300604881992314,-0.7670781037103969,-0.6767811323395635,-0.29020883908572365
CDMS-10-5A-SROPU,1.0308017128983364,0.1256153882358416,0.171441609187784,-0.6069399526689055
CDMS-10-5A-SZURO,0.14691693630724628,-0.8706897220220404,-1.109370818424877,1.354086133419127
CDMS-10-5B-SRAJA,0.9774739567952231,-0.4161658680539006,-0.21748364520550045,-0.25392412561977185
CDMS-10-5C-DAAUSA,0.5862270904868658,-0.13347963007022515,-0.4682971087081474,0.46185835166028266
CDMS-10-5C-ICAPA,0.3825431844448006,-0.9137250685560856,-0.9043897786176459,-2.082479292688745
CDMS-10-5C-JFALGI,-1.21102506814187,-0.9569006639705278,-1.0167929709909318,2.0600308313192253
CDMS-10-5C-NBEMO,-1.8050133549930583,0.6365437725706361,1.2127855220024397,0.2556470810919107
CDMS-10-6B-ASCACO,-0.2617223273008729,1.6553332848705582,0.6532056546340834,-0.8168739781230472
CDMS-10-6B-JJMOBE,-0.5612691570592429,-1.255301429391419,-1.4366746011915386,2.069877844937901
CDMS-11-5A-EAARCA,0.09356936716889408,0.62784460577105,0.9918592452127535,-0.390343621007677
CDMS-11-5A-MGTHAR,-0.9435844008277203,-0.5452562999867723,-0.8320776187360492,0.7941689534814269
CDMS-11-6A-DFVEBE,-0.4756925468819045,-0.30938575942307855,-0.013621625666544809,0.387037412684101
CDMS-11-6A-NMREPR,0.4125355602798532,-0.9454125951901893,-0.9968838105729116,-0.5910949780495325
CDMS-11-6B-ARAHE,1.5252917939131192,-0.4756804298819448,-0.6716941426595753,-0.9276188281917197
CDMS-11-6B-AVROTO,-0.9218043328984428,-0.4160306074590334,-0.23458306279032423,1.023319937240261
CDMS-11-6B-EAFESA,0.6294410912215249,-0.48240905812452933,-0.33649539352461616,-1.18679621909389
