feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
l2_T2W20,0.6814315008320381,0.48460531627453185,1.0,349,0.8725
l3_T2W20,-0.41453404518541065,0.3334132042792168,1.0,215,0.5375
pe_T2W20,0.4140639982801559,0.3453173547093815,1.0,298,0.745
lsc_T2W20,0.4047287297588387,0.29304203965353703,1.0,133,0.3325
diameter_T2W20,-0.3274075124371152,0.8448460517959445,1.0,236,0.59
edges_T2W20,0.27534807388183996,0.47851934784265016,1.0,47,0.1175
re_T2W20,-0.19782173111729268,0.2341411680877361,1.0,56,0.14
density_T2W20,-0.15832349128473586,0.1508601402985817,1.0,36,0.09
l1_T2W20,-0.1241583906760888,0.30045664557857676,1.0,56,0.14
lcc_T2W20,0.09136819079916153,0.26222139544088424,1.0,90,0.225
asp_T2W20,-0.07271033235063187,0.8236347165715475,1.0,181,0.4525
atd_T2W20,-0.050792504503333696,0.9337023029335368,1.0,99,0.2475
nodes_T2W20,-0.00047959688055264647,0.6685142321185618,1.0,204,0.51
