subject,lsc_T2W20,atd_T2W20,density_T2W20,diameter_T2W20,asp_T2W20
CDMS-10-4A-JURAN,9.310077519379846,2.310320759192168,0.1382434508289501,9.7984496124031,4.093888436438296
CDMS-10-5A-HEPIHO,11.61864406779661,2.34360941899576,0.150121718317132,7.686440677966102,3.3778620282424656
CDMS-10-5A-KSRAGU,10.767676767676768,2.40936430869586,0.1503344958336045,8.808080808080808,3.78123027035683
CDMS-10-5A-SROPU,8.688311688311689,2.2963539611648853,0.1347970720392416,10.363636363636363,4.304212208578237
CDMS-10-5A-SZURO,10.565217391304348,2.276953680022734,0.1431930743311817,8.173913043478262,3.4793803028457755
CDMS-10-5B-SRAJA,8.948863636363637,2.394138173917585,0.1497002485915904,9.488636363636363,3.913450840534906
CDMS-10-5C-DAAUSA,10.74074074074074,2.371879841291606,0.1472601533059049,8.414814814814815,3.625043286988592
CDMS-10-5C-ICAPA,9.93939393939394,2.3309117353235003,0.1441584559231618,8.969696969696969,3.7871803262670136
CDMS-10-5C-JFALGI,11.206349206349206,2.1621796866894907,0.1308201058201058,8.984126984126984,3.833726609552203
CDMS-10-5C-MAORTO,6.888888888888889,2.0756239727859955,0.1224074620101451,8.777777777777779,3.8100840336134447
CDMS-10-5C-NBEMO,9.013157894736842,2.2147677792261877,0.1322471232260217,9.447368421052632,3.9541592351576873
CDMS-10-6B-ASCACO,10.158878504672897,2.4049584799172483,0.1448133199645019,8.588785046728972,3.731863145759589
CDMS-10-6B-JJMOBE,11.5625,2.19609375,0.1379252742763772,7.9375,3.400141396808386
CDMS-11-5A-EAARCA,9.511627906976743,2.2479044524786658,0.1316847553131662,10.168604651162791,4.2149040379105545
CDMS-11-5A-MGTHAR,10.343434343434344,2.208601420366126,0.1320822290120535,9.04040404040404,3.903686279425092
CDMS-11-6A-DFVEBE,8.418604651162791,2.4671986624107007,0.1576230313234417,8.651162790697674,3.701995359861297
CDMS-11-6A-NMREPR,7.575757575757576,2.3112931549206057,0.1364746937502355,10.797979797979798,4.390395404198293
