subject,edges_T6W50,lsc_T6W50,density_T6W50,diameter_T6W50,y_true,y_pred
CDMS-15-10A-AMALOS,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-15-10A-JJMACH,0.024969601725841173,0.0,0.0,0.0,3,2.970790139656951
CDMS-15-10A-MAALCA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-15-10A-MAALRI,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-15-10A-SGOMO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-15-10A-SHEGA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-15-11B-JEMOLO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-15-11B-VSAHO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-16-10A-SGALO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-16-11B-NGABE,-0.010320910478506473,0.0,0.0,0.0,4,2.9354996274526033
CDMS-17-10A-ASSAMO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-18-7C-VVECA,0.001995215803614059,0.0,0.0,0.0,4,2.947815753734724
CDMS-8-4A-DBEVA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-8-4A-DJAVDA,-0.1110357779113178,0.0,0.0,0.0,3,2.834784760019792
CDMS-8-4A-DOSTR,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-8-4A-LGOPA,0.022790999686788105,0.0,0.0,0.0,2,2.968611537617898
CDMS-8-4C-JDBUTU,-0.027950657227626685,0.0,0.0,0.0,1,2.917869880703483
CDMS-9-4A-ACDUTR,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-9-4A-CARGA,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CDMS-9-4A-CRAAG,-0.05897136212688103,0.0,0.0,0.0,2,2.8868491758042287
CDMS-9-4A-EROHI,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-9-4A-ILOSE,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-9-4A-TGAFR,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-9-4C-SCAMO,-0.10444824840652345,0.0,0.0,0.0,0,2.8413722895245863
CDMS-9-5A-ABERO,-0.015178679122243022,0.0,0.0,0.0,1,2.9306418588088667
CDMS-9-5A-PAGACO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-9-5A-VVAAR,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-9-5C-JDMADE,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CDMS-9-5C-LVIZAC,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CDMS-9-5C-MLOGO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-9-5C-SCAAG,-0.062147525613079235,0.0,0.0,0.0,3,2.8836730123180305
CDMS-XX-10A-VGILO,-0.01561673054028967,0.0,0.0,0.0,2,2.93020380739082
CDMS-XX-5C-MJSARU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-XX-5C-MPCAQU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-XX-6A-MAGICA,-0.015896525773054115,0.0,0.0,0.0,1,2.9299240121580556
CDMS-XX-6B-SPUCA,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CSO-10-4A-ICAPA,-0.01306839085070921,0.0,0.0,0.0,5,2.9327521470804006
CSO-10-4A-KCOMO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-10-4A-LRAVI,-0.03312321466412449,0.0,0.0,0.0,2,2.9126973232669853
CSO-10-4A-LSCAVA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-10-5A-ACAVA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-10-5A-ARACA,-0.5582405344715005,0.0,0.0,0.0,1,2.3875800034596093
CSO-10-5A-DABRZA,-0.0006192015498887038,0.0,0.0,0.0,2,2.945201336381221
CSO-10-5A-GZAMA,-8.108046688759529e-05,0.0,0.0,0.0,1,2.945739457464222
CSO-10-5A-IPECA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-10-5A-JANORO,-0.057824563233006554,0.0,0.0,0.0,3,2.887995974698103
CSO-10-5A-JBUVE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-10-5A-JJSEMO,-0.06380342579360754,0.0,0.0,0.0,3,2.8820171121375022
CSO-10-5A-JLCARI,-0.09221844759889475,0.0,0.0,0.0,2,2.853602090332215
CSO-10-5A-MAARAN,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-10-5A-MAOSMO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-10-5A-RVMOIB,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-10-5A-SVHEES,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-11-5A-MDVOSPE,-0.03842721806899263,0.0,0.0,0.0,3,2.907393319862117
CSO-11-5A-MTAGA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-11-6A-CAPAMU,-0.20790110306439713,0.0,0.0,0.0,5,2.7379194348667126
CSO-11-6A-DSCACH,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-11-6A-EROMO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-11-6A-FSOVRE,-0.15925310116734037,0.0,0.0,0.0,2,2.7865674367637694
CSO-11-6B-ANREVA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-11-6B-DISEMO,-0.4757207450484069,0.0,0.0,0.0,2,2.470099792882703
CSO-11-6B-LHFDLACH,-0.026289449313053215,0.0,0.0,0.0,2,2.9195310886180565
CSO-11-6B-RJGIHE,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CSO-11-6B-SFLVA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-11-6B-VCOMA,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-12-6A-DGISE,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-12-6A-FJOVRE,-0.04942426133536637,0.0,0.0,0.0,2,2.8963962765957434
CSO-12-6B-GQULO,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-12-6B-LJHEFE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-12-6B-VPAMA,-1.9458205379311038,0.0,0.0,0.0,1,1.000000000000006
CSO-12-7A-DALRE,-0.06389312866953034,0.0,0.0,0.0,2,2.8819274092615794
CSO-12-7A-ESALA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-12-7A-IMERO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-12-7A-JHEZA,-0.307491717815052,0.0,0.0,0.0,3,2.6383288201160577
CSO-12-7A-LSARAR,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-12-7A-SCAHO,0.012681589728467113,0.0,0.0,0.0,4,2.958502127659577
CSO-12-7B-DVAGRO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-12-7B-SMUGU,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-12-7B-SSARA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-12-7B-VHOMA,-0.004086252323659778,0.0,0.0,0.0,5,2.94173428560745
CSO-12-8A-YTOME,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-13-6A-ANASA,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-13-6B-JETAVE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-13-6B-LFMIES,-0.19603330388855333,0.0,0.0,0.0,6,2.7497872340425564
CSO-13-6B-LJMAHU,-0.5700606595116566,0.0,0.0,0.0,2,2.375759878419453
CSO-13-7A-CAPAMU,-0.20012721438011827,0.0,0.0,0.0,1,2.7456933235509915
CSO-13-7A-CDDITR,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-13-7A-JJATFL,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-13-7A-KRAMA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-13-7A-RXCHLU,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-13-7A-YAMEZA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-13-7A-YBOSO,-2.0125802170381837,0.0,0.0,0.0,5,0.9332403208929263
CSO-13-8A-KIGAGU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-13-8A-MBUAN,-0.003679510861930524,0.0,0.0,0.0,2,2.9421410270691792
CSO-13-8A-MGAAN,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-13-8A-MGAHE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-13-8A-MJAGA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-13-8A-VHODU,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-13-8B-FCJISA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-13-8B-JEMABE,-0.13051798355429467,0.0,0.0,0.0,2,2.815302554376815
CSO-13-9B-DMLLLU,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-14-7A-MVEBE,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-14-7B-EALHU,0.05417946206889068,0.0,0.0,0.0,0,3.0000000000000004
CSO-14-7B-EVEGO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-14-8A-AQUMA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-14-8A-MCIDOS,-0.2510356530395059,0.0,0.0,0.0,1,2.694784884891604
CSO-14-8A-SZARA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-14-8B-JLLORA,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CSO-14-9A-AEDCAGO,-0.08903086833871798,0.0,0.0,0.0,3,2.856789669592392
CSO-14-9A-HASACA,0.015087263487329139,0.0,0.0,0.0,5,2.960907801418439
CSO-14-9A-JSMAAL,-0.013480112399195221,0.0,0.0,0.0,4,2.9323404255319145
CSO-14-9A-MARJA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-14-9A-SORZU,-0.18077983190388336,0.0,0.0,0.0,3,2.7650407060272264
CSO-14-9B-ERAGA,-0.03715164396240933,0.0,0.0,0.0,3,2.9086688939687004
CSO-14-9B-MFEGA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-15-10A-LJRAGU,-0.21802927080077383,0.0,0.0,0.0,1,2.727791267130336
CSO-15-10A-MAARLO,-0.10994524827448471,0.0,0.0,0.0,3,2.835875289656625
CSO-15-10A-SFEGA,-0.16832517879930364,0.0,0.0,0.0,4,2.777495359131806
CSO-15-10B-MEBUAR,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-15-10B-YVBUAN,-0.05559931769720894,0.0,0.0,0.0,5,2.890221220233901
CSO-15-10C-ALBAHO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-15-10C-SSCAMO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-15-11C-JETALO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-15-7B-JCRAGA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-15-8A-VBMABR,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-15-8B-KEPOGO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-15-9B-ALRIHE,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-15-9B-AMSAGO,-0.13137522376332056,0.0,0.0,0.0,3,2.814445314167789
CSO-15-9B-JCAPA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-15-9B-KSBEJA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-15-9B-RMCHLU,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-15-9B-SJAGRO,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-16-10A-JEGAHE,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-16-10A-MSACO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-16-10A-SARI,-1.1813432021309223,0.0,0.0,0.0,2,1.7644773358001875
CSO-16-10A-SMOUT,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-16-10A-YKMUJO,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-16-10B-JESUGU,0.05417946206889068,0.0,0.0,0.0,0,3.0000000000000004
CSO-16-10B-LTVIFA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-16-10B-VVILI,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-16-10C-ACALGU,-0.3608207918284303,0.0,0.0,0.0,4,2.5849997461026795
CSO-16-10C-MAVAVE,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-16-11A-JAVABO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-16-11A-JDMUVA,0.04472980083033784,0.0,0.0,0.0,6,2.9905503387614476
CSO-16-11A-VZAOR,-0.225594305773821,0.0,0.0,0.0,6,2.7202262321572888
CSO-16-11B-KRORE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-16-11B-LLOZA,-0.0006192015498887038,0.0,0.0,0.0,4,2.945201336381221
CSO-16-11B-YAROMO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-16-9A-JALEMO,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CSO-16-9A-JPROSO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-16-9A-JSMAGU,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-16-9B-SJPAJI,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-17-10A-YVGOCA,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-17-10B-EHECO,-0.12035638289655148,0.0,0.0,0.0,2,2.8254641550345583
CSO-17-10B-YCQUVE,-0.044785288645619925,0.0,0.0,0.0,2,2.90103524928549
CSO-17-11A-DJAPA,-0.007329241993006441,0.0,0.0,0.0,4,2.9384912959381033
CSO-17-11A-JDAMO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-17-11A-NPAHE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-17-11A-RLPAIG,-0.0069887879114807205,0.0,0.0,0.0,2,2.938831750019629
CSO-17-11A-SPUVA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-17-11B-CDBEBU,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-17-11C-JDAAG,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-17-11C-MAPAMA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-17-11C-MCAAG,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-17-11C-SARJA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CSO-18-11A-ADBAHO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-18-11B-YLLRE,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-18-9B-MAMOLO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-8-3A-AIPRBR,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-8-3A-DAPAVA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-8-3A-KVPECO,-0.15882290199730376,0.0,0.0,0.0,2,2.786997635933806
CSO-8-4A-ARAGR,-0.20772856813014995,0.0,0.0,0.0,3,2.73809196980096
CSO-8-4A-JRAAR,-0.34031026025350286,0.0,0.0,0.0,2,2.605510277677607
CSO-9-2A-EXMOCO,-0.6778370944629488,0.0,0.0,0.0,1,2.267983443468161
CSO-9-4A-AGAPE,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-9-4A-DKVIMO,-0.0282911635265366,0.0,0.0,0.0,1,2.917529374404573
CSO-9-4A-DSMOMU,-0.07660235840196306,0.0,0.0,0.0,4,2.8692181795291467
CSO-9-4A-DVGATO,-0.07583305357566683,0.0,0.0,0.0,2,2.869987484355443
CSO-9-4A-EGCAMO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CSO-9-4A-FAGIGA,-0.4603744446001601,0.0,0.0,0.0,4,2.4854460933309497
CSO-9-4A-GSBRCO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-9-4A-KEMOCO,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CSO-9-4A-LCOMO,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CSO-9-4A-MLORO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-9-4A-MPAME,-0.10951305680550849,0.0,0.0,0.0,5,2.8363074811256013
CSO-9-4A-NSARPA,-0.036651199545798985,0.0,0.0,0.0,3,2.9091693383853108
CSO-9-4A-SLOCA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CSO-9-4A-YVDITR,-0.05633117622898176,0.0,0.0,0.0,5,2.889489361702128
