subject,edges_T6W50,lsc_T6W50,density_T6W50,diameter_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-10-5A-HEPIHO,-0.020437654334057864,0.0,0.0,0.0,3,2.925382883597052
CDMS-10-5A-KSRAGU,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-10-5A-SROPU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-10-5A-SZURO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-10-5B-SRAJA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CDMS-10-5C-DAAUSA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CDMS-10-5C-ICAPA,-0.1611010021477446,0.0,0.0,0.0,3,2.784719535783365
CDMS-10-5C-JFALGI,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CDMS-10-5C-MAORTO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-10-5C-NBEMO,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CDMS-10-6B-ASCACO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-10-6B-JJMOBE,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-11-4A-GACHSA,0.05417946206889068,0.0,0.0,0.0,1,3.0000000000000004
CDMS-11-5A-EAARCA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-5A-MGTHAR,0.03035566824210134,0.0,0.0,0.0,3,2.976176206173211
CDMS-11-6A-DFVEBE,-0.04910150830295379,0.0,0.0,0.0,4,2.896719029628156
CDMS-11-6A-NMREPR,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-11-6B-ARAHE,-0.04390690328424984,0.0,0.0,0.0,4,2.90191363464686
CDMS-11-6B-AVROTO,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-11-6B-EAFESA,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CDMS-11-6B-EFRGR,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-11-6B-EROCO,-0.17317862217609026,0.0,0.0,0.0,2,2.7726419157550195
CDMS-11-6B-JACUPE,-0.11544864955789436,0.0,0.0,0.0,1,2.8303718883732154
CDMS-11-6B-JDCHBA,0.05417946206889068,0.0,0.0,0.0,0,3.0000000000000004
CDMS-11-6B-JFSAHE,-0.03238239560568079,0.0,0.0,0.0,2,2.913438142325429
CDMS-11-6B-JLPENA,-0.2948015009770195,0.0,0.0,0.0,0,2.6510190369540902
CDMS-11-6B-JMARME,-0.027278010877942016,0.0,0.0,0.0,4,2.9185425270531677
CDMS-11-6B-JPSAMA,-0.029965693995477327,0.0,0.0,0.0,6,2.9158548439356324
CDMS-11-6B-LESTA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-6B-MAGIMU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-6B-MEBRTA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-11-6B-MMAMO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-6B-RSECA,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CDMS-11-6B-SCAPA,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-6B-VZAPE,0.05417946206889068,0.0,0.0,0.0,5,3.0000000000000004
CDMS-11-6B-YLNIME,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-11-7C-ICARE,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-11-7C-IMOIB,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-11-7C-SALMA,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-11-7C-SPGAVE,-0.010826795753385632,0.0,0.0,0.0,2,2.934993742177724
CDMS-12-5A-SRIGO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-12-6A-FAROPA,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CDMS-12-6A-JGIGA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-12-6A-JSOTGU,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-12-6A-SROAL,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-12-6B-IJDAGA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-12-6B-SCLAG,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-12-7C-ARAHE,0.05417946206889068,0.0,0.0,0.0,6,3.0000000000000004
CDMS-12-7C-CATRAR,-0.12216730117239427,0.0,0.0,0.0,3,2.8236532367587155
CDMS-12-7C-DLOLO,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-12-7C-JSZAOR,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-12-7C-MAROBE,0.05417946206889068,0.0,0.0,0.0,3,3.0000000000000004
CDMS-12-7C-VMAPA,0.05417946206889068,0.0,0.0,0.0,2,3.0000000000000004
CDMS-12-7C-VQURA,-0.05346077003942451,0.0,0.0,0.0,2,2.8923597678916853
CDMS-13-6B-ASUMO,-0.7294288748829088,0.0,0.0,0.0,1,2.216391663048201
CDMS-13-6B-JDTAHE,-0.1698285885349038,0.0,0.0,0.0,3,2.775991949396206
CDMS-13-7C-MVEAR,-0.006429663140186559,0.0,0.0,0.0,4,2.939390874790923
CDMS-13-7C-RAIZAC,-0.10761517252870423,0.0,0.0,0.0,3,2.8382053654024055
CDMS-13-7C-SSOSLO,0.004548935887213723,0.0,0.0,0.0,3,2.9503694738183235
CDMS-14-10A-IMORTO,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-14-10A-JCVANI,0.05417946206889068,0.0,0.0,0.0,4,3.0000000000000004
CDMS-14-5A-LSDUCO,0.05417946206889068,0.0,0.0,0.0,0,3.0000000000000004
CDMS-14-6B-KDCAHE,-0.01306839085070921,0.0,0.0,0.0,0,2.9327521470804006
