subject,edges_T6W50,lsc_T6W50,density_T6W50,diameter_T6W50
CDMS-10-4A-JURAN,0.34927355909905594,1.1869935164075647,-0.7059916415946025,0.04889584418627619
CDMS-10-5A-HEPIHO,0.01814332574408356,1.3065508221567579,-0.9362499156407693,0.31217455013332185
CDMS-10-5A-KSRAGU,0.34927355909905594,0.7976077135050706,-0.2213955724703536,-0.610949836902333
CDMS-10-5A-SROPU,0.34927355909905594,0.2881706200923131,-0.6701372265412489,1.054132147078714
CDMS-10-5A-SZURO,0.34927355909905594,0.6472025568230605,-0.17197605867668045,0.39265595745554926
CDMS-10-5B-SRAJA,0.34927355909905594,0.7156560103207481,-0.20181357836081543,-0.1392179379826315
CDMS-10-5C-DAAUSA,0.34927355909905594,-0.3876055830045249,0.20070646968549163,0.016379316444457157
CDMS-10-5C-ICAPA,-0.6060819114589588,-2.25147685167389,2.613395804125687,-1.6503807202628218
CDMS-10-5C-JFALGI,0.34927355909905594,-0.9385392474092373,1.5687054811268413,-1.4485136901705518
CDMS-10-5C-MAORTO,0.34927355909905594,-1.4536256210087684,1.6089421552182588,-0.9605019648667084
CDMS-10-5C-NBEMO,0.34927355909905594,-0.6779903609883574,0.7141933280102721,-0.8089502823992375
CDMS-10-6B-ASCACO,0.34927355909905594,-0.25863062590636604,1.1584735390901877,-1.555791427947349
CDMS-10-6B-JJMOBE,0.34927355909905594,0.49229025319479697,-0.31121419108317366,0.15241669327614096
CDMS-11-4A-GACHSA,0.34927355909905594,-0.8278014286776558,1.1459830156246997,-0.8268273052772208
CDMS-11-5A-EAARCA,0.34927355909905594,-0.2208996373712802,0.9863509509269018,-1.0751272829969774
CDMS-11-5A-MGTHAR,0.24355011668318452,-1.594704796790274,1.5612874782763166,-0.5523987669991686
CDMS-11-6A-DFVEBE,-0.10905897194747052,-0.04458944487020889,-0.048234630018397937,0.045652024005881954
CDMS-11-6A-NMREPR,0.34927355909905594,0.3574307024193197,-0.004140287196226066,0.05194218810545633
CDMS-11-6B-ARAHE,-0.08600674405459031,-0.32695074447374245,0.33511030469146824,-0.567020589045297
CDMS-11-6B-AVROTO,0.34927355909905594,0.46510132277384386,-0.6436324137769694,1.655570185809635
CDMS-11-6B-EAFESA,0.34927355909905594,0.4118640534314876,-0.25260291724653017,0.25427405482257687
CDMS-11-6B-EFRGR,0.34927355909905594,-0.854842577009055,0.8772798735717875,-0.6369859306972754
CDMS-11-6B-EROCO,-0.6596790662560147,-0.6807640982285501,0.9733693971462132,-0.9411874473520664
CDMS-11-6B-JACUPE,-0.4034893308954579,-2.0284730539207554,1.8967497363251682,-1.3480077213718118
CDMS-11-6B-JDCHBA,0.34927355909905594,-1.0814897787355626,0.8267869953150946,-0.33794314157848604
CDMS-11-6B-JFSAHE,-0.034864149689272095,1.1325076765540767,-1.0644308800038411,0.08539054002689406
CDMS-11-6B-JLPENA,-1.1994079405423408,-0.5594236807534696,0.17632061361611998,0.3644349874726183
CDMS-11-6B-JMARME,-0.0122122946255879,0.08045657930632706,-0.007101027532847899,0.04459172284675819
CDMS-11-6B-JPSAMA,-0.024139492844930673,0.5487296361029832,-1.0120375598232068,1.4862723753184828
CDMS-11-6B-LESTA,0.34927355909905594,-0.34706242070761784,0.9468320423443218,-0.9186095633168716
CDMS-11-6B-MAGIMU,0.34927355909905594,-1.11133835677686,1.9584130884353759,-1.778375941525382
