feature,selected,ranking
density_T6W50,True,1
diameter_T6W50,True,1
edges_T6W50,True,1
lsc_T6W50,True,1
nodes_T6W50,False,2
l2_T6W50,False,3
pe_T6W50,False,3
atd_T6W50,False,4
re_T6W50,False,4
asp_T6W50,False,5
l1_T6W50,False,5
l3_T6W50,False,6
lcc_T6W50,False,6
