feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_pe_T2W30,0.41800235992164925,0.19103875748759508,1.0,387,0.9675
z_l2_T2W30,0.3170124894794192,0.14963780743078275,1.0,376,0.94
z_density_T2W30,-0.2731603443913471,0.25018282620816645,1.0,296,0.74
z_atd_T2W30,0.2525567220416679,0.19282966804477092,1.0,151,0.3775
z_l3_T2W30,-0.2339378534886729,0.1680381725784754,1.0,353,0.8825
z_lsc_T2W30,0.1962576974558151,0.19243481827136905,1.0,77,0.1925
z_asp_T2W30,-0.1773394941411229,0.320397876147207,1.0,67,0.1675
z_diameter_T2W30,-0.1623001902536713,0.2170655036323705,1.0,90,0.225
z_l1_T2W30,-0.15730912193025529,0.17014011273706953,1.0,108,0.27
z_re_T2W30,0.02323425229427454,0.18729747768992042,1.0,95,0.2375
