target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
COG_V1,T2W30,VALIDATION,R2,0.032003,0.058862,0.026217,0.037789,1.9659,399,True
COG_V1,T2W30,VALIDATION,RMSE,1.321828,0.082208,1.313747,1.329908,1.9659,399,True
COG_V1,T2W30,VALIDATION,MAE,1.040332,0.064997,1.033943,1.046721,1.9659,399,True
COG_V1,T2W30,VALIDATION,rho,0.188169,0.129862,0.175404,0.200934,1.9659,399,True
COG_V1,T2W30,TEST,R2,0.017898,0.090767,0.008976,0.02682,1.9659,399,True
COG_V1,T2W30,TEST,RMSE,1.329784,0.122353,1.317758,1.341811,1.9659,399,True
COG_V1,T2W30,TEST,MAE,1.043986,0.094198,1.034726,1.053245,1.9659,399,True
COG_V1,T2W30,TEST,rho,0.176736,0.191292,0.157932,0.195539,1.9659,399,True
