feature,mean_coef,std_coef,frac_nonzero
z_pe_T2W20,0.730457581854312,0.20010411470330486,1.0
z_cc_T2W20,-0.6339985821625881,0.23328076884151278,1.0
z_l2_T2W20,0.514066124054612,0.1674703917154325,1.0
z_l3_T2W20,-0.4566978157025084,0.18582867514755882,1.0
z_pe_T2W10,0.3869636259725723,0.12011283333984987,1.0
z_density_T2W20,-0.38057870662857907,0.18905483300617063,1.0
z_l2_T2W10,0.27862116997877906,0.10451329744588203,1.0
z_l3_T2W10,-0.24969971583153266,0.10297911182232732,1.0
z_cc_T2W10,-0.21279609487966714,0.0989409927156494,1.0
z_density_T2W10,-0.12523100237985263,0.14363225838361124,1.0
