subject,nodes_T6W30,z_asp_T6W30,y_true,y_pred
CDMS-8-4C-JDBUTU,2.208821791991994,0.0,7,15.738431554987447
CDMS-9-4A-ACDUTR,0.5950999984583483,0.0,5,14.1247097614538
CDMS-9-4A-CARGA,0.4940583441101509,0.0,8,14.023668107105603
CDMS-9-4A-CRAAG,1.8022430904596867,0.0,32,15.331852853455139
CDMS-9-4A-EROHI,-0.3044164478020299,0.0,5,13.225193315193422
CDMS-9-4A-ILOSE,1.025471986790155,0.0,7,14.555081749785607
CDMS-9-4A-TGAFR,1.4824531077281229,0.0,6,15.012062870723575
CDMS-9-4C-SCAMO,-2.262677197482393,0.0,10,11.26693256551306
CDMS-9-5A-ABERO,0.4201328336188652,0.0,22,13.949742596614318
CDMS-9-5A-PAGACO,0.22321375430037804,0.0,17,13.75282351729583
CDMS-9-5A-VVAAR,1.383545845197542,0.0,5,14.913155608192994
CDMS-9-5C-JDMADE,1.0353341868085906,0.0,15,14.564943949804043
CDMS-9-5C-LVIZAC,0.11955964033241884,0.0,6,13.649169403327871
CDMS-9-5C-MLOGO,1.133394259098047,0.0,5,14.6630040220935
CDMS-9-5C-SCAAG,-0.1102217002944883,0.0,21,13.419388062700964
CDMS-XX-10A-VGILO,-0.5719422823968507,0.0,17,12.957667480598602
CDMS-XX-5C-MJSARU,-0.8765905450945617,0.0,9,12.65301921790089
CDMS-XX-5C-MPCAQU,0.7354338750385381,0.0,24,14.26504363803399
CDMS-XX-6A-MAGICA,-1.1957255407893754,0.0,6,12.333884222206077
CDMS-XX-6B-SPUCA,-0.6678462980728739,0.0,2,12.861763464922578
CSO-10-4A-ICAPA,1.1140126160961898,0.0,15,14.643622379091642
CSO-10-4A-KCOMO,1.6117146291327984,0.0,8,15.14132439212825
CSO-10-4A-LRAVI,2.4703902370045476,0.0,16,16.0
CSO-10-4A-LSCAVA,-0.36783045735140263,0.0,22,13.16177930564405
CSO-10-5A-ACAVA,-1.1427838557836942,0.0,9,12.386825907211758
CSO-10-5A-ARACA,0.2711823014622077,0.0,5,13.80079206445766
CSO-10-5A-DABRZA,1.7313604450234479,0.0,10,15.2609702080189
CSO-10-5A-GZAMA,-0.35412189000781424,0.0,20,13.175487872987638
CSO-10-5A-IPECA,-0.5246235609595971,0.0,27,13.004986202035855
CSO-10-5A-JANORO,-0.4152884258248477,0.0,15,13.114321337170605
CSO-10-5A-JBUVE,-0.8943387135572998,0.0,9,12.635271049438153
CSO-10-5A-JJSEMO,1.3876146138324863,0.0,23,14.917224376827939
CSO-10-5A-JLCARI,-0.39128402338354107,0.0,24,13.138325739611911
CSO-10-5A-MAARAN,1.0789608344822952,0.0,7,14.608570597477748
CSO-10-5A-MAOSMO,-1.704351790978535,0.0,12,11.825257972016917
CSO-10-5A-RVMOIB,-0.8792202548725001,0.0,15,12.650389508122952
CSO-10-5A-SVHEES,0.5419185977667489,0.0,10,14.071528360762201
CSO-11-5A-MDVOSPE,-0.33350421053358303,0.0,8,13.19610555246187
CSO-11-5A-MTAGA,-1.9092964794177725,0.0,12,11.62031328357768
CSO-11-6A-CAPAMU,-1.0909209364233057,0.0,6,12.438688826572147
CSO-11-6A-DSCACH,-1.583554411594445,0.0,2,11.946055351401007
CSO-11-6A-EROMO,0.5099431980135058,0.0,14,14.039552961008958
CSO-11-6A-FSOVRE,1.0475958604936437,0.0,15,14.577205623489096
CSO-11-6B-ANREVA,0.020973837654505445,0.0,18,13.550583600649958
CSO-11-6B-DISEMO,-1.5362112460324013,0.0,2,11.993398516963051
CSO-11-6B-LHFDLACH,-0.07477157231252107,0.0,21,13.454838190682931
CSO-11-6B-RJGIHE,0.48702345993325125,0.0,7,14.016633222928704
CSO-11-6B-SFLVA,1.485785163094743,0.0,22,15.015394926090195
CSO-11-6B-VCOMA,-0.8065529247583818,0.0,28,12.72305683823707
CSO-12-6A-DGISE,0.2766746880840145,0.0,7,13.806284451079467
CSO-12-6A-FJOVRE,0.42791723636261736,0.0,8,13.95752699935807
CSO-12-6B-GQULO,0.6462193596503916,0.0,7,14.175829122645844
CSO-12-6B-LJHEFE,-1.0918513798994525,0.0,2,12.437758383096
CSO-12-6B-VPAMA,1.1870294632358842,0.0,23,14.716639226231337
CSO-12-7A-DALRE,1.8631155300513846,0.0,23,15.392725293046837
CSO-12-7A-ESALA,0.61706721884822,0.0,17,14.146676981843672
CSO-12-7A-IMERO,-0.07591775564589653,0.0,18,13.453692007349556
CSO-12-7A-JHEZA,-1.1538791625171,0.0,23,12.375730600478352
CSO-12-7A-LSARAR,0.8263473118948532,0.0,20,14.355957074890306
CSO-12-7A-SCAHO,0.09001804119826673,0.0,6,13.619627804193719
CSO-12-7B-DVAGRO,-1.023853425953046,0.0,21,12.505756337042406
CSO-12-7B-SMUGU,-0.5412805978174156,0.0,12,12.988329165178037
CSO-12-7B-SSARA,-1.5628146912053218,0.0,7,11.96679507179013
CSO-12-7B-VHOMA,-1.9165362431830637,0.0,22,11.613073519812389
CSO-12-8A-YTOME,-1.0106952370069742,0.0,29,12.518914525988478
CSO-13-6A-ANASA,-1.8197151015503046,0.0,11,11.709894661445148
CSO-13-6B-JETAVE,0.7241897190406696,0.0,23,14.253799482036122
CSO-13-6B-LFMIES,-0.6249006568227742,0.0,23,12.904709106172678
CSO-13-6B-LJMAHU,0.054285689988528674,0.0,24,13.583895452983981
CSO-13-7A-CAPAMU,-0.5133255974620425,0.0,15,13.01628416553341
CSO-13-7A-CDDITR,-1.9351412766670926,0.0,11,11.59446848632836
CSO-13-7A-JJATFL,0.41603645412527257,0.0,18,13.945646217120725
CSO-13-7A-KRAMA,0.8841161974681206,0.0,17,14.413725960463573
CSO-13-7A-RXCHLU,-0.3499523051570108,0.0,5,13.179657457838442
CSO-13-7A-YAMEZA,-1.2535417795319752,0.0,7,12.276067983463477
CSO-13-7A-YBOSO,1.344405090968099,0.0,14,14.874014853963551
CSO-13-8A-KIGAGU,-0.04831005069219074,0.0,9,13.481299712303262
CSO-13-8A-MBUAN,-1.1468775202368207,0.0,8,12.382732242758632
CSO-13-8A-MGAAN,-1.4901021036537365,0.0,25,12.039507659341716
CSO-13-8A-MGAHE,-0.4208316487321859,0.0,24,13.108778114263266
CSO-13-8A-MJAGA,1.855204483368567,0.0,5,15.38481424636402
CSO-13-8A-VHODU,-0.11660612914562307,0.0,17,13.41300363384983
CSO-13-8B-FCJISA,-0.9422877602393704,0.0,11,12.587322002756082
CSO-13-8B-JEMABE,1.2195812027346165,0.0,9,14.749190965730069
CSO-13-9B-DMLLLU,0.8915403288740897,0.0,26,14.421150091869542
CSO-14-7A-MVEBE,0.34077710644189096,0.0,25,13.870386869437343
CSO-14-7B-EALHU,0.24989878041745328,0.0,8,13.779508543412906
CSO-14-7B-EVEGO,-1.4458840592091171,0.0,4,12.083725703786335
CSO-14-8A-AQUMA,0.8505989121144637,0.0,9,14.380208675109916
CSO-14-8A-MCIDOS,0.5592563548095697,0.0,27,14.088866117805022
CSO-14-8A-SZARA,-0.19588249067360763,0.0,30,13.333727272321845
CSO-14-8B-JLLORA,0.49381361813909663,0.0,31,14.023423381134549
CSO-14-9A-AEDCAGO,-1.4543677387453648,0.0,7,12.075242024250088
CSO-14-9A-HASACA,-0.9371948687971994,0.0,19,12.592414894198253
CSO-14-9A-JSMAAL,-0.6919059399787244,0.0,10,12.837703823016728
CSO-14-9A-MARJA,-0.6195546821597979,0.0,10,12.910055080835654
CSO-14-9A-SORZU,-0.07794961097735609,0.0,21,13.451660152018096
CSO-14-9B-ERAGA,1.311524825888334,0.0,6,14.841134588883786
CSO-14-9B-MFEGA,0.7711973765806377,0.0,27,14.30080713957609
CSO-15-10A-LJRAGU,-0.7244099467345464,0.0,17,12.805199816260906
CSO-15-10A-MAARLO,0.40237959318386274,0.0,14,13.931989356179315
CSO-15-10A-SFEGA,1.6593260236591938,0.0,5,15.188935786654646
CSO-15-10B-MEBUAR,-0.65528730089164,0.0,16,12.874322462103812
CSO-15-10B-YVBUAN,-0.41048429930515695,0.0,24,13.119125463690295
CSO-15-10C-ALBAHO,-0.5296097629954524,0.0,13,13.0
CSO-15-10C-SSCAMO,-0.8842573498627857,0.0,10,12.645352413132667
CSO-15-11C-JETALO,0.5384789506758914,0.0,15,14.068088713671344
CSO-15-7B-JCRAGA,-0.3263483941392309,0.0,20,13.203261368856221
CSO-15-8A-VBMABR,-0.05717290056782076,0.0,31,13.472436862427632
CSO-15-8B-KEPOGO,-2.244000380222108,0.0,7,11.285609382773345
CSO-15-9B-ALRIHE,-0.8609761458087846,0.0,8,12.668633617186668
CSO-15-9B-AMSAGO,-1.494456336151675,0.0,32,12.035153426843777
CSO-15-9B-JCAPA,-0.5131893720853782,0.0,14,13.016420390910074
CSO-15-9B-KSBEJA,1.4202004538650286,0.0,28,14.949810216860481
CSO-15-9B-RMCHLU,-0.13701091266891297,0.0,9,13.39259885032654
CSO-15-9B-SJAGRO,-2.2623123160243637,0.0,7,11.267297446971089
CSO-16-10A-JEGAHE,-0.252481555320621,0.0,9,13.277128207674831
CSO-16-10A-MSACO,-1.263711187553028,0.0,15,12.265898575442424
CSO-16-10A-SARI,0.4647074494200609,0.0,6,13.994317212415513
CSO-16-10A-SMOUT,-1.2261787888249351,0.0,4,12.303430974170517
CSO-16-10A-YKMUJO,0.8289261979072791,0.0,15,14.358535960902731
CSO-16-10B-JESUGU,-1.59299666634438,0.0,10,11.936613096651072
CSO-16-10B-LTVIFA,-3.6737641038314734,0.0,20,9.855845659163979
CSO-16-10B-VVILI,-1.0405755181537408,0.0,30,12.489034244841712
CSO-16-10C-ACALGU,-0.6344416316689454,0.0,19,12.895168131326507
CSO-16-10C-MAVAVE,-1.5580197793379895,0.0,11,11.971589983657463
CSO-16-11A-JAVABO,-0.8632391204190242,0.0,16,12.666370642576428
CSO-16-11A-JDMUVA,-1.7167174034793007,0.0,23,11.812892359516152
CSO-16-11A-VZAOR,-1.5696172896569962,0.0,4,11.959992473338456
CSO-16-11B-KRORE,-1.0405551006160323,0.0,8,12.48905466237942
CSO-16-11B-LLOZA,-1.97503614834282,0.0,9,11.554573614652632
CSO-16-11B-YAROMO,-1.495911712587688,0.0,13,12.033698050407764
CSO-16-9A-JALEMO,-1.1359299487412535,0.0,13,12.393679814254199
CSO-16-9A-JPROSO,-1.2497575361363182,0.0,2,12.279852226859134
CSO-16-9A-JSMAGU,0.09696008229232334,0.0,19,13.626569845287776
CSO-16-9B-SJPAJI,-0.6285634709523826,0.0,24,12.90104629204307
CSO-17-10A-YVGOCA,-0.36112788576578936,0.0,24,13.168481877229663
CSO-17-10B-EHECO,-0.9397596578370866,0.0,15,12.589850105158366
CSO-17-10B-YCQUVE,-0.21692775203354486,0.0,12,13.312682010961908
CSO-17-11A-DJAPA,-0.7640224547824488,0.0,16,12.765587308213004
CSO-17-11A-JDAMO,-0.44470110252409256,0.0,6,13.08490866047136
CSO-17-11A-NPAHE,-1.4043491714969214,0.0,17,12.125260591498531
CSO-17-11A-RLPAIG,-0.06365814075643428,0.0,4,13.465951622239018
CSO-17-11A-SPUVA,0.9457093845344815,0.0,6,14.475319147529934
CSO-17-11B-CDBEBU,-1.0568702838251092,0.0,13,12.472739479170343
CSO-17-11C-JDAAG,-2.182222139135625,0.0,7,11.347387623859827
CSO-17-11C-MAPAMA,-0.42415232692593463,0.0,7,13.105457436069518
CSO-17-11C-MCAAG,-0.9657865944264685,0.0,12,12.563823168568984
CSO-17-11C-SARJA,-0.9235565003606858,0.0,8,12.606053262634767
CSO-18-11A-ADBAHO,-1.8309374117148565,0.0,19,11.698672351280596
CSO-18-11B-YLLRE,-0.9411833414729784,0.0,22,12.588426421522474
CSO-18-9B-MAMOLO,-0.46466710077280027,0.0,10,13.064942662222652
CSO-8-3A-AIPRBR,0.8471549900913082,0.0,1,14.37676475308676
CSO-8-3A-DAPAVA,0.8545280602645917,0.0,9,14.384137823260044
CSO-8-3A-KVPECO,0.4304465315344004,0.0,23,13.960056294529853
CSO-8-4A-ARAGR,-0.8595214863680667,0.0,26,12.670088276627386
CSO-8-4A-JRAAR,2.5218262825656197,0.0,8,16.051436045561072
CSO-9-2A-EXMOCO,0.948858312337574,0.0,17,14.478468075333026
CSO-9-4A-AGAPE,-0.15447084735243877,0.0,4,13.375138915643014
