subject,nodes_T2W30,edges_T2W30,re_T2W30,l1_T2W30,l3_T2W30,lsc_T2W30,atd_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.030273579619623636,0.13733164973489312,-0.03491190547549537,0.044976333277497206,0.03178818144930152,0.1052247360926451,0.07607720205588121,7,8.603803255015213
CDMS-10-5A-HEPIHO,0.10816367931321515,-0.06286053828277685,-0.012923334744934284,0.058401348026658986,0.030139162495448058,0.07035268801289121,0.17465008109487906,11,8.578966564176254
CDMS-10-5A-KSRAGU,0.005487252324010701,0.11753594049638025,0.010371541765380321,-0.012719811685851349,0.03642585870507421,0.0998968242847373,0.05560423787956118,9,8.525645322030162
CDMS-10-5A-SROPU,0.022354658425852016,0.14191819876225473,0.0826190407718588,0.09177389691393419,0.06826133245722953,0.12454511739496323,0.05530007681778876,10,8.799815799804746
CDMS-10-5A-SZURO,0.08151297496171526,-0.07779291025224233,-0.03529530980535464,0.07658489890874022,0.1215946876210901,-0.10370088124934863,0.02803089539141502,10,8.30397783383688
CDMS-10-5B-SRAJA,-0.03541689196517267,0.06327194834243312,-0.033532954184251486,0.009379750776753076,-0.46956033171816414,-0.023210307478808683,0.013185712017918462,4,7.737160404051567
CDMS-10-5C-DAAUSA,-0.0011415139870744355,0.051715182578620116,-0.051103229581702235,-0.10400971098572977,-0.48580141962617823,0.0355399804367975,0.02543566999314961,3,7.683678437088743
CDMS-10-5C-ICAPA,-0.038521205349789346,-0.10863193197620888,0.006096787773635315,-0.17581365542608413,0.009960631909563892,0.07928143961325618,0.013319663774939067,7,7.9987352085801815
CDMS-10-5C-JFALGI,0.006471150636701426,0.1406588708603259,0.32180683764846213,-0.06848805170309617,0.06163287376743263,0.11546595037899697,-0.02767772859790256,12,8.76291338125178
CDMS-10-5C-NBEMO,-0.048858067390020556,-0.24203083895866487,0.3123486805055239,-0.011273186310195502,0.032482353399274695,-0.020236823452898456,-0.06654359674863317,9,8.168931999305254
CDMS-10-6B-ASCACO,-0.030181780582359714,-0.005034405183810648,0.04723738730517527,-0.0034512281973444396,0.059401604737971944,-0.004694450608611638,0.03998912587789433,9,8.316309731609781
CDMS-10-6B-JJMOBE,0.0881788835164767,-0.03257366916307227,-0.0862793270396973,0.055770350286493214,0.09024516988956154,0.07175266162109724,0.007950630763496431,9,8.40808817813522
CDMS-11-5A-EAARCA,-0.06700116665572105,0.13981375975491597,-0.08961508613835972,-0.030793229051462537,-0.02933944260374678,0.027807332343981937,-0.07551129390114998,6,8.088404352009329
CDMS-11-5A-MGTHAR,-0.08033975034167304,-0.15178795347873533,0.035612687648976064,0.030197241061501384,-0.031008481846483606,0.09988468703444287,-0.08489435069006059,9,8.030707557648835
CDMS-11-6A-DFVEBE,-0.0191538505381279,0.09340746273494793,-0.014470751090448842,0.014399306796885147,-0.202403427613365,0.10447969404849977,0.029796294600290825,11,8.219098207199544
CDMS-11-6A-NMREPR,0.011677179435440055,0.10919189098019129,-0.024598984578578825,-0.015005201198788985,-0.1491872594111382,-0.13094504869803808,0.003383723882723733,9,8.017559778672677
CDMS-11-6B-ARAHE,-0.062496551210286765,0.08393039186421274,-0.2694438034643536,0.015829412809394632,0.0036713839347892923,0.012475923138902523,-0.007914805514495124,7,7.989095429819029
CDMS-11-6B-AVROTO,0.08601575670458687,0.13971054199385816,-0.035825755935666406,0.059572211889538186,0.12369449724724811,0.11442671545779955,0.09829670982840581,10,8.798934155446636
CDMS-11-6B-EAFESA,-0.0339872407253123,0.130878239496603,-0.06088773045808694,0.07840676101095027,0.04006842173504196,-0.11642601116402744,-0.039784620329019235,7,8.211311297827015
CDMS-11-6B-EFRGR,-0.010854321696221901,0.12399022086439548,0.0067768555409341204,0.0335367965111598,0.03088640608652962,0.10650670879072748,0.06362603952539639,7,8.567512183883787
CDMS-11-6B-EROCO,5.7580039640708685e-05,0.12255777480227022,-0.04345159225515695,0.039231010462851136,0.020909231358615266,0.1086718017230669,0.00983457377770297,8,8.470853858169857
CDMS-11-6B-JACUPE,-0.10486303622341472,-0.04506713696327162,-0.0158137421106793,-0.11049641026204773,0.05384535405812861,-0.1119534142534835,-0.076028871590274,8,7.802666220915824
