subject,nodes_T2W30,edges_T2W30,re_T2W30,l1_T2W30,l3_T2W30,lsc_T2W30,atd_T2W30
CDMS-10-4A-JURAN,22.638655462184875,29.0,1.2605042016806722,0.4873949579831932,0.7563025210084033,19.058823529411764,2.567261434217956
CDMS-10-5A-HEPIHO,22.25925925925926,28.85185185185185,1.148148148148148,0.0,0.7870370370370371,18.84259259259259,2.6017256934851645
CDMS-10-5A-KSRAGU,22.146067415730336,29.0,1.4943820224719102,0.9325842696629212,1.101123595505618,18.696629213483146,2.6558727277501712
CDMS-10-5A-SROPU,23.47222222222222,29.0,1.6319444444444444,0.3819444444444444,0.3125,18.506944444444443,2.502393062172969
CDMS-10-5A-SZURO,23.0,28.384615384615383,1.0769230769230769,0.0,0.0,15.384615384615383,2.470229046316003
CDMS-10-5B-SRAJA,22.10843373493976,29.0,1.8975903614457832,0.3072289156626506,2.8072289156626504,17.53614457831325,2.6566227694651228
CDMS-10-5C-DAAUSA,22.712,29.0,1.504,0.128,2.744,18.776,2.576078030344941
CDMS-10-5C-ICAPA,20.956521739130437,28.17391304347826,1.826086956521739,2.1739130434782608,0.217391304347826,18.91304347826087,2.707462748065673
CDMS-10-5C-JFALGI,24.433962264150946,29.0,0.2830188679245283,0.0,0.5094339622641509,20.943396226415093,2.3830703076888478
CDMS-10-5C-NBEMO,23.78787878787879,28.272727272727277,0.106060606060606,0.7727272727272727,0.3636363636363636,17.363636363636363,2.383055640012162
CDMS-10-6B-ASCACO,21.649484536082475,28.88659793814433,1.556701030927835,1.175257731958763,0.7835051546391752,17.11340206185567,2.696176682619114
CDMS-10-6B-JJMOBE,23.0,28.181818181818183,0.7272727272727273,0.0,0.0,19.363636363636363,2.453911246855911
CDMS-11-5A-EAARCA,23.97530864197531,29.0,0.9814814814814816,0.7160493827160493,0.9506172839506172,17.72222222222222,2.4381498726737023
CDMS-11-5A-MGTHAR,24.06741573033708,28.853932584269664,0.5393258426966292,0.7191011235955056,0.6629213483146067,18.25842696629213,2.4053118610568536
CDMS-11-6A-DFVEBE,20.818181818181817,29.0,1.121212121212121,0.7272727272727273,3.272727272727273,18.33333333333333,2.7900067872399887
CDMS-11-6A-NMREPR,23.426966292134832,29.0,1.404494382022472,1.1235955056179776,4.01123595505618,15.876404494382022,2.48711965502879
CDMS-11-6B-ARAHE,21.766666666666666,29.0,2.533333333333333,1.4,1.0333333333333334,17.43888888888889,2.705640286817064
CDMS-11-6B-AVROTO,23.121951219512194,29.0,0.8373983739837398,0.4715447154471545,1.5365853658536586,19.3739837398374,2.543077611505734
CDMS-11-6B-EAFESA,23.737373737373737,29.0,0.9494949494949496,1.3737373737373737,0.0,16.67676767676768,2.453941616541529
CDMS-11-6B-EFRGR,22.2319587628866,29.0,1.5670103092783505,1.407216494845361,0.4123711340206185,18.530927835051543,2.627870612772592
CDMS-11-6B-EROCO,23.53968253968254,29.0,0.746031746031746,1.8571428571428568,1.7142857142857142,19.11111111111111,2.4871126671232004
CDMS-11-6B-JACUPE,19.13888888888889,28.83888888888889,2.1333333333333333,2.172222222222222,1.6666666666666667,15.833333333333334,3.047120301951762
CDMS-11-6B-JDCHBA,22.067901234567906,28.820987654320987,1.530864197530864,1.0432098765432098,3.265432098765432,16.358024691358025,2.6344895909457717
CDMS-11-6B-JFSAHE,23.88732394366197,29.0,1.1971830985915493,0.1901408450704225,0.5211267605633803,19.54225352112676,2.4506022467473785
CDMS-11-6B-JLPENA,22.420454545454547,27.488636363636363,0.9431818181818182,1.318181818181818,0.4431818181818182,12.568181818181818,2.4943815377620244
CDMS-11-6B-JMARME,23.544117647058822,28.893382352941178,0.7720588235294118,0.7720588235294118,0.5625,17.25,2.466778030094846
CDMS-11-6B-JPSAMA,24.78125,29.0,0.0,0.453125,0.84375,19.03125,2.348415699889885
CDMS-11-6B-LESTA,23.27927927927928,28.306306306306308,1.108108108108108,0.5405405405405406,0.6936936936936937,15.225225225225223,2.445896653615952
CDMS-11-6B-MEBRTA,22.954954954954957,29.0,1.7567567567567568,2.0,0.4234234234234234,13.927927927927929,2.5591347961294564
CDMS-11-6B-MMAMO,22.80203045685279,29.0,1.2233502538071066,0.5685279187817259,1.0913705583756346,18.98984771573604,2.565086871500556
CDMS-11-6B-RSECA,25.83606557377049,29.0,0.4590163934426229,0.3770491803278688,0.6229508196721312,18.131147540983605,2.25598916038688
CDMS-11-6B-SCAPA,25.0,29.0,0.7142857142857143,0.0,1.1607142857142858,18.678571428571427,2.3266236031336964
CDMS-11-6B-VZAPE,22.852459016393443,29.0,0.1557377049180328,1.680327868852459,0.5737704918032787,19.37704918032787,2.5575519255170005
CDMS-11-6B-YLNIME,24.265625,29.0,0.390625,0.0,0.71875,20.765625,2.399482364957908
CDMS-11-7C-ICARE,21.65217391304348,29.0,1.6521739130434785,0.0,1.608695652173913,19.76086956521739,2.684966325420012
CDMS-11-7C-SALMA,22.289473684210527,29.0,1.5263157894736843,0.1447368421052631,0.2105263157894736,19.68421052631579,2.6106959345002823
CDMS-11-7C-SPGAVE,23.48076923076923,28.23076923076923,0.3653846153846153,0.7115384615384616,1.1923076923076923,16.78846153846154,2.4200586646951723
CDMS-12-5A-SRIGO,23.392473118279568,29.0,1.543010752688172,0.1559139784946236,1.0806451612903225,18.274193548387096,2.4922185657635083
CDMS-12-6A-FAROPA,23.153374233128837,29.0,0.6319018404907976,1.3987730061349692,0.7668711656441718,18.828220858895705,2.520121059097067
