subject,pe_T2W40,lsc_T2W40
CDMS-10-4A-JURAN,1.889908256880734,25.86238532110092
CDMS-10-5A-HEPIHO,0.4693877551020408,24.887755102040817
CDMS-10-5A-KSRAGU,0.5189873417721519,25.050632911392405
CDMS-10-5A-SROPU,1.2164179104477613,26.21641791044776
CDMS-10-5A-SZURO,1.0,25.666666666666668
CDMS-10-5B-SRAJA,0.7884615384615384,24.762820512820515
CDMS-10-5C-DAAUSA,1.1652173913043478,25.817391304347822
CDMS-10-5C-ICAPA,0.6923076923076923,22.923076923076923
CDMS-10-5C-JFALGI,0.0,28.023255813953487
CDMS-10-5C-NBEMO,1.5178571428571428,23.392857142857142
CDMS-10-6B-ASCACO,4.298850574712644,23.48275862068965
CDMS-10-6B-JJMOBE,0.0,25.0
CDMS-11-5A-EAARCA,1.4013157894736843,25.625
CDMS-11-5A-MGTHAR,0.569620253164557,25.10126582278481
CDMS-11-6A-DFVEBE,1.0,23.82608695652174
CDMS-11-6A-NMREPR,0.1518987341772152,24.253164556962027
CDMS-11-6B-ARAHE,1.035294117647059,24.323529411764707
CDMS-11-6B-AVROTO,0.6283185840707964,25.920353982300885
CDMS-11-6B-EAFESA,0.3707865168539326,25.191011235955056
CDMS-11-6B-EFRGR,0.6195652173913043,25.17934782608696
CDMS-11-6B-EROCO,0.8113207547169812,26.90566037735849
CDMS-11-6B-JACUPE,2.0647058823529414,20.623529411764707
CDMS-11-6B-JDCHBA,0.2828947368421052,23.05263157894737
CDMS-11-6B-JFSAHE,0.6212121212121212,26.234848484848484
CDMS-11-6B-JLPENA,0.4871794871794871,16.73076923076923
CDMS-11-6B-JMARME,1.2061068702290076,25.73282442748092
CDMS-11-6B-JPSAMA,0.7037037037037037,27.38888888888889
CDMS-11-6B-LESTA,0.504950495049505,22.257425742574256
CDMS-11-6B-MEBRTA,1.1782178217821782,22.099009900990097
CDMS-11-6B-MMAMO,1.0,25.850267379679146
CDMS-11-6B-RSECA,0.7254901960784313,27.49019607843137
CDMS-11-6B-SCAPA,0.0,26.823529411764707
CDMS-11-6B-VZAPE,1.6696428571428572,25.9375
CDMS-11-6B-YLNIME,0.7592592592592593,27.24074074074074
CDMS-11-7C-ICARE,2.805555555555556,24.52777777777778
CDMS-11-7C-SALMA,0.3787878787878788,25.33333333333333
CDMS-11-7C-SPGAVE,0.5714285714285714,22.38095238095238
CDMS-12-5A-SRIGO,1.9488636363636365,25.19886363636364
CDMS-12-6A-FAROPA,0.5228758169934641,25.647058823529413
CDMS-12-6A-JGIGA,0.4666666666666667,25.685714285714287
CDMS-12-6A-SROAL,0.1025641025641025,25.17948717948718
CDMS-12-6B-IJDAGA,2.3692307692307693,23.815384615384616
CDMS-12-6B-SCLAG,4.176470588235294,20.01960784313725
CDMS-12-7C-CATRAR,0.0,28.071428571428573
CDMS-12-7C-DLOLO,1.7297297297297298,24.7027027027027
CDMS-12-7C-JSZAOR,0.8787878787878788,22.318181818181817
CDMS-12-7C-MAROBE,0.0,27.0
CDMS-12-7C-VMAPA,0.0,27.53333333333333
CDMS-12-7C-VQURA,0.8846153846153846,25.75
CDMS-13-6B-JDTAHE,1.6075949367088609,23.79746835443038
CDMS-13-7C-MVEAR,2.805194805194805,25.376623376623375
CDMS-13-7C-RAIZAC,0.6301369863013698,27.356164383561644
CDMS-13-7C-SSOSLO,2.2142857142857144,24.68367346938776
CDMS-14-10A-IMORTO,0.825,26.5
CDMS-14-10A-JCVANI,1.0100502512562817,25.05025125628141
CDMS-14-6B-KDCAHE,0.7222222222222222,18.194444444444443
CDMS-15-10A-AMALOS,1.027972027972028,26.251748251748253
CDMS-15-10A-JJMACH,0.8707865168539326,27.337078651685392
CDMS-15-10A-MAALCA,2.550561797752809,27.168539325842698
CDMS-15-10A-MAALRI,0.6733333333333333,24.293333333333333
CDMS-15-10A-SGOMO,2.105691056910569,25.902439024390244
CDMS-15-10A-SHEGA,1.8253012048192767,24.33734939759036
CDMS-15-11B-JEMOLO,0.1857142857142857,21.757142857142856
CDMS-15-11B-VSAHO,1.043103448275862,25.948275862068964
CDMS-16-10A-SGALO,0.0,28.61904761904762
CDMS-16-11B-NGABE,1.390625,26.328125
CDMS-17-10A-ASSAMO,0.0522388059701492,27.604477611940297
CDMS-18-7C-VVECA,0.2567567567567567,25.72972972972973
CDMS-8-4A-DJAVDA,0.0,22.9375
CDMS-8-4A-DOSTR,0.8295454545454546,21.01136363636364
CDMS-8-4A-LGOPA,0.9464285714285714,20.982142857142858
CDMS-8-4C-JDBUTU,3.0,11.444444444444445
CDMS-9-4A-ACDUTR,2.0,22.0
CDMS-9-4A-CARGA,0.7849462365591398,24.86021505376344
CDMS-9-4A-CRAAG,4.866666666666666,23.6
