subject,pe_T2W40,lsc_T2W40,y_true,y_pred
CSO-13-7A-JJATFL,-1.0700976655322516,1.1694468833359077,7,5.65681845174348
CSO-13-7A-RXCHLU,0.6019280342472207,-1.2630282777004047,1,4.896368990486637
CSO-13-7A-YAMEZA,0.26651060464870496,-0.07410796028527591,3,5.74987187830325
CSO-13-8A-KIGAGU,-0.11853560434073017,-1.3033768116893345,2,4.1355568179097615
CSO-13-8A-MBUAN,-0.9618851042528135,-0.5328553448966227,3,4.062728784790382
CSO-13-8A-MGAAN,-0.7148555687589582,-0.5598408279962584,9,4.282772837184605
CSO-13-8A-MGAHE,2.149043921579886,1.3540054199498486,12,9.060518575469555
CSO-13-8A-MJAGA,-1.2734402312155841,0.7998718154758893,2,5.083900818200124
CSO-13-8A-VHODU,0.4648723960461926,1.2256078787478073,8,7.247949508733822
CSO-13-8B-FCJISA,-0.3800315824748776,-0.6537112145032141,5,4.523726436961732
CSO-13-8B-JEMABE,1.1131657899216363,0.2754579354667955,6,6.946092959328251
CSO-13-9B-DMLLLU,0.8049480252341202,-0.22247156579687613,10,6.139945693377065
CSO-14-7B-EVEGO,-1.1823881317515148,-0.5296731695254715,1,3.8454079326628348
CSO-14-8A-AQUMA,-0.69719010466774,-0.15519042712455733,3,4.705088702147525
CSO-14-8A-SZARA,1.7819865085215418,0.6480734585482311,12,7.987529201009591
CSO-14-8B-JLLORA,-0.1196210071542386,1.5851734801689958,13,7.023021706954577
CSO-14-9A-AEDCAGO,-1.2151171815559678,-1.2860060019201591,2,3.0563460504636977
CSO-14-9A-HASACA,0.815154951607743,1.4827172776370383,11,7.855341463184602
CSO-14-9A-JSMAAL,-1.3744715878018654,0.5202524806415832,2,4.703250126779534
CSO-14-9A-MARJA,-0.4865220614931507,-0.5265623930909601,3,4.544384779355712
CSO-14-9A-SORZU,0.3745402769354495,-0.26468654698368027,5,5.667322963891593
CSO-14-9B-ERAGA,-1.7975907635153132,-0.6477201494426567,1,3.1121583209818517
CSO-14-9B-MFEGA,0.7009762193648437,0.5404765669408852,11,6.798922020245552
CSO-15-10A-LJRAGU,0.29996619742952907,0.38992715200822625,8,6.247362583377579
CSO-15-10A-MAARLO,-0.11182594817356929,0.1522876007892012,4,5.597930886555453
CSO-15-10A-SFEGA,0.005482569950938792,1.424858706277619,2,6.987810510168377
CSO-15-10B-MEBUAR,0.019608504626937084,-0.19230309055681719,8,5.384774648009941
CSO-15-10B-YVBUAN,-0.2570032376195483,-0.2552542908144511,6,5.045211705505824
CSO-15-10C-SSCAMO,-0.5053951412684249,0.6833267747015543,3,5.73540086737295
CSO-15-11C-JETALO,1.2653772283434155,0.9794098416887542,5,7.802256303971986
CSO-15-7B-JCRAGA,-0.14156837769895778,-0.8806401227739026,8,4.535260733466958
CSO-15-8A-VBMABR,1.1545179379564436,2.4220547744749426,12,9.134041946371212
CSO-15-8B-KEPOGO,0.22201751292763694,-0.6307427258195142,5,5.148744021047943
CSO-15-9B-ALRIHE,-0.7399424368772521,-0.44965191595239296,3,4.3678748811101755
CSO-15-9B-AMSAGO,-0.35551861929964657,1.8517812562485596,15,7.053731870888735
CSO-15-9B-JCAPA,-0.5703677815825471,-0.35490583983931806,5,4.6321956125179575
CSO-15-9B-KSBEJA,0.903342022176154,1.6835885054853503,13,8.144399761601324
CSO-15-9B-RMCHLU,0.15629054189210215,-0.558119464799455,5,5.155640311032467
CSO-16-10A-MSACO,-0.6614982415456832,-0.6954082187893719,5,4.200562773604766
CSO-16-10A-YKMUJO,-0.7149783193950077,0.24473896704781162,5,5.087229881592629
CSO-16-10B-JESUGU,-0.3269301733232064,-0.9729285454861473,3,4.257610515130466
CSO-16-10B-LTVIFA,-0.07855136921510165,1.2324343888997382,10,6.711352253624457
