target,window,feature_type,covariates,n_subjects,n_predictors,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
MOT,T2W10,z,,240,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,172.14032560328488,330.8181837167306,-0.0026384411537048267,0.048685161285736994,-0.007424015527601873,0.0021471332201922193,7.666456336246584,0.5291316977551731,7.614444613858891,7.718468058634277,6.55768683150525,0.43873349190783056,6.514560924136435,6.6008127388740645,0.07974745424691793,0.20152468626542464,0.05993831017036341,0.09955659832347244,0.4275
COG,T2W10,z,,240,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,241.27482560162244,403.7758056408621,-0.02754056039725126,0.07948312059825005,-0.03535346221470481,-0.019727658579797705,2.2314241680059244,0.30036855020091313,2.2018990314221165,2.260949304589732,1.7537277998602057,0.19869392298801328,1.7341969095234189,1.7732586901969924,0.09306110420527042,0.19057439929198983,0.07432833353167802,0.11179387487886282,0.665
MOT_V4,T2W10,z,,240,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,253.93924309484456,398.9833848029859,-0.011307389630813926,0.04715436134119427,-0.015942491934932437,-0.006672287326695415,3.4599314483060932,0.2530141638621463,3.4350610757565336,3.484801820855653,2.860914325674676,0.17970438331433128,2.8432500380569623,2.8785786132923894,0.05069847335340092,0.19677207435795682,0.031356493750636885,0.07004045295616496,0.5575
COG_V1,T2W10,z,,240,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,232.52925688963413,405.72067475583293,-0.0067392869048681055,0.05862401960930292,-0.012501814922194588,-0.0009767588875416238,1.3580579896019345,0.11623220573380834,1.3466327863060752,1.3694831928977937,1.0691179380685008,0.09036473623804628,1.0602354129905474,1.0780004631464541,0.10884197170429809,0.19152942088449004,0.09001532587986119,0.12766861752873498,0.55
