target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W10,VALIDATION,R2,0.014357,0.035006,0.010916,0.017798,1.9659,399,True
MOT,T2W10,VALIDATION,RMSE,7.6751,0.341817,7.6415,7.708699,1.9659,399,True
MOT,T2W10,VALIDATION,MAE,6.524593,0.283098,6.496766,6.55242,1.9659,399,True
MOT,T2W10,VALIDATION,rho,0.128556,0.124058,0.116361,0.14075,1.9659,399,True
MOT,T2W10,TEST,R2,0.012932,0.055516,0.007475,0.018389,1.9659,399,True
MOT,T2W10,TEST,RMSE,7.60571,0.532488,7.553369,7.658052,1.9659,399,True
MOT,T2W10,TEST,MAE,6.492919,0.442375,6.449436,6.536403,1.9659,399,True
MOT,T2W10,TEST,rho,0.125301,0.194439,0.106188,0.144413,1.9659,399,True
COG,T2W10,VALIDATION,R2,-0.001511,0.032801,-0.004735,0.001714,1.9659,399,False
COG,T2W10,VALIDATION,RMSE,2.257808,0.181375,2.239979,2.275636,1.9659,399,True
COG,T2W10,VALIDATION,MAE,1.762051,0.122246,1.750034,1.774067,1.9659,399,True
COG,T2W10,VALIDATION,rho,0.132015,0.124271,0.119799,0.14423,1.9659,399,True
COG,T2W10,TEST,R2,-0.003811,0.05424,-0.009143,0.00152,1.9659,399,False
COG,T2W10,TEST,RMSE,2.206562,0.293066,2.177755,2.23537,1.9659,399,True
COG,T2W10,TEST,MAE,1.731701,0.192807,1.712749,1.750653,1.9659,399,True
COG,T2W10,TEST,rho,0.1406,0.189075,0.122015,0.159186,1.9659,399,True
MOT_V4,T2W10,VALIDATION,R2,-0.001813,0.039281,-0.005674,0.002048,1.9659,399,False
MOT_V4,T2W10,VALIDATION,RMSE,3.48163,0.16783,3.465133,3.498128,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.87702,0.125022,2.864731,2.889309,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.095903,0.137762,0.082361,0.109444,1.9659,399,True
MOT_V4,T2W10,TEST,R2,-0.005637,0.059019,-0.011438,0.000165,1.9659,399,False
MOT_V4,T2W10,TEST,RMSE,3.449112,0.251324,3.424408,3.473816,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.851873,0.183201,2.833865,2.869881,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.094707,0.207022,0.074357,0.115056,1.9659,399,True
COG_V1,T2W10,VALIDATION,R2,0.006139,0.043049,0.001907,0.01037,1.9659,399,True
COG_V1,T2W10,VALIDATION,RMSE,1.340231,0.076011,1.332759,1.347702,1.9659,399,True
COG_V1,T2W10,VALIDATION,MAE,1.050564,0.056187,1.045041,1.056087,1.9659,399,True
COG_V1,T2W10,VALIDATION,rho,0.125007,0.120471,0.113165,0.136849,1.9659,399,True
COG_V1,T2W10,TEST,R2,0.009486,0.061264,0.003464,0.015508,1.9659,399,True
COG_V1,T2W10,TEST,RMSE,1.346592,0.111235,1.335658,1.357526,1.9659,399,True
COG_V1,T2W10,TEST,MAE,1.063232,0.087096,1.054671,1.071793,1.9659,399,True
COG_V1,T2W10,TEST,rho,0.138919,0.196576,0.119596,0.158242,1.9659,399,True
