target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
COG,T6W40,VALIDATION,R2,-0.015285,0.05829,-0.021015,-0.009555,1.9659,399,True
COG,T6W40,VALIDATION,RMSE,2.257968,0.193089,2.238988,2.276948,1.9659,399,True
COG,T6W40,VALIDATION,MAE,1.756385,0.130238,1.743583,1.769187,1.9659,399,True
COG,T6W40,VALIDATION,rho,0.110793,0.124002,0.098604,0.122982,1.9659,399,True
COG,T6W40,TEST,R2,-0.016766,0.082013,-0.024827,-0.008704,1.9659,399,True
COG,T6W40,TEST,RMSE,2.181263,0.282907,2.153454,2.209071,1.9659,399,True
COG,T6W40,TEST,MAE,1.691676,0.199762,1.67204,1.711312,1.9659,399,True
COG,T6W40,TEST,rho,0.107215,0.187118,0.088822,0.125608,1.9659,399,True
