subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_lsc_T6W50,z_diameter_T6W50,z_asp_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,2.3210799774194255,0.6498121433667925,-0.7906045349963825,-1.2121669100629942,6.0982492931248125,-7.298764724414974,6,14.161217393991897
CDMS-10-5A-HEPIHO,1.7196042631978135,1.1593353562507585,0.04670173351650892,-1.0841841961357923,6.126856655247957,-8.24763126407769,25,14.114294697554776
CDMS-10-5A-KSRAGU,0.8439599656465157,-0.6821624473236064,0.8646660170048606,-0.9944738227742044,5.398627145649129,-4.087861073206958,19,15.736367934550954
CDMS-10-5A-SROPU,-3.6812156965965093,-0.5547793443694607,-0.8017854860171829,0.14424055367695787,-4.818808561266492,6.0572648514254634,19,10.738528466407992
CDMS-10-5A-SZURO,-1.3228610959591136,0.3381396295041445,1.320607389020216,-0.6397048203066321,0.5580863776281854,-0.7792197656528941,12,13.868659863789123
CDMS-10-5B-SRAJA,1.623851663116345,1.12853905097476,1.851155689900618,-0.7001600165710362,4.363279905539746,-7.262946325448209,30,15.397332117067442
CDMS-10-5C-DAAUSA,-0.0628670011266075,1.0354434624303217,-0.6239713960397196,0.16694875193280412,0.7731802124404634,0.3749624304598859,18,16.057308609652367
CDMS-10-5C-ICAPA,0.8095507690019021,-0.20826727273047674,1.5772273185517878,0.01257341390527368,3.0464679174199882,-3.7027374719881676,16,15.928426823715526
CDMS-10-5C-JFALGI,1.6319495621442934,2.0019375695776884,1.7317889424960802,-0.33179068710881365,3.7771328771997155,-6.396057146723141,19,16.80857326714104
CDMS-10-5C-MAORTO,-0.7560126987220059,-0.39695899850227145,0.39699653673829854,1.0031685989886994,-1.6365605724952206,1.661414108951331,28,14.665659124514049
CDMS-10-5C-NBEMO,-1.0128647949883087,-2.4117429446352623,0.3432540964452202,0.3750538770457117,-1.0019836083154892,5.2676351004390725,22,15.952963875546162
CDMS-10-6B-ASCACO,0.007650109552407915,1.8502582529469138,2.572477306731742,-1.2410624112322137,6.303043001421655,-8.71082941455015,14,15.175148994425573
CDMS-10-6B-JJMOBE,-0.029044167561229274,1.3457778529138231,-0.3246497206939854,-0.31093425522933854,1.9507983273569363,-3.5610744186208727,13,13.464485767720552
CDMS-11-4A-GACHSA,-3.283491903354585,0.16713353205938522,1.1198697169411678,-0.1374549247755415,-3.3991112900560214,9.26406921087547,10,18.124626491245092
CDMS-11-5A-EAARCA,-1.1669192357377076,1.047624463031347,1.8227072291426567,-0.1639855455827071,3.2239493194289235,-3.4255313338895936,26,15.731457045948137
CDMS-11-5A-MGTHAR,-1.6181456742766014,0.2024394397493589,1.0917018209978826,1.6502963283153158,-7.550812668583549,8.230280943588436,16,16.39937233934606
CDMS-11-6A-DFVEBE,3.2177549264543805,-3.3563188830821162,1.6113084896939918,-0.4755902379396701,0.9039367228303432,-3.1415617921687913,7,13.153141375343356
CDMS-11-6A-NMREPR,-2.5612724344811872,1.2168515773271917,1.6071100152564688,-0.5394142761493587,0.73302605942535,-1.6129451524267833,23,13.236967938506899
CDMS-11-6B-ARAHE,-2.3110347488084586,-2.1489222406614097,2.1214844587103348,0.2589969873116599,-0.5270265002579438,1.9281085049227544,13,13.715218610772155
CDMS-11-6B-AVROTO,-1.3410986738471886,0.903332232612665,1.1327815276856237,1.7431282139812272,-3.5473149251736453,0.9533705449431371,15,14.237811069757038
CDMS-11-6B-EAFESA,-3.0255518077477563,-0.2898333208881449,-0.1149647189359874,0.5163056671027874,-2.677516494399644,4.975509201152719,2,13.777560675839192
CDMS-11-6B-EFRGR,-3.0539125796318043,-0.17383590440161112,2.409294077949027,0.31348795837955706,-5.079248437694853,8.585425329994541,10,17.39482259415007
CDMS-11-6B-EROCO,-0.5364631532284935,0.885514638720412,1.3856744311159666,-1.1120595664920612,0.6428771346337131,-0.899270599639175,13,14.75988503466558
CDMS-11-6B-JACUPE,1.2482656113684856,-2.526552445562644,-0.7568059683437731,0.9358750004193483,-1.46843477894381,4.8284939999214105,22,16.654453568414233
CDMS-11-6B-JDCHBA,-0.7972353982885085,-1.6294520142460636,-2.2609387363385802,1.2785576421593066,-4.893169479022793,8.977779155316144,13,15.06915331913472
CDMS-11-6B-JFSAHE,0.4137843088543518,1.1559764987697745,-0.7725761220819728,-0.7572055858485647,5.392133670065687,-7.1467356042862535,12,12.67898931502824
