subject,pe_T2W10,l2_T2W10,l3_T2W10,diameter_T2W10
CDMS-10-4A-JURAN,0.4388489208633093,0.2949640287769784,0.1510791366906475,7.043165467625899
CDMS-10-5A-HEPIHO,0.0625,0.0625,0.1953125,7.0390625
CDMS-10-5A-KSRAGU,0.146788990825688,0.146788990825688,0.2844036697247706,6.954128440366972
CDMS-10-5A-SROPU,0.2439024390243902,0.2012195121951219,0.0853658536585365,7.2073170731707314
CDMS-10-5A-SZURO,0.0909090909090909,0.0606060606060606,0.0,6.878787878787879
CDMS-10-5B-SRAJA,0.1720430107526881,0.1720430107526881,0.5161290322580645,6.333333333333333
CDMS-10-5C-DAAUSA,0.1793103448275862,0.1172413793103448,0.4896551724137931,6.8068965517241375
CDMS-10-5C-ICAPA,0.1860465116279069,0.1860465116279069,0.0465116279069767,6.953488372093023
CDMS-10-5C-JFALGI,0.0,0.0,0.0958904109589041,7.191780821917808
CDMS-10-5C-MAORTO,0.0,0.0,0.0,7.157894736842105
CDMS-10-5C-NBEMO,0.3372093023255814,0.3023255813953488,0.0813953488372093,7.011627906976744
CDMS-10-6B-ASCACO,0.6153846153846154,0.4017094017094017,0.1196581196581196,6.786324786324786
CDMS-10-6B-JJMOBE,0.0,0.0,0.0,6.595238095238095
CDMS-11-5A-EAARCA,0.2197802197802197,0.2197802197802197,0.2307692307692307,7.1923076923076925
CDMS-11-5A-MGTHAR,0.036697247706422,0.036697247706422,0.128440366972477,7.055045871559633
CDMS-11-6A-DFVEBE,0.1509433962264151,0.1509433962264151,0.4716981132075472,6.169811320754717
CDMS-11-6A-NMREPR,0.073394495412844,0.073394495412844,0.8165137614678899,6.834862385321101
CDMS-11-6B-ARAHE,0.24,0.17,0.26,6.765
CDMS-11-6B-AVROTO,0.1118881118881118,0.1118881118881118,0.1468531468531468,7.545454545454546
CDMS-11-6B-EAFESA,0.0840336134453781,0.0840336134453781,0.0,7.521008403361344
CDMS-11-6B-EFRGR,0.1121495327102803,0.1121495327102803,0.0981308411214953,6.813084112149533
CDMS-11-6B-EROCO,0.1927710843373494,0.1927710843373494,0.3253012048192771,6.9156626506024095
CDMS-11-6B-JACUPE,0.405,0.335,0.31,5.395
CDMS-11-6B-JDCHBA,0.1208791208791208,0.1208791208791208,0.6043956043956044,6.703296703296704
CDMS-11-6B-JFSAHE,0.1419753086419753,0.1419753086419753,0.0864197530864197,8.0
CDMS-11-6B-JLPENA,0.074074074074074,0.074074074074074,0.1296296296296296,6.37962962962963
CDMS-11-6B-JMARME,0.2465753424657534,0.2226027397260274,0.0958904109589041,7.184931506849315
CDMS-11-6B-JPSAMA,0.1904761904761904,0.1904761904761904,0.1666666666666666,7.309523809523809
CDMS-11-6B-LESTA,0.1221374045801526,0.1221374045801526,0.1297709923664122,6.7251908396946565
CDMS-11-6B-MAGIMU,0.0,0.0,0.0,7.315789473684211
CDMS-11-6B-MEBRTA,0.2213740458015267,0.2061068702290076,0.0687022900763358,6.885496183206107
CDMS-11-6B-MMAMO,0.2073732718894009,0.1198156682027649,0.1658986175115207,7.32258064516129
CDMS-11-6B-RSECA,0.1975308641975308,0.1975308641975308,0.1851851851851851,7.802469135802469
CDMS-11-6B-SCAPA,0.0,0.0,0.303030303030303,7.4393939393939394
CDMS-11-6B-VZAPE,0.2816901408450704,0.2816901408450704,0.0915492957746478,6.950704225352113
CDMS-11-6B-YLNIME,0.0952380952380952,0.0952380952380952,0.0833333333333333,7.440476190476191
CDMS-11-7C-ICARE,0.2424242424242424,0.2424242424242424,0.4242424242424242,7.03030303030303
CDMS-11-7C-SALMA,0.0833333333333333,0.0833333333333333,0.0,6.854166666666667
CDMS-11-7C-SPGAVE,0.125,0.125,0.1666666666666666,6.819444444444445
CDMS-12-5A-SRIGO,0.3543689320388349,0.233009708737864,0.174757281553398,7.325242718446602
CDMS-12-6A-FAROPA,0.087431693989071,0.087431693989071,0.1475409836065573,6.939890710382514
CDMS-12-6A-JGIGA,0.0592592592592592,0.0592592592592592,0.0,7.437037037037037
CDMS-12-6A-JSOTGU,0.0,0.0,0.0,8.5625
CDMS-12-6A-SROAL,0.0579710144927536,0.0579710144927536,0.2028985507246377,6.27536231884058
CDMS-12-6B-IJDAGA,0.3511111111111111,0.2577777777777778,0.1866666666666666,6.986666666666666
CDMS-12-6B-SCLAG,0.8518518518518519,0.5925925925925926,0.9506172839506172,5.45679012345679
CDMS-12-7C-ARAHE,0.5714285714285714,0.3214285714285714,0.0,7.5
CDMS-12-7C-CATRAR,0.0,0.0,0.2758620689655172,6.189655172413793
CDMS-12-7C-DLOLO,0.2388059701492537,0.2388059701492537,0.0746268656716417,7.477611940298507
CDMS-12-7C-JSZAOR,0.1666666666666666,0.1145833333333333,0.34375,6.635416666666667
CDMS-12-7C-MAROBE,0.0,0.0,0.2758620689655172,7.603448275862069
CDMS-12-7C-VMAPA,0.0,0.0,0.0,8.253333333333334
CDMS-12-7C-VQURA,0.2388059701492537,0.2388059701492537,0.0895522388059701,7.231343283582089
CDMS-13-6B-ASUMO,0.0,0.0,0.8095238095238095,5.809523809523809
CDMS-13-6B-JDTAHE,0.3302752293577982,0.2660550458715596,0.128440366972477,6.513761467889908
CDMS-13-7C-MVEAR,0.514018691588785,0.3831775700934579,0.0654205607476635,6.598130841121495
CDMS-13-7C-RAIZAC,0.233009708737864,0.1650485436893204,0.3689320388349514,6.864077669902913
CDMS-13-7C-SSOSLO,0.421875,0.3125,0.375,6.625
CDMS-14-10A-IMORTO,0.1142857142857142,0.1142857142857142,0.2,7.557142857142857
CDMS-14-10A-JCVANI,0.1746724890829694,0.1135371179039301,0.4148471615720524,6.751091703056769
CDMS-14-6B-KDCAHE,0.1212121212121212,0.1212121212121212,0.6212121212121212,5.333333333333333
CDMS-15-10A-AMALOS,0.1560693641618497,0.1156069364161849,0.1502890173410404,7.427745664739884
CDMS-15-10A-JJMACH,0.1153846153846153,0.1153846153846153,0.125,7.788461538461538
CDMS-15-10A-MAALCA,0.5966386554621849,0.5378151260504201,0.1176470588235294,6.907563025210084
CDMS-15-10A-MAALRI,0.1111111111111111,0.1111111111111111,0.1444444444444444,7.15
CDMS-15-10A-SGOMO,0.3790849673202614,0.2745098039215686,0.0718954248366013,6.869281045751634
CDMS-15-10A-SHEGA,0.3571428571428571,0.1887755102040816,0.25,6.510204081632653
CDMS-15-11B-JEMOLO,0.13,0.07,0.4,6.81
CDMS-15-11B-VSAHO,0.2054794520547945,0.2054794520547945,0.0753424657534246,7.335616438356165
CDMS-16-10A-SGALO,0.0,0.0,0.1372549019607843,8.019607843137255
CDMS-16-11B-NGABE,0.2531645569620253,0.2531645569620253,0.2468354430379747,7.455696202531645
CDMS-17-10A-ASSAMO,0.0,0.0,0.2560975609756097,7.396341463414634
CDMS-18-7C-VVECA,0.0449438202247191,0.0449438202247191,0.449438202247191,7.314606741573034
CDMS-8-4A-DBEVA,0.25,0.25,0.0,5.5
CDMS-8-4A-DJAVDA,0.0,0.0,0.0,5.543478260869565
CDMS-8-4A-DOSTR,0.2033898305084746,0.2033898305084746,0.2372881355932203,6.279661016949152
CDMS-8-4A-LGOPA,0.2790697674418604,0.2790697674418604,0.1627906976744186,6.023255813953488
CDMS-8-4C-JDBUTU,0.5897435897435898,0.4102564102564102,0.5384615384615384,4.615384615384615
CDMS-9-4A-ACDUTR,0.4102564102564102,0.4102564102564102,0.0,5.333333333333333
CDMS-9-4A-CARGA,0.1951219512195122,0.1951219512195122,0.1869918699186991,6.138211382113822
CDMS-9-4A-CRAAG,0.9777777777777776,0.4,0.0,5.644444444444445
CDMS-9-4A-EROHI,0.1666666666666666,0.1666666666666666,0.1388888888888889,6.805555555555555
CDMS-9-4A-ILOSE,0.0467836257309941,0.0467836257309941,0.1228070175438596,7.350877192982456
CDMS-9-4A-TGAFR,0.1904761904761904,0.1904761904761904,0.2976190476190476,5.821428571428571
CDMS-9-4C-SCAMO,0.0864864864864864,0.0864864864864864,0.1135135135135135,7.394594594594595
CDMS-9-5A-ABERO,0.5970149253731343,0.4925373134328358,0.3134328358208955,6.114427860696518
CDMS-9-5A-VVAAR,0.0833333333333333,0.05,0.1166666666666666,7.233333333333333
CDMS-9-5C-JDMADE,0.3318777292576419,0.1877729257641921,0.2707423580786026,6.960698689956332
CDMS-9-5C-LVIZAC,0.4404145077720207,0.3056994818652849,0.6062176165803109,6.331606217616581
CDMS-9-5C-MLOGO,0.1848739495798319,0.1428571428571428,0.6134453781512605,6.092436974789916
CDMS-9-5C-SCAAG,2.4,1.04,1.52,4.96
CDMS-XX-10A-VGILO,0.0634920634920634,0.0634920634920634,0.0,8.063492063492063
CDMS-XX-5C-MPCAQU,0.2185792349726776,0.2185792349726776,0.1912568306010929,6.852459016393443
CDMS-XX-6B-SPUCA,0.3903743315508021,0.2941176470588235,0.0,7.117647058823529
