subject,pe_T2W10,l2_T2W10,l3_T2W10,asp_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,-2.519723128458109,-2.6828479990466154,-2.6041626596212866,-0.7532662128739878,6,6.0
CDMS-10-5A-HEPIHO,2.234956503877738,2.2767873007451915,2.4242857354536675,3.503970459923404,25,25.0
CDMS-10-5A-KSRAGU,0.8555591186087078,0.2698695238725728,0.6766937355234875,2.637877621995233,19,19.0
CDMS-10-5A-SROPU,0.8904828299365026,0.7858243057707672,1.0832882213909334,1.6804046429017983,19,19.0
CDMS-10-5A-SZURO,-1.5419584118442249,-0.9485045825347723,-0.7364918172168704,0.6669548115958692,12,12.0
CDMS-10-5B-SRAJA,4.02824263324826,3.1945174851319162,4.473411561141004,3.7438283204788205,30,30.0
CDMS-10-5C-DAAUSA,0.9622760590880296,0.5911862175251303,0.14990841738048477,1.7366293060063567,18,18.0
CDMS-10-5C-ICAPA,-0.44916935317360274,-0.5796209598733774,0.6673491282031199,1.8014411848438614,16,16.0
CDMS-10-5C-JFALGI,0.7390196401486611,0.9862980961549528,1.0209326646983508,1.693749598998037,19,19.0
CDMS-10-5C-MAORTO,2.3232238659901205,2.3069412627792527,3.763107720568001,5.046727150662627,28,28.0
CDMS-10-5C-NBEMO,1.389075024592237,1.1100747511569562,1.5897575882828252,3.351092635967983,22,22.0
CDMS-10-6B-ASCACO,0.6295469858453342,-0.5815633077592717,-0.328803285826902,-0.27918039225915925,14,14.0
CDMS-10-6B-JJMOBE,-0.4955655879054999,-0.5343141355914621,0.293916496661931,-0.8240367731649678,13,13.0
CDMS-11-5A-EAARCA,2.2794859959632774,2.406654495155654,2.9766207252684627,3.777238783612607,26,26.0
CDMS-11-5A-MGTHAR,-0.15748145190898816,0.05142058400281213,0.3383840780040346,1.2076767899021428,16,16.0
CDMS-11-6A-DFVEBE,-1.1487657694206206,-1.788297827058531,-2.277136105335223,-2.3458002981856243,7,7.0
CDMS-11-6A-NMREPR,1.9243795468819156,1.7029156757072839,1.7260643963139106,3.086640381096891,23,23.0
CDMS-11-6B-ARAHE,-0.5310662316850298,-0.6533795729254789,-0.3194132128446263,-0.05614098254486377,13,13.0
CDMS-11-6B-AVROTO,0.24174872584821694,0.4298067275656283,0.5069800151327946,-0.7385354685466385,15,15.0
CDMS-11-6B-EAFESA,-3.4254773800750233,-3.093850766687819,-2.142452476652684,-3.8982193765844726,2,2.0
CDMS-11-6B-EFRGR,-2.0319106929178528,-1.9301025803122154,-0.6626549912729038,0.06466826450297347,10,10.0
CDMS-11-6B-EROCO,-0.41176061429615207,-0.894148196286179,-1.318594568827431,1.0645033794097636,13,13.0
CDMS-11-6B-JACUPE,2.013355743036298,2.1131162962744994,1.8338038530312597,1.479724107657944,22,22.0
CDMS-11-6B-JDCHBA,0.10487471717984809,-0.3177575544592523,-1.5984238615479356,0.2513066988273411,13,13.0
CDMS-11-6B-JFSAHE,-0.6878597622008988,-1.0518311653550292,0.01274786857519139,-0.8330569410192619,12,12.0
CDMS-11-6B-JLPENA,-1.889662933411255,-1.870641579226853,-1.4275479496840457,-2.372147537677845,7,7.0
CDMS-11-6B-JMARME,-2.040882977828084,-1.924543364570097,-2.086724722464947,-0.5078489351368711,8,8.0
CDMS-11-6B-JPSAMA,-3.488152317694791,-3.5405718450769266,-3.5666631362107464,-3.964612701017534,0,0.0
CDMS-11-6B-LESTA,1.356151457357918,1.0015072739626971,1.6020256463094713,2.4803156223699148,21,21.0
CDMS-11-6B-MAGIMU,2.3499909711462736,2.0098704042286606,3.4434071230832313,3.636731501541837,26,26.0
CDMS-11-6B-MEBRTA,-0.24065460142916262,-0.30677626194762336,0.9211994475245717,2.0662314158522155,17,17.0
CDMS-11-6B-MMAMO,-1.3663132386238754,-1.338727742360496,-1.1439956369160456,-1.7109633820995815,9,9.0
CDMS-11-6B-RSECA,-3.159722932006135,-3.176119448615596,-3.3585157840565847,-3.8656418353216835,1,1.0
CDMS-11-6B-SCAPA,-0.818552397309634,-1.0676089848988453,-1.8826129211115104,-0.7912256966800091,10,10.0
CDMS-11-6B-VZAPE,0.4596508333461209,1.1459612246853053,1.3902119375190614,3.4441760044495133,21,21.0
CDMS-11-6B-YLNIME,-1.5023703547596252,-1.208927096533024,-1.0177769837389175,-2.830925564968432,8,8.0
CDMS-11-7C-ICARE,0.25674514779724333,0.5432420472254712,-0.598126077426945,2.2381388824042316,17,17.0
