target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W20,VALIDATION,R2,-0.007172,0.036157,-0.010726,-0.003618,1.9659,399,True
MOT,T2W20,VALIDATION,RMSE,7.751578,0.327372,7.719399,7.783758,1.9659,399,True
MOT,T2W20,VALIDATION,MAE,6.613081,0.254526,6.588062,6.6381,1.9659,399,True
MOT,T2W20,VALIDATION,rho,0.071695,0.135924,0.058335,0.085056,1.9659,399,True
MOT,T2W20,TEST,R2,-0.010492,0.048481,-0.015257,-0.005726,1.9659,399,True
MOT,T2W20,TEST,RMSE,7.729375,0.510822,7.679163,7.779587,1.9659,399,True
MOT,T2W20,TEST,MAE,6.599332,0.418713,6.558174,6.64049,1.9659,399,True
MOT,T2W20,TEST,rho,0.056147,0.189375,0.037532,0.074762,1.9659,399,True
COG,T2W20,VALIDATION,R2,-0.015898,0.047447,-0.020562,-0.011234,1.9659,399,True
COG,T2W20,VALIDATION,RMSE,2.253689,0.185892,2.235416,2.271961,1.9659,399,True
COG,T2W20,VALIDATION,MAE,1.751933,0.126296,1.739519,1.764348,1.9659,399,True
COG,T2W20,VALIDATION,rho,0.076832,0.128513,0.0642,0.089464,1.9659,399,True
COG,T2W20,TEST,R2,-0.015277,0.047769,-0.019972,-0.010581,1.9659,399,True
COG,T2W20,TEST,RMSE,2.194376,0.273646,2.167478,2.221275,1.9659,399,True
COG,T2W20,TEST,MAE,1.72394,0.180808,1.706168,1.741713,1.9659,399,True
COG,T2W20,TEST,rho,0.071854,0.189832,0.053194,0.090514,1.9659,399,True
MOT_V4,T2W20,VALIDATION,R2,-0.003811,0.032122,-0.006968,-0.000653,1.9659,399,True
MOT_V4,T2W20,VALIDATION,RMSE,3.452334,0.15829,3.436774,3.467893,1.9659,399,True
MOT_V4,T2W20,VALIDATION,MAE,2.844406,0.114889,2.833113,2.8557,1.9659,399,True
MOT_V4,T2W20,VALIDATION,rho,0.08348,0.12939,0.070761,0.096198,1.9659,399,True
MOT_V4,T2W20,TEST,R2,-0.004801,0.050293,-0.009744,0.000143,1.9659,399,False
MOT_V4,T2W20,TEST,RMSE,3.528977,0.26167,3.503255,3.554698,1.9659,399,True
MOT_V4,T2W20,TEST,MAE,2.913804,0.193995,2.894735,2.932873,1.9659,399,True
MOT_V4,T2W20,TEST,rho,0.083862,0.202404,0.063966,0.103757,1.9659,399,True
COG_V1,T2W20,VALIDATION,R2,-0.015493,0.096195,-0.024948,-0.006037,1.9659,399,True
COG_V1,T2W20,VALIDATION,RMSE,1.339231,0.101534,1.329251,1.349212,1.9659,399,True
COG_V1,T2W20,VALIDATION,MAE,1.042843,0.077359,1.035239,1.050447,1.9659,399,True
COG_V1,T2W20,VALIDATION,rho,0.143318,0.133099,0.130235,0.156401,1.9659,399,True
COG_V1,T2W20,TEST,R2,0.004167,0.106467,-0.006299,0.014632,1.9659,399,False
COG_V1,T2W20,TEST,RMSE,1.320908,0.119362,1.309175,1.332641,1.9659,399,True
COG_V1,T2W20,TEST,MAE,1.023654,0.088094,1.014995,1.032313,1.9659,399,True
COG_V1,T2W20,TEST,rho,0.161343,0.204035,0.141287,0.181399,1.9659,399,True
