subject,re_T6W50,pe_T6W50,l3_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,0.21442931538459228,0.059395021802008625,0.002895766583910356,7,8.395767722818134
CDMS-10-5A-HEPIHO,0.18864056702170692,0.05156979839582112,0.08815696926474813,11,8.447414953729895
CDMS-10-5A-KSRAGU,0.17340370838483202,0.0485492595139855,0.34037195106615503,9,8.681372538012592
CDMS-10-5A-SROPU,-0.037567170456031015,0.08587560022156579,0.5085431156570547,10,8.675899164470211
CDMS-10-5A-SZURO,0.041220618439860024,0.003721914290265986,0.13105214137348634,10,8.295042293151232
CDMS-10-5B-SRAJA,0.15544728266068383,-0.08791006884838726,0.04974326257882513,4,8.236328095438743
CDMS-10-5C-DAAUSA,-0.09768595511891674,-0.13404341615014487,-0.4109402111076272,3,7.476378036670929
CDMS-10-5C-ICAPA,-0.5082773517856102,-0.20616901996524303,-0.43924355159576406,7,6.965357695700996
CDMS-10-5C-JFALGI,0.02670632400433799,0.10622462355458832,-0.3012388807939551,12,7.95073968581259
CDMS-10-5C-MAORTO,-0.44304703368415976,-0.1770182163406932,-0.24395886941291958,4,7.2550234996098455
CDMS-10-5C-NBEMO,-0.11329374750646283,0.07682224311302374,-0.039006576398244515,9,8.043569538255934
CDMS-10-6B-ASCACO,0.0017062680816333166,0.029342110287560955,-0.06253358167134378,9,8.08756241574547
CDMS-10-6B-JJMOBE,0.19100601667976927,0.05868452136839866,0.0059912929609501975,9,8.374729450056739
CDMS-11-4A-GACHSA,-0.7055626244054689,0.07623732553608384,-0.44648089196616536,2,7.043241428212064
CDMS-11-5A-EAARCA,-0.07841616315880079,0.04791275964193295,0.02872002946517442,6,8.117264244995928
CDMS-11-5A-MGTHAR,-0.5533561083123102,0.014967298721501404,-0.34137286578327136,9,7.239285943673535
CDMS-11-6A-DFVEBE,0.1806765386440463,-0.1071834273453606,0.14729373913514662,11,8.339834469481453
CDMS-11-6A-NMREPR,-0.011355117618035692,-0.05959590606626496,0.37431136703740464,9,8.422407962400724
CDMS-11-6B-ARAHE,-0.07248392066842255,-0.02807488887938048,0.11007951471569302,7,8.12856832421551
CDMS-11-6B-AVROTO,0.11837198345275655,-0.11978640759376799,0.15335735662157415,10,8.270990551528184
CDMS-11-6B-EAFESA,0.08404407308300418,0.05359456804592971,0.11157503809419213,7,8.368261298270744
CDMS-11-6B-EFRGR,-0.534125519487524,0.09169753051502154,-0.5729599584853483,7,7.103659671589763
CDMS-11-6B-EROCO,0.08934964552720924,0.06246080608513377,-0.11282171409062644,8,8.158036356569337
CDMS-11-6B-JACUPE,-0.05266986701791537,-0.20309701441219707,-0.06044882194414706,8,7.802831915673358
CDMS-11-6B-JDCHBA,-0.3686912336048065,-0.4274444865747189,0.009740765743150581,6,7.332652664611244
CDMS-11-6B-JFSAHE,0.2114399144570824,0.05612112162555716,0.012849529460515475,8,8.399458184590776
CDMS-11-6B-JLPENA,0.16584599260809305,0.06052723156271452,0.004900422583494271,6,8.350321265801924
CDMS-11-6B-JMARME,0.0018620948971641898,-0.02326710433849649,-0.003313470145832359,4,8.094329139460452
CDMS-11-6B-JPSAMA,0.14253010712772,0.08292711025439584,0.30665393674725877,10,8.651158773176995
CDMS-11-6B-LESTA,-0.07786175214510727,0.07297020455865996,-0.02328819503923768,8,8.090867876421934
CDMS-11-6B-MAGIMU,-0.3062651696473821,0.01341813352627623,-0.4424747457147938,9,7.383725837211715
CDMS-11-6B-MEBRTA,0.1251993224397159,-0.18396976093089115,0.24437324606005348,9,8.304650426616497
CDMS-11-6B-MMAMO,0.18907690458106693,0.050368836051429215,0.16390950745259367,9,8.52240286713271
CDMS-11-6B-RSECA,0.10225203719504275,0.012588353559624843,0.02911295424743423,10,8.26300096404972
CDMS-11-6B-SCAPA,0.13896319773710866,-0.3456149533081853,0.010790686194396899,3,7.923186549670943
CDMS-11-6B-VZAPE,-0.0546248059700237,0.039801529114768405,0.46945210679402777,12,8.573676448986392
CDMS-11-6B-YLNIME,0.1285995968700592,0.04657833778669545,0.03205578174272409,9,8.3262813354471
CDMS-11-7C-ICARE,0.004898633987778793,0.06578283998626457,-0.06385677775884503,11,8.125872315262818
CDMS-11-7C-IMOIB,0.19100895318952069,0.06522595681151613,0.10872486960368481,5,8.484007398652341
CDMS-11-7C-SALMA,-0.24014752240241144,0.07180254772263278,0.11319507305967764,10,8.063897717427519
CDMS-11-7C-SPGAVE,0.040156376480406306,0.05510330294804427,0.04146301347729823,8,8.255770311953368
CDMS-12-5A-SRIGO,0.12693077755071006,0.05063278755251518,0.2937114449059499,10,8.590322629056796
CDMS-12-6A-FAROPA,0.1991002667297219,0.04982807799007712,0.3422884233003811,14,8.7102643870678
CDMS-12-6A-JGIGA,0.0217095577738918,-0.1268663747556438,0.043662226507395645,7,8.057553028573263
CDMS-12-6A-JSOTGU,-0.08283853235756936,0.06266748626347235,-0.06365124318550626,8,8.035225329768016
CDMS-12-6A-SROAL,0.16795551151300883,0.055852537876245445,0.08731984900406879,10,8.430175517440942
CDMS-12-6B-IJDAGA,-0.08871800554681013,0.014236507563494927,-0.020875560495752392,11,8.02369056056855
CDMS-12-6B-SCLAG,-0.04372021242541575,0.06985364981363604,0.029381713468286497,9,8.174562769904126
CDMS-12-7C-ARAHE,0.016557528578148725,0.0781156373482629,-0.1942804955472021,13,8.019440289426829
CDMS-12-7C-CATRAR,0.1472236818954509,0.05841286014683289,0.013594567630799213,8,8.338278728720706
CDMS-12-7C-DLOLO,0.10109155589556683,0.04570952692224433,0.02587692254338502,9,8.291725624408816
CDMS-12-7C-JSZAOR,-0.859555161640236,0.03560147332013979,0.17996045694121515,5,7.475054387668738
CDMS-12-7C-MAROBE,0.19071401765265814,0.07436709855869272,0.17486605754655254,8,8.558994792805523
CDMS-12-7C-VMAPA,0.07509698492454508,-0.07019759270761616,0.3953761332320352,7,8.519323144496582
CDMS-12-7C-VQURA,0.11247717221145764,0.06404865868446925,-0.014844192207599572,9,8.280729257735945
CDMS-13-6B-ASUMO,0.2752267897740993,0.07172165981659949,-0.19345342537732582,7,8.272542643260993
CDMS-13-6B-JDTAHE,0.15202676316192856,0.058065366927053115,0.003798818305419405,8,8.332938567442023
CDMS-13-7C-MVEAR,0.07087848396402259,0.051523225278607095,0.017526678659113157,11,8.258976006949363
CDMS-13-7C-RAIZAC,0.19877144746745773,-0.07758342092436937,0.41888034189590667,8,8.659115987486613
CDMS-13-7C-SSOSLO,0.05685209760014019,0.09233542531395034,-0.2967161309417274,10,7.971519011019982
CDMS-14-10A-IMORTO,0.037294067606657016,0.04167451300644298,0.06915985924811217,10,8.26717605890883
CDMS-14-10A-JCVANI,0.18428667084482944,0.05085499820161624,0.33440819794274235,9,8.688597486036809
CDMS-14-5A-LSDUCO,-0.3729795543110608,-0.2318358461429195,-0.41637218801309983,5,7.097860030580535
CDMS-14-6B-KDCAHE,0.07220232263095164,-0.12688810468268158,0.030423915823637265,7,8.094785752819526
CDMS-15-10A-AMALOS,0.14603796684521467,0.030832752415375336,0.2996126921119188,8,8.595531030420128
CDMS-15-10A-JJMACH,0.17114270758070774,0.041294506898563975,0.17265287784791775,8,8.50413771137481
CDMS-15-10A-MAALCA,0.18834633478906518,0.052732792716968256,0.22742151914003436,10,8.587548265693687
CDMS-15-10A-MAALRI,0.19494882568439123,0.07964390352920714,0.07893999343106141,10,8.472580341692279
CDMS-15-10A-SGOMO,0.1367369099360772,-0.13066426280912824,0.023710686821626917,9,8.148830952996198
CDMS-15-10A-SHEGA,0.008861481126202974,0.057623459890014724,-0.024827067197353614,9,8.160705492866484
CDMS-15-11B-JEMOLO,0.07953501742174746,0.05417246534345995,0.11575117580558993,9,8.368506277618415
CDMS-15-11B-VSAHO,0.05356758460450259,0.0506980811729859,0.19198705776679217,9,8.4153003425919
CDMS-16-10A-SGALO,0.17207827872484224,0.05904525896407534,0.022260405643223808,8,8.372431562379761
CDMS-16-11B-NGABE,0.1903497791280828,0.04755918496877692,0.29200255525980623,10,8.648959138404287
CDMS-17-10A-ASSAMO,0.11674631813476054,-0.11914853574473047,0.16055197400113405,7,8.277197375438783
CDMS-18-7C-VVECA,0.02769560273406343,0.07854468312570889,0.018724227310451362,8,8.244012132217842
CDMS-8-4A-DBEVA,-0.21467897613765183,-0.16560224341952645,-0.5030363783900552,9,7.235730021100383
CDMS-8-4A-DJAVDA,-0.31013896063245266,-0.22090957259795782,-0.4223612223340664,8,7.165637863483138
CDMS-8-4A-DOSTR,-0.29818868576977825,0.036805281630522726,-0.4786413501395544,9,7.379022864768804
CDMS-8-4A-LGOPA,-0.26896137564551076,-0.18805814685008673,-0.4882645664031255,8,7.173763530148893
CDMS-8-4C-JDBUTU,-0.21178768039867082,-0.305898639939256,0.09801940508250599,6,7.6993807037921975
CDMS-9-4A-ACDUTR,0.06647689663810816,0.06644824093267927,-0.13376284271910652,7,8.118209913899301
CDMS-9-4A-CARGA,0.1020380986127801,0.050376174513342094,0.020263732235073974,8,8.291725624408816
CDMS-9-4A-CRAAG,-0.8169619030682509,-0.5220041702048926,-0.6391641721621496,4,6.140917373612321
CDMS-9-4A-EROHI,0.002340022908566693,0.05172677103958606,0.1633508010645306,5,8.336465214060302
CDMS-9-4A-ILOSE,-0.1831896665068576,0.03276607949856146,-0.42868339840733266,7,7.539940633631987
CDMS-9-4A-TGAFR,-0.6792662638391165,-0.1519485662188383,-0.6111816830628752,6,6.676651105926784
CDMS-9-4C-SCAMO,-0.33897126289532226,-0.40843321785616576,0.19784945537015644,2,7.56949259366629
CDMS-9-5A-ABERO,-0.1497361613354779,-0.06246310957880016,0.15990318681567728,8,8.066751534949018
CDMS-9-5A-PAGACO,0.14446268366758794,0.06806083856640652,0.03717903957185876,9,8.368750180853475
CDMS-9-5A-VVAAR,-0.11706378507629106,0.05817456454533359,0.05962645643361653,11,8.119784854950279
CDMS-9-5C-JDMADE,-0.005691738910707175,-0.09415641024046005,0.3861800176265601,12,8.40537948752301
CDMS-9-5C-LVIZAC,0.17523484727599517,0.07718215970519858,-0.24261281699510953,8,8.128851809033703
CDMS-9-5C-MLOGO,-0.1496881976670779,0.07058163153955263,-0.4757949745625853,5,7.564146078357506
CDMS-9-5C-SCAAG,-0.034163503690085376,0.05249862151302784,0.030801499444414668,9,8.168184236314977
CDMS-XX-10A-VGILO,0.1114440871356223,-0.10055091957472773,0.2244682599980415,8,8.354409046606555
CDMS-XX-5C-MJSARU,0.20098115952889636,0.03524030260844392,0.02627620705558601,9,8.381545288240545
CDMS-XX-5C-MPCAQU,0.07072250089411854,0.0756284247745276,-0.3249232263298195,5,7.940475318386446
CDMS-XX-6A-MAGICA,0.171705322619678,0.05758107434722126,0.06330343092756895,7,8.411637446942088
CDMS-XX-6B-SPUCA,0.16645673849368176,-0.12707303754779678,0.19212702528212314,10,8.350558345275628
CSO-10-4A-ICAPA,-0.1049344118654792,0.02348295733230643,-0.02799756319021466,8,8.009598601324232
CSO-10-4A-KCOMO,-0.24285957469768002,-0.15274270952078642,0.09111128195433861,7,7.814556616783489
