subject,re_T6W50,pe_T6W50,l3_T6W50
CDMS-10-4A-JURAN,-1.2586946204537415,-0.15897001695588328,-0.025199530755626844
CDMS-10-5A-HEPIHO,-1.3886759093499355,-0.7681636677578361,-0.6682015150580299
CDMS-10-5A-KSRAGU,-0.8064734500074,-0.5817115943430723,-1.2091935556981552
CDMS-10-5A-SROPU,0.7909640638158816,0.34720412739773543,-1.3837090614400671
CDMS-10-5A-SZURO,0.2056949842853985,-1.1429336554994567,-0.6671837340162028
CDMS-10-5B-SRAJA,-1.0748526389913762,-1.2464994155750089,-0.6131945721110265
CDMS-10-5C-DAAUSA,0.6628289502933403,0.9358915251399532,1.2557867207930773
CDMS-10-5C-ICAPA,1.6017852393015868,1.1464657566189886,1.340127712437306
CDMS-10-5C-JFALGI,0.3287398758016935,0.10396986128352768,1.3114200987793856
CDMS-10-5C-MAORTO,1.5625346487580285,1.0445772387474945,0.6895954596056636
CDMS-10-5C-NBEMO,0.8166470974454464,0.2962295775309762,0.3341860639842835
CDMS-10-6B-ASCACO,0.3769289874309402,-1.081702882267725,0.35124582154436407
CDMS-10-6B-JJMOBE,-0.7216898149600429,-0.670433709403583,-0.13540594515489224
CDMS-11-4A-GACHSA,1.9498284161539459,0.28971403356304454,1.1381380020155312
CDMS-11-5A-EAARCA,0.5737043663438117,-0.9286926884401694,-0.048193664238022876
CDMS-11-5A-MGTHAR,2.583414058522501,0.545747381035287,1.1161114847607494
CDMS-11-6A-DFVEBE,-1.0005422679967593,-1.2657959726127812,-0.7895445990133927
CDMS-11-6A-NMREPR,0.7369716047550823,-1.3159021585343917,-1.0341257957995305
CDMS-11-6B-ARAHE,0.8851046147772013,-1.2873174812786308,-0.4554472684093715
CDMS-11-6B-AVROTO,-0.3205462607550495,-1.421752690106437,-0.7656796455341238
CDMS-11-6B-EAFESA,-0.09625704572427393,-0.5285518581238786,-0.6886185397813738
CDMS-11-6B-EFRGR,2.189108100239943,-0.43556888707776537,4.0851732270286165
CDMS-11-6B-EROCO,0.09177807576146739,0.44521659101631134,0.5485990505752376
CDMS-11-6B-JACUPE,0.6524309222712312,2.3155313939039384,0.33608230247996956
CDMS-11-6B-JDCHBA,1.3004089892033253,4.1661539009293795,0.13178362437218658
CDMS-11-6B-JFSAHE,-0.9827534039496316,-0.6848106040426033,-0.27174269560999564
CDMS-11-6B-JLPENA,-0.4454871582227187,-0.13002416731844543,0.024565449603279152
CDMS-11-6B-JMARME,0.36129351099334694,0.7097024758202586,0.14562627783413404
CDMS-11-6B-JPSAMA,-0.5571424871633022,0.25845926681332176,-1.0383046879821176
CDMS-11-6B-LESTA,0.5073862216284654,-0.05943163524855638,0.26829597359264534
CDMS-11-6B-MAGIMU,1.3350012956889095,0.6147182013193627,2.0723503988477048
CDMS-11-6B-MEBRTA,-0.20457825617425093,2.5840817003374803,-0.8698413806833094
CDMS-11-6B-MMAMO,-0.9728020108964459,-0.31762774344772476,-0.8361027778608814
CDMS-11-6B-RSECA,-0.0006243600713706147,0.6970235794502295,-0.3204251015684151
CDMS-11-6B-SCAPA,-0.7719779903242705,-1.5366743849477893,-0.3573153826623078
CDMS-11-6B-VZAPE,0.9766983998339426,0.7660269411071909,-0.9865658629167254
CDMS-11-6B-YLNIME,-0.27463095851487085,-1.0201067525530594,-0.42119474484832814
CDMS-11-7C-ICARE,0.3631852112682486,-0.16442143637843581,0.446333676136368
CDMS-11-7C-IMOIB,-1.1820850775769671,-0.05197085018425898,-0.718095651691093
CDMS-11-7C-SALMA,1.3451371214870074,-0.38078089802061676,-0.28684374064667684
CDMS-11-7C-SPGAVE,0.2195078771163827,-0.7163626085440447,-0.284858001288507
CDMS-12-5A-SRIGO,-0.46709746847940276,-0.7648185447761412,-1.0625269821132695
CDMS-12-6A-FAROPA,-0.9802982416008951,-0.7544876181396817,-1.232500126011282
CDMS-12-6A-JGIGA,0.34354606558269063,1.1994296362154917,-0.10150386176089869
CDMS-12-6A-JSOTGU,0.5311607157199066,-0.22025851918762274,0.3685064919212959
CDMS-12-6A-SROAL,-0.767629846285263,-0.6777150829089176,-0.6731305104121894
CDMS-12-6B-IJDAGA,0.6753707384421745,0.5904154177546864,0.2183042056323348
CDMS-12-6B-SCLAG,0.4704794947705578,0.3108957449416815,0.020733607829053893
CDMS-12-7C-ARAHE,0.3245760691736963,0.3392888246233936,0.751080248675228
CDMS-12-7C-CATRAR,-0.3666025680828338,-0.6605849855895362,-0.07951566987725972
CDMS-12-7C-DLOLO,0.021089144430454572,-1.025241203601338,-0.09599427669896413
CDMS-12-7C-JSZAOR,-2.4587184906426054,-0.5069592970613224,-1.0333167129887495
CDMS-12-7C-MAROBE,-1.0559545816903766,0.08216833525870577,-0.8933022053376684
CDMS-12-7C-VMAPA,0.12166277227388203,1.6544626855510245,-1.0349261475008427
CDMS-12-7C-VQURA,0.030929650918839893,-0.3937834521638091,0.2551476631799887
CDMS-13-6B-ASUMO,-0.9898934169025894,-0.35652155182772477,0.7874952568592144
CDMS-13-6B-JDTAHE,-0.4591359709280516,-0.24913906216319254,0.04592048834474744
CDMS-13-7C-MVEAR,0.12920310506451296,-0.8192982537025386,0.15329641406194733
CDMS-13-7C-RAIZAC,-0.7689436465043396,2.0361631014890653,-1.4280435921093395
CDMS-13-7C-SSOSLO,0.2720050025928529,-0.7057596451302214,1.3468535161023765
CDMS-14-10A-IMORTO,0.2309929348711604,0.5026241683586585,-0.579849535916977
CDMS-14-10A-JCVANI,-1.373287836432381,-0.23569943201096166,-1.2909416252663914
CDMS-14-5A-LSDUCO,1.4378534312517375,1.7966569894379036,1.0525260116534034
CDMS-14-6B-KDCAHE,0.22293771437305832,1.1015138068494545,-0.002918571768673156
CDMS-15-10A-AMALOS,-0.5414149233014065,0.7789383063551679,-0.9798363391961257
CDMS-15-10A-JJMACH,-1.4144228601846804,-0.8626761636549591,-0.8608519794792097
CDMS-15-10A-MAALCA,-1.3827244628850426,-0.15640127281268218,-0.9521194737639422
CDMS-15-10A-MAALRI,-1.1075827890145193,0.04982355110738012,-0.645000000133593
CDMS-15-10A-SGOMO,-0.6590109741170037,-1.4302356634834732,-0.5510428358207364
CDMS-15-10A-SHEGA,-1.7392061538805166,-0.6609630635760698,0.3949945151665193
CDMS-15-11B-JEMOLO,-0.013032735653110061,-0.17281990319787688,-0.6957090627754345
CDMS-15-11B-VSAHO,0.09160959860315933,-0.4290659590196467,-0.7726499848819306
CDMS-16-10A-SGALO,-0.6318455145832195,-0.16341243329765498,-0.4472743526675626
CDMS-16-11B-NGABE,-1.245532968216256,-0.5739124460773867,-1.0379004661891273
CDMS-17-10A-ASSAMO,-1.4970501702874754,-1.3525863136479566,-0.9045535633082795
CDMS-18-7C-VVECA,0.26214298478143544,0.11504200378445192,0.06711983049686561
CDMS-8-4A-DBEVA,1.0220092329633452,1.7397549921404802,2.159670808129115
CDMS-8-4A-DJAVDA,1.1967466197282501,1.8011687098448577,1.494483778442932
CDMS-8-4A-DOSTR,1.226592077788753,0.4682791295262834,2.0630900455065406
CDMS-8-4A-LGOPA,1.1086493205526569,1.8796411028511026,2.1516294305907415
CDMS-8-4C-JDBUTU,1.095060527338072,2.7759778199388037,-0.2872792249287536
CDMS-9-4A-ACDUTR,0.14999402474614304,-0.7083488378882998,0.5949624437080075
CDMS-9-4A-CARGA,-0.030182618984209843,-0.8566820318846408,0.005118067554515041
CDMS-9-4A-CRAAG,1.775064414807859,2.924506617318604,3.124031048344268
CDMS-9-4A-EROHI,0.32998925396744033,-0.39918555426582364,-0.722303307151825
CDMS-9-4A-ILOSE,0.9354906249198278,-1.1539747032444139,1.8325161634461895
CDMS-9-4A-TGAFR,1.8498309362374097,1.003020227664216,3.2088735260158843
CDMS-9-4C-SCAMO,-1.7801869462966682,-1.4933315991922156,-1.2471913665228318
CDMS-9-5A-ABERO,1.1268664901343244,0.8871539752250593,-0.5151939606278798
CDMS-9-5A-PAGACO,-0.4110644668278917,-0.011304097755396461,-0.4768133740773638
CDMS-9-5A-VVAAR,0.9263747178851267,0.44357118567707343,-0.014601347006485604
CDMS-9-5C-JDMADE,0.5317121233140004,1.809509495807646,-0.9303071101757835
CDMS-9-5C-LVIZAC,-0.15814220557952943,-0.49870172244927125,0.8737836597417883
CDMS-9-5C-MLOGO,0.7453808320391104,-0.41773057983577,2.2366731173415375
CDMS-9-5C-SCAAG,0.38989279148102485,0.46769126089759755,-0.007403967249028051
CDMS-XX-10A-VGILO,-0.3603539653584383,-1.2935631506443406,-1.0162603956713696
CDMS-XX-5C-MJSARU,-1.2279225103052096,0.5829135121199677,-0.45753095732374355
CDMS-XX-5C-MPCAQU,0.17517075918280128,-0.41477915796956244,1.1115871022295116
CDMS-XX-6A-MAGICA,-0.7540320140178208,-0.7099565695167506,-0.6434197064733869
CDMS-XX-6B-SPUCA,-0.5681989135734621,1.7721525186031886,-0.764217282427309
CSO-10-4A-ICAPA,0.7141162950931981,0.5448511051673448,0.2779972777327349
CSO-10-4A-KCOMO,1.240779229841971,1.1740993994959679,-0.4042663859323923
CSO-10-4A-LRAVI,1.780017027447754,1.733012111878737,1.5735193939575638
CSO-10-4A-LSCAVA,0.5108725077463747,3.7157298583446257,-0.4808073614978165
CSO-10-5A-ACAVA,-0.8382290632644634,-0.6739415904994707,-0.6668753761366495
CSO-10-5A-ARACA,0.9576931406754219,-1.2160122858553009,-0.8666555208314102
CSO-10-5A-DABRZA,2.053450361989535,1.125696017878239,1.3014682646785343
CSO-10-5A-GZAMA,0.19928801048388617,0.11648160842548448,0.6063637579483093
CSO-10-5A-IPECA,-0.18571912007602004,-0.7660358674857973,0.22412109626221277
CSO-10-5A-JANORO,-0.543207211282591,0.7017781655889911,-0.26473451034066436
CSO-10-5A-JBUVE,-0.1608702708362175,-0.3141740152541971,1.0982460186584526
CSO-10-5A-JJSEMO,1.0523167185502413,0.2239789191534854,0.5000319801085432
CSO-10-5A-JLCARI,-0.5549121365591227,-0.6104598041117194,-1.2147003041741
CSO-10-5A-MAARAN,1.405423041550424,-0.601410671535024,0.9715139572660826
CSO-10-5A-MAOSMO,-0.7902223880054308,-0.983476445884819,-1.1466460981274307
CSO-10-5A-RVMOIB,-1.065415353464253,-0.8589226764183092,-0.31667206383102386
CSO-10-5A-SVHEES,-0.39221212808172196,-0.3677635850191467,-0.11652475302253178
CSO-11-5A-MDVOSPE,0.3350247380763789,-0.4948812191116268,0.2562867071370659
CSO-11-5A-MTAGA,-0.5651537953031294,-0.0017030773430765766,-0.9982421124149988
CSO-11-6A-CAPAMU,-0.2613806802613155,-1.1206565806811273,-0.10054976469879631
CSO-11-6A-DSCACH,-0.6764120189362662,-1.33360990869114,-1.017085722455399
CSO-11-6A-EROMO,0.2189641593075746,2.561324946868552,-0.3179324970656281
CSO-11-6A-FSOVRE,1.1282672690775615,0.6508653226009715,1.7312636921152724
CSO-11-6B-ANREVA,0.16025766962842175,-0.5077556966295952,0.6183782521141401
CSO-11-6B-DISEMO,-0.4090881154549094,-0.10727287103172739,-0.6510752050688475
CSO-11-6B-LHFDLACH,1.2226969489799933,1.377114041414934,3.241352526385617
CSO-11-6B-RJGIHE,-0.4905599640822451,-0.16223433393630113,0.8770931958839637
CSO-11-6B-SFLVA,0.6296646418863758,1.4362250979890818,1.1171054306158879
CSO-11-6B-VCOMA,-0.2265175444020839,-0.14231488007030152,0.024601946355325807
CSO-12-6A-DGISE,0.6129006574512319,0.9273065504249244,-0.5535306061956178
CSO-12-6A-FJOVRE,-0.17377878010927789,-0.07678531463310938,0.5327869580832719
CSO-12-6B-GQULO,-0.4909844148236161,0.1985182091289514,-0.6432589722962619
CSO-12-6B-LJHEFE,-0.9018339917186775,0.24989682042568498,-0.44409466452998086
CSO-12-6B-VPAMA,2.578878151675624,-1.416006203324716,1.3563399000797478
CSO-12-7A-DALRE,2.22382711322497,-0.4726046106849555,1.6687771501765472
CSO-12-7A-ESALA,0.05454378973020694,-0.6769733561345337,0.21578298068317864
CSO-12-7A-IMERO,-0.005204281361806929,0.6886575863536124,0.014575510768472376
CSO-12-7A-JHEZA,-0.6065487178266334,-0.08238275922374166,0.1817476705859367
CSO-12-7A-LSARAR,1.100227423319965,1.068565511844211,-0.6681904717525312
CSO-12-7A-SCAHO,0.5703012775034774,0.25140263503160665,-0.06414230460413779
CSO-12-7B-DVAGRO,-0.6880841986477774,0.3397724811215437,-0.30368188748102765
CSO-12-7B-SMUGU,-0.5477624469334689,-0.966549425655305,0.05367718472459936
CSO-12-7B-SSARA,-0.9118738574970275,-0.944765615346652,-0.7180250692399499
CSO-12-7B-VHOMA,-1.4438219363486833,-0.8166115911499854,-0.9296652420740301
CSO-12-8A-YTOME,-0.6425090799862201,0.040028258537537616,-0.6232675406902309
CSO-13-6A-ANASA,-0.9074704934297995,-0.20194741643087633,-0.7803760367930374
CSO-13-6B-JETAVE,1.655178226659619,-0.9727399195622196,1.2560566530988806
CSO-13-6B-LFMIES,-0.4321331182568471,-0.7093770197837539,-0.49500949383469434
CSO-13-6B-LJMAHU,0.6195473153425106,1.1588410592853522,-1.4123720098396468
CSO-13-7A-CAPAMU,-0.5337296841869194,1.4524016209439465,0.2634965608050306
CSO-13-7A-CDDITR,-0.6446752658363686,-0.5268828612607828,-0.7040567854922827
CSO-13-7A-JJATFL,-0.0208171949877634,0.34657020621096496,-0.12530276315641878
