subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20
CDMS-10-4A-JURAN,0.4469391629981535,1.2286066585840463,0.8714794098563234,-0.138724461550163
CDMS-10-5A-HEPIHO,0.20337626941191292,-0.7898215399417559,-0.753637921240151,-0.14949269668902201
CDMS-10-5A-KSRAGU,0.18837031758006126,-0.7153889581058035,-0.6203659966703207,0.2857084552711367
CDMS-10-5A-SROPU,0.6608524136960252,0.11031433705050026,0.10892818540102894,-0.5400842387301181
CDMS-10-5A-SZURO,0.5833853711983099,-0.8671992960095094,-0.9863996952046777,-1.3387112822622484
CDMS-10-5B-SRAJA,0.635918393153609,-0.33960808828306854,-0.14188890144762636,1.7981882293246192
CDMS-10-5C-DAAUSA,0.7527163769887778,-0.41142934661737884,-0.6389067409074837,1.0364061925518557
CDMS-10-5C-ICAPA,-1.521551493453091,-0.8277454099724814,-0.7720573196139652,-1.0247450846846637
CDMS-10-5C-JFALGI,-1.5407405043041058,-0.9937545876929984,-1.022495422823072,0.11197412394800398
CDMS-10-5C-MAORTO,0.4076176595017956,-0.8257696169505573,-0.8078575143736624,-0.9566872259379532
CDMS-10-5C-NBEMO,-1.5234539546448058,0.8427398410171622,1.270914342001381,-0.5709007168056269
CDMS-10-6B-ASCACO,-0.07996741941811907,1.478481562419033,0.7151780422364196,-0.7291812776305293
CDMS-10-6B-JJMOBE,-1.0042842281320123,-1.2334967492535076,-1.3323244289776464,-1.2359267369229578
CDMS-11-5A-EAARCA,0.0792146251196273,0.4154599982091738,0.6813828097600456,0.545851137334757
CDMS-11-5A-MGTHAR,-0.8019592750855233,-0.6164469447781251,-0.6767953183593366,-0.2580067903621105
CDMS-11-6A-DFVEBE,0.0791833833433119,-0.47301627028462795,-0.3267974728079684,2.1670351463170796
CDMS-11-6A-NMREPR,0.2118093874380103,-0.8275669337886054,-0.8111726378922322,3.0844129569293925
CDMS-11-6B-ARAHE,1.3230445480593398,-0.46263993721051205,-0.7068646847539457,-0.21232747339692756
CDMS-11-6B-AVROTO,-0.8030197216866526,-0.3235188519350181,-0.14979680168195728,0.32400152547026495
CDMS-11-6B-EAFESA,0.16656645237345746,-0.5067742800847018,-0.39314039714995175,-1.2277637564828003
CDMS-11-6B-EFRGR,0.5837422328051073,-0.605084347764091,-0.5065707243611431,-0.7299946655746113
CDMS-11-6B-EROCO,-0.7124743148629205,-0.39315756262867,-0.17528397577923163,0.33805330221382945
CDMS-11-6B-JACUPE,-0.36713560555001756,-0.1426052549392256,-0.18572395953437407,-0.8000085465579184
CDMS-11-6B-JDCHBA,0.10554482396729398,-0.8004262711329765,-0.7607980759342989,2.181081703152936
CDMS-11-6B-JFSAHE,0.20921864885274627,0.13169826230938145,0.3839761701544814,-0.40186025648724893
