subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,-0.09790785013557429,0.3396196284251789,0.5239381350026144,-0.13608297533708497,2,6.250472680642683
CDMS-10-5A-HEPIHO,-0.12730461766746076,-0.1569743334177868,-0.1854980142667654,-0.08777343094386102,7,5.063355346391677
CDMS-10-5A-KSRAGU,-0.12705587812658975,-0.18172698055079253,-0.20795421575028197,-0.0835483733724241,5,5.020620294887462
CDMS-10-5A-SROPU,-0.1406705881000608,-0.17665715280376074,-0.23907200908674006,0.12307090778993071,6,5.187576900486919
CDMS-10-5A-SZURO,-0.13129916769186958,-0.11449944134603426,-0.19663990122417466,0.1624114608673257,5,5.3408786932928
CDMS-10-5B-SRAJA,-0.1344185899266698,-0.1836840960906263,-0.23183311512135873,-0.0714078404740199,13,4.999562101074876
CDMS-10-5C-DAAUSA,-0.13899602554815474,-0.18622451239529214,-0.2140359441466876,-0.10218991488824448,8,4.979459345709173
CDMS-10-5C-ICAPA,0.06030389712143705,-0.12615506199250776,-0.1595465387270406,0.22421931416836308,7,5.619727353257802
CDMS-10-5C-JFALGI,0.05532461586333049,-0.08749558806516179,-0.15863146751528934,-0.0952168360260311,10,5.334886466944398
CDMS-10-5C-MAORTO,-0.12217167659218522,-0.13246976036052607,-0.1802433639907239,0.22183113655331152,12,5.407852078297427
CDMS-10-5C-NBEMO,-0.02487575892462267,0.19977989142199365,0.5958605511775368,0.12142328754684603,5,6.513093713909305
CDMS-10-6B-ASCACO,-0.07206135781366033,0.7085425652092076,0.20292214715260748,0.127093790317201,6,6.587402887552901
CDMS-10-6B-JJMOBE,0.010061669835300097,-0.10001618520291314,-0.18319200476958292,0.1275408134905827,1,5.475300036040939
CDMS-11-5A-EAARCA,-0.10082365191450118,-0.2378928808299958,0.17516257265071694,-0.08887683780552455,8,5.368474944788247
CDMS-11-5A-MGTHAR,0.0030812539102167144,-0.16071029341416052,-0.17693737084666394,-0.05466074994178968,9,5.231678582395154
CDMS-11-6A-DFVEBE,-0.11741249300314799,-0.1846553949970855,-0.23772864214928152,-0.08120200474949911,1,4.999907207788535
CDMS-11-6A-NMREPR,-0.12288133866595141,-0.14916490439884958,-0.20640615787617625,-0.08626304141819659,8,5.056190300328376
CDMS-11-6B-ARAHE,-0.15012560890430496,-0.17836194833157218,-0.19168018824426106,-0.07672762306193705,5,5.024010374145475
CDMS-11-6B-AVROTO,0.0017877771820206507,-0.18222881576777725,-0.2103336561986305,-0.08506419797844694,8,5.1450668499247145
CDMS-11-6B-EAFESA,-0.13235381285824724,-0.1772540235363752,-0.20597447907431324,0.1508083654172003,0,5.256131792635817
CDMS-11-6B-EFRGR,-0.13719324440530645,-0.16767015913552633,-0.199443098273394,0.19364474024850895,3,5.310243981121834
CDMS-11-6B-EROCO,-0.001065828221559665,-0.182122954432919,-0.21226939570707506,-0.09111110229610983,6,5.134336462029885
CDMS-11-6B-JACUPE,-0.0702147464465133,-0.17200728627019693,-0.20096620455313494,0.23812686593126967,9,5.4158443713489755
CDMS-11-6B-JDCHBA,-0.11325946897406503,-0.17415648479818394,-0.21153905197001258,-0.08626304141819659,3,5.035687695527092
CDMS-11-6B-JFSAHE,-0.13975263817492692,-0.1764115267218728,-0.23300015275821798,-0.05551440884447481,3,5.016227016188057
CDMS-11-6B-JLPENA,-0.07956161919003484,-0.1527741063538862,-0.18623313093575744,-0.053438370677517125,4,5.148898515530356
CDMS-11-6B-JMARME,-0.06067548242868474,-0.22294424895739956,0.1343436636040835,-0.08140682175372789,5,5.390222853151821
CDMS-11-6B-JPSAMA,-0.08707940447096892,-0.23264018812436127,0.14274112648663828,-0.08889869653753499,0,5.3550285800413215
CDMS-11-6B-LESTA,-0.13275392027662916,-0.17316287385589396,-0.20694016172742496,-0.0623556571430092,8,5.045693129684593
CDMS-11-6B-MAGIMU,-0.11935254149074781,0.041844200767886,-0.1235094449658021,0.17357589682295357,9,5.593463853821843
CDMS-11-6B-MEBRTA,-0.14747170177045568,-0.18581690624613437,-0.22247478715192306,0.24081787911532412,8,5.305960226634362
CDMS-11-6B-MMAMO,-0.12123943776546203,-0.19291650537547267,-0.2045347427648068,-0.10108613209837931,2,5.00112892468343
CDMS-11-6B-RSECA,-0.08147251540822412,-0.18466428896233875,-0.22956633299549023,-0.10360998658484899,1,5.021592618736648
CDMS-11-6B-SCAPA,-0.11314346371839976,-0.104815902922024,-0.20700544678617586,-0.0924786295458286,5,5.103462299715123
CDMS-11-6B-VZAPE,-0.0930450664283964,0.14702304901935973,0.6153175711596088,0.1994123632250752,8,6.489613659663198
CDMS-11-6B-YLNIME,0.001054723034512553,-0.1795476307543763,-0.219735420178996,-0.08955334543727202,0,5.133124069351416
CDMS-11-7C-ICARE,-0.04476766025588827,0.12217970512746236,0.5947245191408812,-0.03168106230944351,7,6.261361244390563
