feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
nodes,raw,7,T7W20,250,0.021733378329620075,0.7323861576071408,0.021050038902622508,0.741000067606858,0.0915917928384762,0.1487466917881982,0.0861042525900863,0.1756144716322423,0.021733378329620075,0.021050038902622508,0.0915917928384762,0.0861042525900863
edges,raw,7,T7W20,250,0.12494997904709244,0.048441772548567005,0.12509930781987502,0.048626284664200006,0.1257301552156069,0.047045212771435994,0.12859072496171245,0.042627464090928734,0.12494997904709244,0.12509930781987502,0.1257301552156069,0.12859072496171245
re,raw,7,T7W20,250,-0.0509779293403047,0.42225550634624587,-0.05149684633292773,0.418483680921634,-0.03166692788888201,0.6182628643499765,-0.03678629301023578,0.563431086057643,0.0509779293403047,0.05149684633292773,0.03166692788888201,0.03678629301023578
pe,raw,7,T7W20,250,-0.022253872148517113,0.7262301814509478,-0.021539825820411314,0.7351961074698112,-0.07347392048590665,0.24708130189477379,-0.06742443798645126,0.2892389116301092,0.022253872148517113,0.021539825820411314,0.07347392048590665,0.06742443798645126
l1,raw,7,T7W20,250,-0.04305312893584616,0.49800472444160854,-0.04286199890317119,0.5007836675247214,0.07695095494031011,0.22535838989259005,0.07987337059592892,0.20909915445801827,0.04305312893584616,0.04286199890317119,0.07695095494031011,0.07987337059592892
l2,raw,7,T7W20,250,-0.02639899406945962,0.6778598569356892,-0.02529829426692921,0.6911792213685943,-0.0821247220339893,0.1956013409140179,-0.0722051976922829,0.2563216724526901,0.02639899406945962,0.02529829426692921,0.0821247220339893,0.0722051976922829
l3,raw,7,T7W20,250,0.022693056317522144,0.721049486871344,0.02195204704029061,0.7303229026291786,-0.01925979538082787,0.761869986554918,-0.02688359171530316,0.6729099116444605,0.022693056317522144,0.02195204704029061,0.01925979538082787,0.02688359171530316
lcc,raw,7,T7W20,250,0.030863438173491634,0.6272054635378476,0.03018720708610532,0.6354590356356605,0.12067349850313669,0.05672521122038715,0.11556723518774296,0.06867545798186733,0.030863438173491634,0.03018720708610532,0.12067349850313669,0.11556723518774296
lsc,raw,7,T7W20,250,0.1103771174917217,0.08154430090710875,0.11401604350859672,0.07250231235351343,0.006908981329141874,0.9134448680606065,0.030616018269997138,0.6306625827542623,0.1103771174917217,0.11401604350859672,0.006908981329141874,0.030616018269997138
atd,raw,7,T7W20,250,-0.0090108947630253,0.887266724213299,-0.008271094500136552,0.8966762634913795,-0.0721827812747035,0.2555072891748625,-0.06600774835089333,0.29951424530301546,0.0090108947630253,0.008271094500136552,0.0721827812747035,0.06600774835089333
density,raw,7,T7W20,250,0.014379995127498098,0.8210148213400085,0.01546196965018248,0.8081815523507341,-0.09277903116004771,0.14353021883473613,-0.08408864596807082,0.1859805992806825,0.014379995127498098,0.01546196965018248,0.09277903116004771,0.08408864596807082
diameter,raw,7,T7W20,250,-0.048175115428664365,0.4482483494750763,-0.05063318333548109,0.4263411351449423,0.09153852725300651,0.1489840579775228,0.07346215283760435,0.24811434923577647,0.048175115428664365,0.05063318333548109,0.09153852725300651,0.07346215283760435
asp,raw,7,T7W20,250,-0.0364598390345426,0.5661150362056656,-0.03869578917146334,0.5433436601698902,0.10076102929165581,0.11200742299591863,0.08379949499244208,0.18750380921884324,0.0364598390345426,0.03869578917146334,0.10076102929165581,0.08379949499244208
cc,raw,7,T7W20,250,0.12092216093719829,0.05621339853153508,0.12024744426004359,0.05811810665660372,-0.007565856395321147,0.9052524736055807,-0.015745251717867195,0.8047371558889748,0.12092216093719829,0.12024744426004359,0.007565856395321147,0.015745251717867195
nodes,raw,7,T7W30,250,-0.0033956175045788393,0.9573968608979869,-0.003928715299098082,0.950815769654823,0.08200711320577524,0.19624430884009839,0.07802664497346695,0.21985423626765496,0.0033956175045788393,0.003928715299098082,0.08200711320577524,0.07802664497346695
edges,raw,7,T7W30,250,0.1288194503808662,0.04184144988351531,0.12900032954395152,0.0419663145229096,0.1307998232159034,0.03876722591002722,0.13400618882934076,0.03455938762209838,0.1288194503808662,0.12900032954395152,0.1307998232159034,0.13400618882934076
re,raw,7,T7W30,250,-0.08182276052207177,0.1972552604893204,-0.08237890553159084,0.1951203832252167,-0.026645952239916615,0.6750169577471168,-0.03186491707662891,0.6167815076127687,0.08182276052207177,0.08237890553159084,0.026645952239916615,0.03186491707662891
pe,raw,7,T7W30,250,-0.03655956980971034,0.5650525935478793,-0.03582194216600703,0.5737092739912354,-0.059549748859004846,0.34840994288115645,-0.05289578667990584,0.40593773304626696,0.03655956980971034,0.03582194216600703,0.059549748859004846,0.05289578667990584
l1,raw,7,T7W30,250,-0.04436826098988981,0.48495703679166585,-0.04406365126677058,0.4888429185563486,0.0767144222089587,0.22679171020679978,0.0807777538830129,0.20397257533919116,0.04436826098988981,0.04406365126677058,0.0767144222089587,0.0807777538830129
l2,raw,7,T7W30,250,-0.03059527522741158,0.630202281236049,-0.029457395359373802,0.6436572917509894,-0.06617550460909412,0.2973070239536971,-0.055500483357829485,0.38318190030929006,0.03059527522741158,0.029457395359373802,0.06617550460909412,0.055500483357829485
l3,raw,7,T7W30,250,0.01615923622208277,0.7993131537508166,0.01541777209129231,0.8087192809678951,-0.041508055397935686,0.5135677062284084,-0.04937052456305423,0.4379811382475081,0.01615923622208277,0.01541777209129231,0.041508055397935686,0.04937052456305423
lcc,raw,7,T7W30,250,0.001994245449375438,0.9749714375824884,0.0014467122755520236,0.9818785050825235,0.10449007565155123,0.09927704688074927,0.10064436102021472,0.11315388646302192,0.001994245449375438,0.0014467122755520236,0.10449007565155123,0.10064436102021472
lsc,raw,7,T7W30,250,0.17365578811279633,0.005906527618510277,0.173531998262172,0.006044269589418138,0.08918556282352014,0.15975868551224892,0.08885306484581655,0.16217643745742963,0.17365578811279633,0.173531998262172,0.08918556282352014,0.08885306484581655
atd,raw,7,T7W30,250,0.005722709952511673,0.9282623724240118,0.006112338779366596,0.9235470511537943,-0.06890215169772451,0.27780244118644143,-0.06610466339413923,0.2988036972166567,0.005722709952511673,0.006112338779366596,0.06890215169772451,0.06610466339413923
density,raw,7,T7W30,250,0.03847502932811629,0.5448341048231101,0.039221174510653406,0.5378795660756268,-0.0747066411694086,0.23921890444356858,-0.06897113249364342,0.27829322849354615,0.03847502932811629,0.039221174510653406,0.0747066411694086,0.06897113249364342
diameter,raw,7,T7W30,250,-0.11444662175584365,0.07085101052486567,-0.11587669747281072,0.06793209969677144,0.039245088323225874,0.536807675454401,0.02884268614860009,0.6505962115371459,0.11444662175584365,0.11587669747281072,0.039245088323225874,0.02884268614860009
asp,raw,7,T7W30,250,-0.10039514305970543,0.11332248781221317,-0.10181266580086899,0.10900970004734152,0.051276290765379394,0.41954123300869745,0.0409118286263545,0.5204846479919171,0.10039514305970543,0.10181266580086899,0.051276290765379394,0.0409118286263545
