feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
z_re,z,2,T2W10,240,-0.044945535938392275,0.48830433569272735,-0.043108216188509504,0.5071696288543603,-0.04781631874248831,0.46092676262846916,-0.03376249397496415,0.6035047624028842,0.044945535938392275,0.043108216188509504,0.04781631874248831,0.03376249397496415
z_pe,z,2,T2W10,240,0.15030767065096506,0.019824665309583964,0.15061661648685856,0.019828692507651947,0.015073582799173089,0.8162949384238241,0.017322117024510957,0.7899238909945494,0.15030767065096506,0.15061661648685856,0.015073582799173089,0.017322117024510957
z_l1,z,2,T2W10,240,-0.025918306362129953,0.6895281409791814,-0.021336986069858933,0.7427832944024663,-0.014962550789152103,0.8176243543797105,0.023337081652548306,0.7196400304132008,0.025918306362129953,0.021336986069858933,0.014962550789152103,0.023337081652548306
z_l2,z,2,T2W10,240,0.1538151696548174,0.01709482438988619,0.15379624291501295,0.017343672519244797,0.02123476220108857,0.7434508703451855,0.021110265736432852,0.7454217836324535,0.1538151696548174,0.15379624291501295,0.02123476220108857,0.021110265736432852
z_l3,z,2,T2W10,240,-0.12807193414958024,0.04749129665575073,-0.13184780353681588,0.04169713641635403,-0.11675081682961586,0.07100709580506434,-0.14325924630025533,0.026790408338815838,0.12807193414958024,0.13184780353681588,0.11675081682961586,0.14325924630025533
z_lsc,z,2,T2W10,240,-0.028442280750584498,0.6610860638248178,-0.033352013586792253,0.6079169273121806,0.07424837779996214,0.2518663664612734,0.041867507129818196,0.5194813693936357,0.028442280750584498,0.033352013586792253,0.07424837779996214,0.041867507129818196
z_atd,z,2,T2W10,240,0.05862143133475816,0.3658915893816735,0.06761584557807356,0.2978629513546702,-0.1350998306524686,0.03647169054977371,-0.08768055662454376,0.17669374923329859,0.05862143133475816,0.06761584557807356,0.1350998306524686,0.08768055662454376
z_density,z,2,T2W10,240,-0.07458843899732873,0.24969500968370625,-0.08272834471257637,0.20251119854696079,0.03558729522767478,0.5832721034589012,-0.01109599269903812,0.8645022861279953,0.07458843899732873,0.08272834471257637,0.03558729522767478,0.01109599269903812
z_diameter,z,2,T2W10,240,0.06031343066606946,0.35219471367547467,0.06620603271494684,0.3080733276460058,-0.07075723297894657,0.27491554696414683,-0.03531332515531234,0.5869659096516947,0.06031343066606946,0.06620603271494684,0.07075723297894657,0.03531332515531234
z_asp,z,2,T2W10,240,0.04174766587443748,0.5197984331683184,0.05001910096579215,0.44147526885126537,-0.11161306291137207,0.08444280142088187,-0.06373476742661874,0.3265198926661031,0.04174766587443748,0.05001910096579215,0.11161306291137207,0.06373476742661874
z_cc,z,2,T2W10,240,-0.12383895541617213,0.05538167105082214,-0.12734731840053762,0.04924854974332518,-0.10638973096168917,0.10012509040584357,-0.13125625728249457,0.04263039841334138,0.12383895541617213,0.12734731840053762,0.10638973096168917,0.13125625728249457
z_re,z,2,T2W20,237,-0.057749220067639266,0.3761154239698015,-0.05567446121515177,0.39454347642763754,-0.050019291758722016,0.4434110581259137,-0.026742851587820436,0.6827427611480594,0.057749220067639266,0.05567446121515177,0.050019291758722016,0.026742851587820436
z_pe,z,2,T2W20,237,0.13106051757747714,0.043832808117167846,0.1312979469997659,0.04389842607669758,0.025901700102789166,0.6915813736836107,0.028567764186963784,0.6623831361040596,0.13106051757747714,0.1312979469997659,0.025901700102789166,0.028567764186963784
z_l1,z,2,T2W20,237,-0.024963113267163127,0.7022166131637564,-0.02134447553489217,0.7442759034225067,-0.04429328342289834,0.49738223455535097,-0.005112506391248133,0.9377299640806304,0.024963113267163127,0.02134447553489217,0.04429328342289834,0.005112506391248133
z_l2,z,2,T2W20,237,0.13603735078545298,0.03635495242066591,0.13642884794447094,0.036212361301139175,0.030122039394318262,0.6445289625277524,0.0343313778377155,0.5997479171872822,0.13603735078545298,0.13642884794447094,0.030122039394318262,0.0343313778377155
z_l3,z,2,T2W20,237,-0.14629597906222697,0.024295576779158782,-0.150024687347728,0.02113580470411124,-0.09947714760262232,0.12673001307956597,-0.12939103542647978,0.047084071158093335,0.14629597906222697,0.150024687347728,0.09947714760262232,0.12939103542647978
z_lsc,z,2,T2W20,237,-0.006193973889186766,0.9244325631108662,-0.007936296857336787,0.9034737954858786,0.08267827412204388,0.20470554634621038,0.06749927885914031,0.30178361537956255,0.006193973889186766,0.007936296857336787,0.08267827412204388,0.06749927885914031
z_atd,z,2,T2W20,237,0.018795627733089657,0.7734611083676781,0.019663898204747197,0.7637899467129886,0.052430730268366574,0.4217169468327806,0.06236640144821465,0.3401176749256309,0.018795627733089657,0.019663898204747197,0.052430730268366574,0.06236640144821465
z_density,z,2,T2W20,237,-0.097856667162916,0.1330643830204476,-0.10412059557687474,0.11062788331879356,0.00254788003227936,0.9688769979293662,-0.04135325036416542,0.5272704929088353,0.097856667162916,0.10412059557687474,0.00254788003227936,0.04135325036416542
z_diameter,z,2,T2W20,237,-0.033808360612049136,0.6045494076587723,-0.031613375429564654,0.6289565185439645,-0.10114094835344542,0.12047158144469378,-0.07983466201740079,0.2217519780285429,0.033808360612049136,0.031613375429564654,0.10114094835344542,0.07983466201740079
z_asp,z,2,T2W20,237,-0.01710989422397571,0.7932983017785599,-0.014272112218601285,0.8273517248436515,-0.10000622803858661,0.12471316944974772,-0.0729686180836414,0.26420715915260046,0.01710989422397571,0.014272112218601285,0.10000622803858661,0.0729686180836414
z_cc,z,2,T2W20,237,-0.16317579850954683,0.011880920157801974,-0.1667437028726495,0.010289265334617045,-0.10281340761269515,0.11442553435741079,-0.13118816511441309,0.04407678868574519,0.16317579850954683,0.1667437028726495,0.10281340761269515,0.13118816511441309
z_re,z,2,T2W30,230,-0.0063058499275041625,0.9242251951040592,-0.002549200715880257,0.9693963728660576,-0.046347127185695926,0.48428001930855824,-0.025775357911295933,0.6980293946586515,0.0063058499275041625,0.002549200715880257,0.046347127185695926,0.025775357911295933
z_pe,z,2,T2W30,230,0.13394464380647159,0.04241171658495597,0.13470048413171534,0.04169775200990014,0.04254112076440978,0.5209098132512112,0.04729457567878876,0.47635396644819605,0.13394464380647159,0.13470048413171534,0.04254112076440978,0.04729457567878876
z_l1,z,2,T2W30,230,-0.03151493498797892,0.6344579101422624,-0.025280162232513913,0.7035552702071974,-0.04949204315445058,0.45509229696802944,-0.012517231690363544,0.8505702255391709,0.03151493498797892,0.025280162232513913,0.04949204315445058,0.012517231690363544
z_l2,z,2,T2W30,230,0.13023320070628344,0.048526020792919136,0.13168796924056872,0.046527889278314444,0.03631410737668853,0.5837531127518214,0.04468024736992787,0.5010930423424441,0.13023320070628344,0.13168796924056872,0.03631410737668853,0.04468024736992787
z_l3,z,2,T2W30,230,-0.10651333280676992,0.10714920135404664,-0.11261254577704297,0.08908880455941386,-0.07823501960192095,0.23726894497232404,-0.11040638762380253,0.09557245092547281,0.10651333280676992,0.11261254577704297,0.07823501960192095,0.11040638762380253
