feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_lsc_T6W40,-0.07693902763011483,0.13476198831034353,1.0,82,0.205
z_asp_T6W40,-0.06926034392321756,0.21819869799882446,1.0,275,0.6875
z_diameter_T6W40,0.05487208920242609,0.2267058483901187,1.0,230,0.575
z_density_T6W40,0.03776497431118755,0.06438712425060954,1.0,317,0.7925
z_l3_T6W40,-0.035351783365970384,0.04481117556712405,1.0,330,0.825
z_l2_T6W40,0.03508519779108713,0.07240437735729126,1.0,106,0.265
z_atd_T6W40,-0.02717023464476096,0.0491705465025883,1.0,87,0.2175
z_re_T6W40,-0.025528875886223806,0.03346938607914225,1.0,375,0.9375
z_pe_T6W40,-0.014876528058394477,0.05968546529883521,1.0,109,0.2725
z_l1_T6W40,-0.01352430238130461,0.030738111645361686,1.0,89,0.2225
