subject,edges_T2W40,re_T2W40,lsc_T2W40,z_re_T2W40,z_pe_T2W40
CDMS-10-4A-JURAN,0.5113117808036988,0.08876252647513069,0.5053635775882472,0.1251299047499876,0.8103042798989485
CDMS-10-5A-HEPIHO,0.17892745052113732,-0.05743927774522869,0.172328752295246,-0.2546251655504265,-0.9454973759637705
CDMS-10-5A-KSRAGU,0.5113117808036988,0.30773562560101914,0.22798471464969042,0.5225782863845628,-0.7859907187388541
CDMS-10-5A-SROPU,0.5113117808036988,0.37025995637911663,0.6263378499177643,1.1603558053629226,0.016523657372055852
CDMS-10-5A-SZURO,-1.5245422421770098,-0.5666621780822014,0.4384857744877538,-0.5873081719125309,0.25278215382091374
CDMS-10-5B-SRAJA,0.5113117808036988,0.9839937105350217,0.1296381315035358,0.9645851842797617,-0.5161862439293748
CDMS-10-5C-DAAUSA,0.5113117808036988,0.15049146444271067,0.4899889522015557,0.38890105900084215,-0.03320683168839358
CDMS-10-5C-ICAPA,-1.5245422421770098,2.383119707756425,-0.49900919854235565,1.4433013149275156,-1.0417897115034875
CDMS-10-5C-JFALGI,0.5113117808036988,-0.9575858048769985,1.2437411827500853,-0.7915595441560141,-1.0790501917608921
CDMS-10-5C-NBEMO,-1.5972513144263043,-1.2373623402365563,-0.3384835239213793,-1.6228004520292272,0.6913185558358689
CDMS-10-6B-ASCACO,0.25390495031188914,0.4748881099028598,-0.30776384954846114,-0.33379901159967346,2.1837566844887686
CDMS-10-6B-JJMOBE,-1.5245422421770098,0.9435857394961366,0.21068325767669882,0.7037876159097181,-1.4043834531820008
CDMS-11-5A-EAARCA,0.5113117808036988,-0.285002669426287,0.42424811718706246,0.05551583039942925,0.7497589688301207
CDMS-11-5A-MGTHAR,0.17629782765499083,-0.8592363481359024,0.245286171622682,-1.0302937794605418,-0.5474789067601908
CDMS-11-6A-DFVEBE,0.5113117808036988,-0.14413535047994416,-0.19044726105581056,-0.7305248481191547,-0.5798632392908727
