target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W20,VALIDATION,R2,-0.014321,0.037228,-0.01798,-0.010662,1.9659,399,True
MOT,T2W20,VALIDATION,RMSE,7.778938,0.328429,7.746654,7.811221,1.9659,399,True
MOT,T2W20,VALIDATION,MAE,6.636263,0.257284,6.610973,6.661553,1.9659,399,True
MOT,T2W20,VALIDATION,rho,0.03951,0.131152,0.026618,0.052402,1.9659,399,True
MOT,T2W20,TEST,R2,-0.01889,0.050499,-0.023854,-0.013926,1.9659,399,True
MOT,T2W20,TEST,RMSE,7.761241,0.515041,7.710614,7.811868,1.9659,399,True
MOT,T2W20,TEST,MAE,6.624402,0.423655,6.582758,6.666045,1.9659,399,True
MOT,T2W20,TEST,rho,0.021796,0.194322,0.002695,0.040897,1.9659,399,True
COG,T2W20,VALIDATION,R2,-0.014203,0.048596,-0.018979,-0.009426,1.9659,399,True
COG,T2W20,VALIDATION,RMSE,2.251691,0.184866,2.23352,2.269863,1.9659,399,True
COG,T2W20,VALIDATION,MAE,1.752661,0.125967,1.740279,1.765043,1.9659,399,True
COG,T2W20,VALIDATION,rho,0.088416,0.12906,0.07573,0.101102,1.9659,399,True
COG,T2W20,TEST,R2,-0.012666,0.041219,-0.016717,-0.008614,1.9659,399,True
COG,T2W20,TEST,RMSE,2.191788,0.272968,2.164957,2.21862,1.9659,399,True
COG,T2W20,TEST,MAE,1.724106,0.180937,1.706321,1.741892,1.9659,399,True
COG,T2W20,TEST,rho,0.084149,0.183231,0.066138,0.10216,1.9659,399,True
MOT_V4,T2W20,VALIDATION,R2,-0.011225,0.031696,-0.01434,-0.008109,1.9659,399,True
MOT_V4,T2W20,VALIDATION,RMSE,3.465113,0.159342,3.44945,3.480775,1.9659,399,True
MOT_V4,T2W20,VALIDATION,MAE,2.856134,0.1137,2.844958,2.867311,1.9659,399,True
MOT_V4,T2W20,VALIDATION,rho,0.061743,0.125509,0.049406,0.07408,1.9659,399,True
MOT_V4,T2W20,TEST,R2,-0.011866,0.050851,-0.016865,-0.006868,1.9659,399,True
MOT_V4,T2W20,TEST,RMSE,3.541284,0.261515,3.515578,3.56699,1.9659,399,True
MOT_V4,T2W20,TEST,MAE,2.924463,0.194463,2.905348,2.943578,1.9659,399,True
MOT_V4,T2W20,TEST,rho,0.062768,0.201764,0.042936,0.082601,1.9659,399,True
COG_V1,T2W20,VALIDATION,R2,-0.030998,0.100108,-0.040838,-0.021158,1.9659,399,True
COG_V1,T2W20,VALIDATION,RMSE,1.349128,0.100175,1.339281,1.358975,1.9659,399,True
COG_V1,T2W20,VALIDATION,MAE,1.052683,0.07546,1.045266,1.060101,1.9659,399,True
COG_V1,T2W20,VALIDATION,rho,0.11994,0.136678,0.106505,0.133375,1.9659,399,True
COG_V1,T2W20,TEST,R2,-0.013936,0.122938,-0.026021,-0.001852,1.9659,399,True
COG_V1,T2W20,TEST,RMSE,1.332176,0.121295,1.320253,1.344099,1.9659,399,True
COG_V1,T2W20,TEST,MAE,1.034353,0.089817,1.025524,1.043181,1.9659,399,True
COG_V1,T2W20,TEST,rho,0.126625,0.205101,0.106464,0.146786,1.9659,399,True
