subject,l2_T2W20,lsc_T2W20,z_re_T2W20,z_pe_T2W20,z_l2_T2W20
CDMS-10-4A-JURAN,0.6915667545240932,-0.14170357835761596,0.4469391629981535,1.2286066585840463,0.8714794098563234
CDMS-10-5A-HEPIHO,-0.6806014394062259,1.3582279481158168,0.20337626941191292,-0.7898215399417559,-0.753637921240151
CDMS-10-5A-KSRAGU,-0.18789474860110408,0.805333909898425,0.18837031758006126,-0.7153889581058035,-0.6203659966703207
CDMS-10-5A-SROPU,0.24738009051037013,-0.5456798781713128,0.6608524136960252,0.11031433705050026,0.10892818540102894
CDMS-10-5A-SZURO,-0.8699188984217038,0.6737911559503498,0.5833853711983099,-0.8671992960095094,-0.9863996952046777
CDMS-10-5B-SRAJA,-0.005662459499410463,-0.3763929752508814,0.635918393153609,-0.33960808828306854,-0.14188890144762636
CDMS-10-5C-DAAUSA,-0.32979295771495615,0.787832921665275,0.7527163769887778,-0.41142934661737884,-0.6389067409074837
CDMS-10-5C-ICAPA,-0.333680579882459,0.2671785217290773,-1.521551493453091,-0.8277454099724814,-0.7720573196139652
CDMS-10-5C-JFALGI,-1.1209240688017759,1.0903500039811447,-1.5407405043041058,-0.9937545876929984,-1.022495422823072
CDMS-10-5C-MAORTO,-1.1209240688017759,-1.7148083956751043,0.4076176595017956,-0.8257696169505573,-0.8078575143736624
CDMS-10-5C-NBEMO,0.6262040250279362,-0.334619440426279,-1.5234539546448058,0.8427398410171622,1.270914342001381
CDMS-10-6B-ASCACO,1.2260915663875893,0.4097829527176493,-0.07996741941811907,1.478481562419033,0.7151780422364196
CDMS-10-6B-JJMOBE,-1.1209240688017759,1.3217497892469068,-1.0042842281320123,-1.2334967492535076,-1.3323244289776464
CDMS-11-5A-EAARCA,0.40626727307465105,-0.010751416403759812,0.0792146251196273,0.4154599982091738,0.6813828097600456
CDMS-11-5A-MGTHAR,-0.712723741213982,0.5296933452263205,-0.8019592750855233,-0.6164469447781251,-0.6767953183593366
CDMS-11-6A-DFVEBE,0.0874031467488036,-0.720915063922753,0.0791833833433119,-0.47301627028462795,-0.3267974728079684
CDMS-11-6A-NMREPR,-0.7710380737265239,-1.2685331957297918,0.2118093874380103,-0.8275669337886054,-0.8111726378922322
CDMS-11-6B-ARAHE,-0.042262376089518876,0.19028931158370063,1.3230445480593398,-0.46263993721051205,-0.7068646847539457
CDMS-11-6B-AVROTO,-0.339599703859296,0.946509644865645,-0.8030197216866526,-0.3235188519350181,-0.14979680168195728
CDMS-11-6B-EAFESA,-0.5912801313025412,-0.6829324679008515,0.16656645237345746,-0.5067742800847018,-0.39314039714995175
CDMS-11-6B-EFRGR,-0.3568348001447918,0.24285729543448004,0.5837422328051073,-0.605084347764091,-0.5065707243611431
CDMS-11-6B-EROCO,0.3025847056824683,-0.8771883235779093,-0.7124743148629205,-0.39315756262867,-0.17528397577923163
CDMS-11-6B-JACUPE,1.2187083351093166,0.3749477650595239,-0.36713560555001756,-0.1426052549392256,-0.18572395953437407
CDMS-11-6B-JDCHBA,-0.4664134937118788,0.05724297537997437,0.10554482396729398,-0.8004262711329765,-0.7607980759342989
CDMS-11-6B-JFSAHE,-0.285341067404957,0.9220839235064091,0.20921864885274627,0.13169826230938145,0.3839761701544814
CDMS-11-6B-JLPENA,-0.590739678305093,-1.4172023049552713,-0.29856555775797416,-0.8255557729820144,-0.7813136424172908
