subject,l2_T2W20,l3_T2W20,lsc_T2W20,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,0.12161817350477694,-0.09416644537810799,0.006487898688786219,-0.2025171139164157,0.1869984964031898,0.10802387843930394,2,5.7635756894293
CDMS-10-5A-HEPIHO,-0.11513420982519366,-0.03681210795233429,0.09330571380774604,-0.15525311768959657,-0.048837494463305375,0.004403406916707421,7,5.378802992481795
CDMS-10-5A-KSRAGU,-0.06489793126634859,0.01590024350451548,0.04535165731360701,-0.1446254173524636,-0.08272064648120614,-0.0656352686592159,5,5.340503438746658
CDMS-10-5A-SROPU,-0.04288343039801156,0.008919219475814697,0.0065384492611228915,-0.115545246774211,-0.07660996250150065,-0.17249677520380524,6,5.2450530555471815
CDMS-10-5A-SZURO,-0.016474600089019298,0.16090977395284664,0.0857918596168418,-0.14620626720851465,-0.029123712168029028,0.014108802142444128,5,5.706136657934341
CDMS-10-5B-SRAJA,0.04189187113770076,0.041112333203967344,0.09165718344428664,0.008754657288068441,0.02578357249290889,0.0015596991893382047,13,5.84789011844404
CDMS-10-5C-DAAUSA,-0.031733739464886196,0.007618576505992132,0.09849265149538175,-0.009263496438980183,-0.009047877539731814,0.01722633215489161,8,5.710423248400439
CDMS-10-5C-ICAPA,-0.15491973395265474,0.06183622157743017,0.11945307089894353,0.2388706437961948,-0.006255696432602309,0.00832667642737697,7,5.90444198400246
CDMS-10-5C-JFALGI,0.11486238865241984,0.02085310547034681,0.16598673016021143,0.25323122778167206,0.06472002244588336,0.0813012517474513,10,6.338085527945759
CDMS-10-5C-MAORTO,0.07090722952655523,0.17282459049952187,-0.1673566736500638,-0.01973627502272887,0.008223706245673066,0.0015715040772206305,12,5.70356488336395
CDMS-10-5C-NBEMO,0.16561940517169568,-0.015451413124201927,-0.031872008886666976,0.07938421885987244,0.10555274569085549,0.21079394864497222,5,6.151157698044297
CDMS-10-6B-ASCACO,0.3153986475681332,-0.05647394585331236,0.11638386633851909,-0.01599578504172553,0.31764661295808283,0.08078436506812318,6,6.3948745627255885
CDMS-10-6B-JJMOBE,0.014080594341126858,0.10788442195449255,-0.006465419073386533,-0.01715555949869946,-0.1234746709256416,-0.12094853949513748,1,5.491051628990528
CDMS-11-5A-EAARCA,0.09885861785064132,-0.020726548396032964,0.09559582268511306,-0.04421825629870989,-0.06266677858376504,0.08036450196075537,8,5.784338160905771
CDMS-11-5A-MGTHAR,-0.061949424200694506,0.0065567230149614604,0.15130629216909952,0.1200888263386704,-0.03152879693493156,-0.001987588326533606,9,5.819616833748348
CDMS-11-6A-DFVEBE,-0.07782439656037819,-0.045686975793272994,-0.131258633163898,-0.11641609915479258,-0.08202113783312096,-0.1389152044861597,1,5.045008354696152
CDMS-11-6A-NMREPR,-0.06706248979968125,0.16360623263691912,-0.051313807837882475,-0.05275400382611628,-0.0293038831957534,-0.031653047177244376,8,5.568649802488014
CDMS-11-6B-ARAHE,-0.04879310778060202,-0.003406102137009656,0.05882384579420733,-0.0685435570515176,-0.057540284269105076,-0.029207701910278085,5,5.488463894333467
CDMS-11-6B-AVROTO,-0.11905110476697231,0.05336826324696934,0.06562893236723447,0.0006864015455807489,-0.0641960302002824,-0.07531004466755133,8,5.498257219212752
CDMS-11-6B-EAFESA,-0.2996625695264814,0.09641108045679576,-0.13916328699272418,-0.19299087304370346,-0.14867694428089875,-0.16172843087390487,0,4.791319777426857
CDMS-11-6B-EFRGR,-0.14544952790979418,-0.06980600475844528,0.041507637280374834,-0.12835719934343567,-0.08813743953224976,-0.07813913675887181,3,5.168749130665348
CDMS-11-6B-EROCO,-0.027277230445871176,0.0817868701061765,-0.11683190756926791,0.023611784458807326,-0.0765211613364843,-0.08193073868178004,6,5.439968418219352
CDMS-11-6B-JACUPE,0.3143931330032846,0.028493717288313243,0.09858589151678337,0.00030102992049184797,-0.11041394057495048,-0.09568082327519262,9,5.872809809566496
CDMS-11-6B-JDCHBA,-0.18011132293449386,-0.02554409916450017,0.04079865317072741,-0.14673636363280396,-0.0860014874450575,-0.07214097948489485,3,5.16739520219675
CDMS-11-6B-JFSAHE,-0.13648815037632248,-0.07472090590784647,0.0015860606471179346,-0.1781208373662682,-0.0972629071542501,-0.15199569944693894,3,5.000128362083265
CDMS-11-6B-JLPENA,-0.25377335757763314,-0.018601822380768674,-0.16797752465190738,-0.12090101129670178,-0.04426384926197458,-0.05417124681783097,4,4.97744198970096
CDMS-11-6B-JMARME,-0.032754924254857765,-0.07705856281083538,-0.035384136118255784,-0.0212153707358377,-0.058672611471424316,0.01869601982659754,5,5.430741216123159
CDMS-11-6B-JPSAMA,-0.17728335514477467,-0.14493208392325754,-0.10527190539835853,-0.05395405623693473,-0.132445190158303,-0.025006348323087402,0,4.998237862503058
CDMS-11-6B-LESTA,-0.13344759640584833,-0.0708484954805761,0.04415724139895731,-0.06039309453421241,-0.028099557966362335,-0.03855997845134474,8,5.349939320248385
CDMS-11-6B-MAGIMU,0.053084952127465196,0.14547963762584157,-0.0321286159361101,-0.07332560846826618,-0.002917255157121436,-0.02630660156844334,9,5.701017310311141
CDMS-11-6B-MEBRTA,-0.03503539026346113,0.03641748515581532,-0.06194275692623787,-0.12384422217033571,-0.09759701778721043,-0.11467235716451148,8,5.240456542531831
CDMS-11-6B-MMAMO,-0.20529283150080763,-0.06350615850996075,0.05179281868403195,-0.1530042210059212,-0.1299774206757331,-0.1181543229198745,2,5.018988665759508
CDMS-11-6B-RSECA,-0.13391757937860793,-0.10347981865736589,-0.04158459278375819,-0.07876840385577404,-0.09615366170377755,-0.07250986993556997,1,5.110716875372922
CDMS-11-6B-SCAPA,0.007734303338629306,-0.03832739710327963,0.043601655268214586,-0.14506789556230704,-0.0530866017885423,-0.060247265298909544,5,5.391737600541575
CDMS-11-6B-VZAPE,0.1766620444548278,-0.056102742088861374,0.13484562399116598,0.05271645923376153,0.14017494925128815,0.2419811459879025,8,6.327408282517856
CDMS-11-6B-YLNIME,-0.23327195157926542,-0.09656043908168428,0.044218914581411826,-0.05370058671266308,-0.13849545839364694,-0.18661285199297542,0,4.972708428508953
CDMS-11-7C-ICARE,0.185933133257535,0.008322511857030552,-0.05488117566345962,0.04685331954783115,0.17065867179923433,0.23655131313294184,7,6.230568575618882
CDMS-11-7C-SALMA,-0.14331728586469641,0.10012699075730296,0.09370446383773574,-0.04523585994013473,-0.0928092099007475,-0.07450344353580693,7,5.475096457041422
CDMS-11-7C-SPGAVE,-0.09802645464100229,-0.03637849028619191,-0.1284049703629313,0.11645531521685998,-0.09778556631970156,-0.1401843846418395,5,5.25280625065297
CDMS-12-5A-SRIGO,-0.0009617259294684908,-0.020120765529436483,0.053302936819098944,-0.13501606187164525,0.22634292598168812,0.15936755663404914,7,5.920045667792054
CDMS-12-6A-FAROPA,-0.24386271212536476,-0.06025226396870246,0.0727647914059266,-0.029523080442910004,-0.054501947168010524,-0.020435059678214944,5,5.301320529710496
CDMS-12-6A-JGIGA,-0.12484254205925664,0.026703420812093648,0.06831710798134745,-0.012590970935262673,-0.08297934808579395,-0.07684936114687567,1,5.434889108254022
CDMS-12-6A-JSOTGU,0.10399366429984487,0.17268728512728315,0.163595688975555,-0.036473387926660834,0.0269237361704463,0.03016333594720526,10,6.098021124281447
CDMS-12-6A-SROAL,0.054292657835842084,0.012280240870707785,0.10208247689067998,0.6396050013866155,-0.08340434254217681,-0.05144258638632718,10,6.310544249743109
CDMS-12-6B-IJDAGA,0.23713038031365397,0.09197669189761132,0.1075800796719014,0.005316961208544041,0.20793894304875138,0.06963748768768702,10,6.356711345515913
CDMS-12-6B-SCLAG,0.5097322422771923,0.1400469137599721,0.11440148853014385,0.010199012580261521,0.2769182612931218,0.3136910086337521,14,7.002119728762214
CDMS-12-7C-ARAHE,0.1153124189524387,0.2429041759086097,-0.045483558095043695,0.7853183336136079,0.539384540797752,0.21165915686669962,11,7.486225869731836
CDMS-12-7C-CATRAR,0.014209742521152164,-0.0006933024991312643,0.12782185369168847,0.04713049339894628,-0.09980788149971144,-0.09685126876023958,6,5.628940438540477
CDMS-12-7C-DLOLO,0.15995014212848105,0.024347075012355075,0.16095170626741157,0.027943021853378564,0.166510153386926,0.36910455130640485,10,6.545937451642726
CDMS-12-7C-JSZAOR,-0.19288492780416347,0.021643285409414233,-0.019211023962843517,-0.12798109599605123,-0.10681240326975151,-0.08529910712318735,5,5.126585528941188
CDMS-12-7C-MAROBE,0.005782736904967273,-0.05536661100880728,0.051734612199891436,-0.07557875921727476,-0.050005013043741706,-0.05644708720955581,2,5.45725068031325
CDMS-12-7C-VMAPA,0.10890329540448483,0.15295789036797544,0.09503339368861338,0.0016941902798548905,0.013694262217242847,0.03215236863423579,4,6.041566202280179
CDMS-12-7C-VQURA,-0.11011305608884411,-0.016212957576412407,-0.005088972254564043,-0.10797479227145718,-0.12815752235620215,-0.1769761035253483,4,5.092607397614946
CDMS-13-6B-ASUMO,-0.028695197337028265,-0.05108172556397732,0.0522803451075242,-0.1502491321206406,-0.08115026591879972,-0.0768990155655631,1,5.301335810289291
CDMS-13-6B-JDTAHE,0.20179682584794476,-0.04069678477365389,-0.09685646782660705,0.1948434002926116,0.06485425713383491,0.030469568293397604,8,5.991541600655302
CDMS-13-7C-MVEAR,0.35021849631917695,0.0016020083892553248,0.057609688853507056,-0.008503167911197616,0.39156685548406744,0.2916910319320008,9,6.721315714754575
CDMS-13-7C-RAIZAC,-0.12175766826857405,-0.0354304186516057,-0.16213656626830822,-0.06233200842725255,-0.05564655098431375,-0.08574852877503199,4,5.114079060312687
CDMS-13-7C-SSOSLO,0.2535943405693208,0.07936520173804798,-0.12626805652290493,-0.07852257772888027,0.436384465945239,0.3187027821813171,10,6.520386957869908
CDMS-14-10A-IMORTO,-0.11965474872021431,-0.03868058572536541,0.06858722875496166,-0.01703736038045009,-0.07915279934905167,-0.13814116407257096,6,5.313051372195083
CDMS-14-10A-JCVANI,-0.08157194690941606,0.07661257528898686,0.06900021094527241,-0.022096768614363476,0.005963489844493116,-0.008973427245136395,10,5.6760649349976084
CDMS-14-6B-KDCAHE,-0.10380857412337392,-0.00876407923093769,-0.012486306027686196,0.1436952808525961,-0.04121442898734809,-0.059528272915794905,8,5.555024421255229
CDMS-15-10A-AMALOS,-0.11692684523603758,-0.06834322614161994,-0.11098284457850678,-0.11246242913220411,-0.07447229999931591,-0.16748487460493788,5,4.986458281995152
CDMS-15-10A-JJMACH,-0.1691710738768044,-0.09412538483675244,0.02037216366475728,-0.15980144526121798,-0.1165977511972907,-0.22466079397814218,1,4.8931465162023215
CDMS-15-10A-MAALCA,0.315927681809293,-0.07744294346529451,0.11976506093789382,0.015067089310481455,0.35191443330152145,0.33395855066623426,6,6.696320674247899
CDMS-15-10A-MAALRI,-0.14989346891699573,-0.06072094324104453,-0.11435200593013208,-0.14484190505632355,-0.09488102611667319,-0.1530657472639244,5,4.919375705162678
CDMS-15-10A-SGOMO,0.12739035169144777,-0.021698769984891952,0.02098630938228317,-0.055884271229583525,0.3164620250977617,0.18873092934088,4,6.213117375985664
CDMS-15-10A-SHEGA,-0.07016762773710962,0.0285365542838926,0.063859214137406,-0.10788373401839857,-0.0483125170444011,-0.06112661130555651,7,5.442036080003604
CDMS-15-11B-JEMOLO,-0.007383650397096104,-0.09020379220249178,0.01723255296604312,0.6659106283565079,-0.12123480344258451,-0.08992816521644541,6,6.011523571751706
CDMS-15-11B-VSAHO,-0.1330809966067749,0.0066154640521621216,-0.07564858228078265,-0.01858183649268509,-0.08823181919648157,-0.03915606113993013,4,5.289046970023282
CDMS-16-10A-SGALO,0.060384630933856036,-0.05304276590620438,0.140226534063299,0.18070814743372005,0.003049120164491633,0.0032297835377639796,7,5.971686251914695
CDMS-16-11B-NGABE,0.2257771661977389,0.10764604581238499,0.20002761911546124,0.1574507648311286,0.2801195875279223,0.4508401465405908,12,7.058992131712994
CDMS-17-10A-ASSAMO,0.02934358737930105,-0.030687767211838104,0.01716473885883416,-0.10353167007954031,-0.04506073513295261,-0.016495089790996287,6,5.487863865710576
CDMS-18-7C-VVECA,-0.08005387777830482,-0.09302920582398035,0.04010160881050001,-0.0385875058669445,-0.10052706241366575,-0.06270341575812932,4,5.302331342857247
CDMS-8-4A-DJAVDA,0.03992748703674518,0.10412562377895118,-0.002325662616418248,-0.16516301729103086,-0.009131064110001414,-0.021808110701395458,2,5.582756057784627
