feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG,abs_r_MOT_V4,abs_r_partial_MOT_V4,abs_r_COG_V1,abs_r_partial_COG_V1
nodes,raw,6,T6W30,252,-0.10444625328596,0.09806304895450835,-0.1268659870293542,0.04464081313191925,0.14947914509766788,0.017574343102022754,0.05926110627175377,0.3497841228514608,-0.16181424314064435,0.01008418845532165,-0.19827227901973252,0.0015943171992055844,0.12362926120707857,0.049958031213414245,0.09054130043705368,0.15265300921095115,0.10444625328596,0.1268659870293542,0.14947914509766788,0.05926110627175377,0.16181424314064435,0.19827227901973252,0.12362926120707857,0.09054130043705368
edges,raw,6,T6W30,252,-0.04006057771359724,0.5267111530334059,-0.04302625409996437,0.497406653974782,0.040783623524365806,0.519271098774584,0.0133252193739606,0.8336155860606302,-0.009555792482518317,0.8800208550530986,-0.014139581081013822,0.8236086121898649,0.1341401552297992,0.03329972762953948,0.12345810982828813,0.05074127482693223,0.04006057771359724,0.04302625409996437,0.040783623524365806,0.0133252193739606,0.009555792482518317,0.014139581081013822,0.1341401552297992,0.12345810982828813
re,raw,6,T6W30,252,0.09953009552134526,0.11501384250689846,0.11509488742801277,0.06869837648445562,-0.16116252358692715,0.01039429988973366,-0.08888116223411793,0.16035052727639235,0.12432928910477571,0.048665591456194694,0.14756375707087924,0.019335474709479782,-0.1384344104064333,0.028003131879410188,-0.11130496872999067,0.07839539358287097,0.09953009552134526,0.11509488742801277,0.16116252358692715,0.08888116223411793,0.12432928910477571,0.14756375707087924,0.1384344104064333,0.11130496872999067
pe,raw,6,T6W30,252,0.0077822286069044655,0.9021651311803612,0.010156780243761581,0.8727908114392283,-0.04829343814204678,0.44530323240770536,-0.02435773645668976,0.7009563007374243,0.0462724088776652,0.4646010692099469,0.05057145756428046,0.4250365238542371,-0.03468474050308858,0.583670823583221,-0.02410552283166508,0.7039066237634481,0.0077822286069044655,0.010156780243761581,0.04829343814204678,0.02435773645668976,0.0462724088776652,0.05057145756428046,0.03468474050308858,0.02410552283166508
l1,raw,6,T6W30,252,-0.0063249174231224305,0.9204183420372294,-0.002455626073402022,0.969121362067543,-0.03433928369170453,0.5874265013605543,0.007855908884175566,0.9014406430482971,-0.03660586290716723,0.5629907740819021,-0.03048820051933612,0.6307121844263476,-0.04284802193976643,0.49832942231483207,-0.025028844717537843,0.6931277753041606,0.0063249174231224305,0.002455626073402022,0.03433928369170453,0.007855908884175566,0.03660586290716723,0.03048820051933612,0.04284802193976643,0.025028844717537843
l2,raw,6,T6W30,252,-0.00833839381711142,0.8952120165660659,-0.00687208571317904,0.9137322264811552,-0.007467665785709273,0.9061011000910297,0.00865342554783105,0.8914937864966956,0.04164247960755962,0.5105041769843184,0.04432711410256223,0.48448212115292644,-0.017676918356136207,0.7800613491377325,-0.0107747258907247,0.8651228979678762,0.00833839381711142,0.00687208571317904,0.007467665785709273,0.00865342554783105,0.04164247960755962,0.04432711410256223,0.017676918356136207,0.0107747258907247
l3,raw,6,T6W30,252,0.08150188297167357,0.19721868464501352,0.09053856820777305,0.15266544387257452,-0.20523244915081415,0.0010502192858744786,-0.1549193285403915,0.014010891740475682,0.1290769811835224,0.04061695961249042,0.1441831348639113,0.022322216560959084,-0.11054775504419706,0.07985315386913054,-0.08799307342813603,0.16458623030561417,0.08150188297167357,0.09053856820777305,0.20523244915081415,0.1549193285403915,0.1290769811835224,0.1441831348639113,0.11054775504419706,0.08799307342813603
lcc,raw,6,T6W30,252,-0.1045271461669353,0.09780170048876204,-0.12644128460673995,0.045365821253353075,0.14981049653237752,0.01732251223769645,0.06085208048849936,0.33697663078169476,-0.15851415778693734,0.011742981367265778,-0.1937726776737265,0.0020430993938906354,0.1344603454102993,0.032877345930308104,0.10297965664169982,0.10359040298805361,0.1045271461669353,0.12644128460673995,0.14981049653237752,0.06085208048849936,0.15851415778693734,0.1937726776737265,0.1344603454102993,0.10297965664169982
lsc,raw,6,T6W30,252,-0.0473589170055936,0.4541695423170677,-0.05242867287348276,0.4082091316530665,0.07096955070858514,0.26168329546122615,0.029076074437964505,0.6466297193570626,-0.07390467258647007,0.24241700522461315,-0.08246627718733744,0.1928448905139837,0.1307338536759564,0.038086111225539045,0.11453109869104335,0.07007558382090881,0.0473589170055936,0.05242867287348276,0.07096955070858514,0.029076074437964505,0.07390467258647007,0.08246627718733744,0.1307338536759564,0.11453109869104335
atd,raw,6,T6W30,252,0.10356509099187693,0.10094596302518621,0.12499140540535005,0.04791563186305766,-0.15217446434142515,0.015615416770734167,-0.06445115966318993,0.3091251753054136,0.16470798460451902,0.008803966854233607,0.20005595648397753,0.001442894700741637,-0.11235296362590197,0.07502330908279635,-0.07852560586702632,0.2150549272905769,0.10356509099187693,0.12499140540535005,0.15217446434142515,0.06445115966318993,0.16470798460451902,0.20005595648397753,0.11235296362590197,0.07852560586702632
