subject,l2_T2W30,asp_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.6419649874147542,0.09041682682986135,6,15.19182763179122
CDMS-10-5A-HEPIHO,-0.7577479194918536,0.47940012891915623,25,14.181098026973908
CDMS-10-5A-KSRAGU,-0.3493535537499005,0.21202947497431313,19,14.322121738771017
CDMS-10-5A-SROPU,0.27953368946714324,-0.1141834683931605,19,14.624796038620588
CDMS-10-5A-SZURO,-0.9714864201892869,0.24486297489466105,12,13.732822372251979
CDMS-10-5B-SRAJA,-0.0863960543901139,0.05100393828465517,30,14.424053701441146
CDMS-10-5C-DAAUSA,-0.39127304153928116,0.2768533166377139,18,14.345026092645037
CDMS-10-5C-ICAPA,-0.49000968007532697,0.2525580500483587,16,14.221994187519636
CDMS-10-5C-JFALGI,-1.283429096882838,0.16173040279641485,19,13.337747123460181
CDMS-10-5C-NBEMO,0.7441983016252456,0.06518631146286981,22,15.26883043063472
CDMS-10-6B-ASCACO,1.371299558895787,0.1489470745274522,14,15.979692450969845
CDMS-10-6B-JJMOBE,-1.283429096882838,0.3510834633190432,13,13.52710018398281
CDMS-11-5A-EAARCA,0.48135771292975327,-0.23864462450930538,26,14.702158905967053
CDMS-11-5A-MGTHAR,-0.896129481437474,0.03905302480100878,16,13.602369360910139
CDMS-11-6A-DFVEBE,0.4369820291240209,0.28732336277471476,7,15.18375120944534
CDMS-11-6A-NMREPR,-1.0100411330390515,-0.3607077279334434,23,13.08869695657411
CDMS-11-6B-ARAHE,-0.1457048343866355,0.10934663500808402,13,14.423087618168053
CDMS-11-6B-AVROTO,-0.36028166341574314,0.12670147586421857,15,14.22586562999508
CDMS-11-6B-EAFESA,-0.6689965518803885,-0.3938380989223302,2,13.396611166743886
CDMS-11-6B-EFRGR,-0.40548733670408005,0.08915608097569473,10,14.14311456181822
CDMS-11-6B-EROCO,0.10050706400363181,-0.24120963889311348,13,14.318743242657122
CDMS-11-6B-JACUPE,1.3412219245192927,0.5934777490663652,22,16.394145491132264
CDMS-11-6B-JDCHBA,-0.7452317009825441,0.11053058030160853,13,13.824744696865668
CDMS-11-6B-JFSAHE,-0.36956886093553265,-0.07426568467967125,12,14.0156112719314
CDMS-11-6B-JLPENA,-0.6382749246302659,0.14080323039971152,7,13.96197412331605
CDMS-11-6B-JMARME,0.33420011442692,-0.11883866427205943,8,14.674807267701466
CDMS-11-6B-JPSAMA,-0.07952532901866334,-0.24706762956609774,0,14.132852858961844
CDMS-11-6B-LESTA,-0.5344856433798523,-0.1288382134302653,21,13.796121960736487
CDMS-11-6B-MEBRTA,0.3057923776234978,-0.4677237255436566,17,14.297514469626446
CDMS-11-6B-MMAMO,-0.5629523562962093,0.12220631704392186,9,14.018699778294318
CDMS-11-6B-RSECA,-0.05355674041072168,-0.6975989002881793,1,13.708290176847704
CDMS-11-6B-SCAPA,-1.283429096882838,-0.2557954658852479,10,12.920221254778518
CDMS-11-6B-VZAPE,0.8771574752979069,0.14620405064956984,21,15.48280734349408
CDMS-11-6B-YLNIME,-0.3963421100355514,0.1265249865002081,8,14.189628694011262
CDMS-11-7C-ICARE,1.1849868665183074,0.5014020108291267,17,16.145834694894038
CDMS-11-7C-SALMA,-0.616446400005179,0.3417524988333549,18,14.18475191637478
CDMS-11-7C-SPGAVE,-0.34760106680218406,-0.19070605993172243,8,13.921138690812699
CDMS-12-5A-SRIGO,0.32995184386552956,-0.11443482791071655,15,14.674962833501418
CDMS-12-6A-FAROPA,-0.5868209108923308,0.19259631095300944,23,14.065221217607283
CDMS-12-6A-JGIGA,-0.7368512764154417,0.011153810578888647,1,13.733748351710052
CDMS-12-6A-SROAL,-1.1179084929229945,0.3500667824938221,24,13.691604107117431
CDMS-12-6B-IJDAGA,0.8826704166453095,-0.021594572976545393,25,15.320521661215368
CDMS-12-6B-SCLAG,3.1042236343149825,0.6600109483323471,31,18.223680400193935
CDMS-12-7C-ARAHE,0.7441983016252456,0.4637509928973762,22,15.667395112069226
CDMS-12-7C-CATRAR,-1.283429096882838,0.29546927343969426,12,13.47148599410346
