subject,lcc_T6W40,z_density_T6W40
CDMS-10-4A-JURAN,29.94160583941606,-0.3733509080962716
CDMS-10-5A-HEPIHO,30.55653450807636,-0.1506160449829136
CDMS-10-5A-KSRAGU,29.15824915824916,-0.7449088321351932
CDMS-10-5A-SROPU,29.121495327102803,-1.7131037224928627
CDMS-10-5A-SZURO,29.12037037037037,-0.7140364182749952
CDMS-10-5B-SRAJA,29.184952978056423,-0.0272707210924529
CDMS-10-5C-DAAUSA,27.96,-0.9779214407224326
CDMS-10-5C-ICAPA,25.0,-0.8324848692317302
CDMS-10-5C-JFALGI,26.53731343283582,0.1438591266145675
CDMS-10-5C-MAORTO,25.79713603818616,-1.52202878828147
CDMS-10-5C-NBEMO,26.927710843373493,-1.7913891225579426
CDMS-10-6B-ASCACO,27.45674740484429,-0.0512960326467396
CDMS-10-6B-JJMOBE,29.08021390374332,-0.6080142919482588
CDMS-11-4A-GACHSA,26.658666666666665,-1.5092411295082493
CDMS-11-5A-EAARCA,27.70212765957447,-0.5676491615678307
CDMS-11-5A-MGTHAR,25.42517006802721,-1.5363989092818426
CDMS-11-6A-DFVEBE,28.229607250755286,-0.5588899826190022
CDMS-11-6A-NMREPR,28.63659793814433,-0.6335109557793089
CDMS-11-6B-ARAHE,27.761494252873565,-1.2233042176453517
CDMS-11-6B-AVROTO,29.794776119402982,-0.4586811114570165
CDMS-11-6B-EAFESA,29.051637279596974,-1.5368286805639555
CDMS-11-6B-EFRGR,26.543589743589745,-1.4641291048304723
CDMS-11-6B-EROCO,27.11284046692607,-0.6257296153515929
CDMS-11-6B-JACUPE,24.93156424581005,-1.658578628669911
CDMS-11-6B-JDCHBA,26.465007776049767,-1.9938145388365276
CDMS-11-6B-JFSAHE,30.12468193384224,-0.4891315298635595
CDMS-11-6B-JLPENA,28.03333333333333,-0.9942789640499324
CDMS-11-6B-JMARME,28.280339805825243,-0.9271480762622936
CDMS-11-6B-JPSAMA,29.64851485148515,-1.0622448865229843
CDMS-11-6B-LESTA,27.35494880546075,-0.7952991240630579
CDMS-11-6B-MAGIMU,26.06229508196721,-0.8388519831663744
CDMS-11-6B-MEBRTA,27.96415770609319,-1.5011820717427884
CDMS-11-6B-MMAMO,29.328793774319067,-0.4690300063326982
CDMS-11-6B-RSECA,27.78421052631579,-0.6654507717460468
CDMS-11-6B-SCAPA,30.019801980198014,0.0884734077395025
CDMS-11-6B-VZAPE,27.54121863799283,-1.822585818722258
CDMS-11-6B-YLNIME,29.181372549019606,-0.4149680237567897
CDMS-11-7C-ICARE,28.55963302752293,-1.2439774507397463
CDMS-11-7C-IMOIB,29.557603686635943,-0.7700262691009143
CDMS-11-7C-SALMA,28.455919395465997,-1.2308681277426905
CDMS-11-7C-SPGAVE,28.11346153846154,-2.098960831076478
CDMS-12-5A-SRIGO,29.604938271604937,-0.9388233762711048
CDMS-12-6A-FAROPA,29.69926650366748,-0.3899863435010863
CDMS-12-6A-JGIGA,26.832844574780054,-0.7467025884611019
CDMS-12-6A-JSOTGU,27.40983606557377,-0.7553164771617792
CDMS-12-6A-SROAL,29.72629310344828,-0.5310847439738506
CDMS-12-6B-IJDAGA,27.19832985386221,-1.8780197475803737
CDMS-12-6B-SCLAG,27.595149253731343,-1.4343248652751972
CDMS-12-7C-ARAHE,27.608294930875577,-0.408394414788872
CDMS-12-7C-CATRAR,29.233449477351915,-0.8818214396130595
CDMS-12-7C-DLOLO,28.458128078817733,-0.3467780199437168
CDMS-12-7C-JSZAOR,31.572115384615383,-0.175238635681075
CDMS-12-7C-MAROBE,30.661202185792348,-0.6745708496228767
CDMS-12-7C-VMAPA,28.409395973154364,-0.5372736611778052
CDMS-12-7C-VQURA,29.27635782747604,-1.0732609480917474
CDMS-13-6B-ASUMO,28.024271844660195,-0.6487799248980203
CDMS-13-6B-JDTAHE,28.84313725490196,-1.105206684841868
CDMS-13-7C-MVEAR,26.802513464991023,-1.0124979486272554
CDMS-13-7C-RAIZAC,30.00675675675676,-1.5258217752597474
CDMS-13-7C-SSOSLO,27.42920353982301,-0.9466656453285172
CDMS-14-10A-IMORTO,28.832935560859188,-1.2738750762433126
CDMS-14-10A-JCVANI,30.32745098039216,-0.4896592938984423
CDMS-14-5A-LSDUCO,26.63990267639903,-1.293862636703339
CDMS-14-6B-KDCAHE,28.26043737574553,-1.612643676291708
CDMS-15-10A-AMALOS,28.76619718309859,-1.4745067298893473
CDMS-15-10A-JJMACH,30.79475982532751,-0.3708902016041854
CDMS-15-10A-MAALCA,29.822616407982263,-0.6359149676614992
CDMS-15-10A-MAALRI,30.6280834914611,-1.168313874337821
CDMS-15-10A-SGOMO,30.462915601023017,-0.473213759675579
CDMS-15-10A-SHEGA,29.54441913439636,0.0384196493245044
CDMS-15-11B-JEMOLO,29.64010624169987,-1.3634444779514194
CDMS-15-11B-VSAHO,29.119741100323623,-1.1276484053704308
CDMS-16-10A-SGALO,30.058568329718003,-0.7942229830535641
CDMS-16-11B-NGABE,30.59351145038168,-0.5740477768231169
CDMS-17-10A-ASSAMO,31.38607594936709,-0.0702416992809351
CDMS-18-7C-VVECA,27.797927461139896,-0.8219803009631607
CDMS-8-4A-DBEVA,25.157894736842103,-0.7254277061074786
CDMS-8-4A-DJAVDA,24.35820895522388,-1.7530273607642488
CDMS-8-4A-DOSTR,26.388148148148147,-1.3228646537541242
CDMS-8-4A-LGOPA,26.477386934673365,-1.5067860990815347
CDMS-8-4C-JDBUTU,25.696629213483146,-2.031717847485289
CDMS-9-4A-ACDUTR,27.38110749185668,-0.5194841280251336
CDMS-9-4A-CARGA,28.069444444444443,-0.5704743596254234
CDMS-9-4A-CRAAG,26.062706270627064,-1.0906657095757422
CDMS-9-4A-EROHI,28.456464379947228,-1.2940348927762575
CDMS-9-4A-ILOSE,27.687830687830687,-0.5728967230801115
CDMS-9-4A-TGAFR,26.100719424460436,-1.118088097763729
CDMS-9-4C-SCAMO,31.621004566210047,-0.3427497324569355
CDMS-9-5A-ABERO,27.725409836065573,-1.8651619993209692
CDMS-9-5A-PAGACO,28.238709677419354,-1.1236711191156616
CDMS-9-5A-VVAAR,26.67452830188679,-0.962777642413017
CDMS-9-5C-JDMADE,27.837719298245613,-2.6306386303608758
CDMS-9-5C-LVIZAC,28.92950391644909,-1.0546187398179454
CDMS-9-5C-MLOGO,26.80415430267062,-0.8704871701910427
CDMS-9-5C-SCAAG,28.183050847457626,-0.8434155667248919
CDMS-XX-10A-VGILO,29.04742268041237,-1.0810618676406962
CDMS-XX-5C-MJSARU,29.17751479289941,-0.4973779891781089
CDMS-XX-5C-MPCAQU,27.25503355704698,-0.3069037576563376
CDMS-XX-6A-MAGICA,29.54823529411765,-0.3401074308894497
CDMS-XX-6B-SPUCA,29.346625766871167,-0.7392328159735588
CSO-10-4A-ICAPA,26.9324055666004,-0.7591950960862308
CSO-10-4A-KCOMO,26.408,-1.3641888304624457
CSO-10-4A-LRAVI,24.92121212121212,-0.5125063726787824
CSO-10-4A-LSCAVA,29.473509933774835,-1.993913010115544
CSO-10-5A-ACAVA,29.88118811881188,-1.0347770114620436
CSO-10-5A-ARACA,27.572559366754614,-1.8482579176848888
CSO-10-5A-DABRZA,25.900813008130083,-1.5098056852979749
CSO-10-5A-GZAMA,28.67793880837359,-0.6656012514039824
CSO-10-5A-IPECA,28.88973384030418,-0.3662310163300126
CSO-10-5A-JANORO,28.83986928104575,-1.0251086895230568
CSO-10-5A-JBUVE,29.728813559322035,-1.4982364027014932
CSO-10-5A-JJSEMO,26.852233676975946,-0.5872741387876019
CSO-10-5A-JLCARI,28.740331491712706,-0.7645654148260754
CSO-10-5A-MAARAN,26.46043165467626,-0.603935541744613
CSO-10-5A-MAOSMO,30.61862527716186,-0.7910598940083104
CSO-10-5A-RVMOIB,29.501089324618736,-0.4152454246254428
CSO-10-5A-SVHEES,27.79553903345725,-0.8500825707351963
CSO-11-5A-MDVOSPE,28.60326086956522,-0.8589562088798309
CSO-11-5A-MTAGA,30.811209439528024,-1.3917481123456077
CSO-11-6A-CAPAMU,29.44186046511628,-0.6654837214255329
CSO-11-6A-DSCACH,30.21875,-0.1427494477332694
