feature,mean_coef,std_coef,frac_nonzero
pe_T2W10,2.8086913960614863,2.0267672391027567,1.0
l2_T2W10,1.962736632173554,1.480857986813428,1.0
l3_T2W10,-1.5757701598812879,1.6244117450076085,1.0
nodes_T2W10,-1.173326576179763,1.1915443266967307,1.0
lcc_T2W10,0.7785990702991199,0.7166064711131247,1.0
re_T2W10,-0.5412068667390665,1.1341099988039773,1.0
edges_T2W10,0.3932449801351967,0.6940328136499828,1.0
diameter_T2W10,0.3791245255928324,0.5164146959660759,1.0
lsc_T2W10,0.2924066775097404,0.588456489328057,1.0
atd_T2W10,0.21661141014002347,0.2809584723621289,1.0
l1_T2W10,-0.18947276159051665,0.951758193956053,1.0
asp_T2W10,0.11712740643000737,0.30029307448503967,1.0
density_T2W10,0.009764039472826329,0.09859094025970047,1.0
