subject,nodes_T6W40,lcc_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,6.1482651819519445,-7.047056806881327,6,13.461260033413609
CDMS-10-5A-HEPIHO,9.62895089847626,-9.704365269574321,25,14.28463728724493
CDMS-10-5A-KSRAGU,0.9405548288023039,-1.23340273899855,19,14.067203748146746
CDMS-10-5A-SROPU,0.35875172848895653,-0.5839038745315939,19,14.134899512300354
CDMS-10-5A-SZURO,2.4884718333672002,-2.9614277980133963,12,13.887095693696795
CDMS-10-5B-SRAJA,-1.7359643559091509,1.7545431317914961,30,14.378630434225336
CDMS-10-5C-DAAUSA,-4.165238212290946,4.466475416699334,18,14.661288862751377
CDMS-10-5C-ICAPA,-14.52867041792748,16.294648723697318,16,16.12602996411283
CDMS-10-5C-JFALGI,-8.719788148674077,9.550970515205476,19,15.191234024874388
CDMS-10-5C-MAORTO,-12.887941919885009,14.204110279959412,28,15.676220018417393
CDMS-10-5C-NBEMO,-7.062844763310424,7.701233298782742,22,14.99844019381531
CDMS-10-6B-ASCACO,-6.197141074155512,6.7348005610263755,14,14.897711145213854
CDMS-10-6B-JJMOBE,2.519476328855187,-2.996039825006674,13,13.883488162191505
CDMS-11-4A-GACHSA,-7.601967159094023,8.303085340618827,10,15.061169839867793
CDMS-11-5A-EAARCA,-4.892229815736631,5.2780562086557135,26,14.745878051262073
CDMS-11-5A-MGTHAR,-12.95222412821293,14.27587205175459,16,15.683699581884651
CDMS-11-6A-DFVEBE,1.1636773809801004,-1.119368553931887,7,14.404360485391205
CDMS-11-6A-NMREPR,3.4833096930002574,-4.072020126951497,23,13.771341224391751
CDMS-11-6B-ARAHE,-3.220084806812872,3.4723638915511397,13,14.612330743081259
CDMS-11-6B-AVROTO,7.428222195049147,-8.475943359952996,15,13.312330493439141
CDMS-11-6B-EAFESA,1.428077227629515,-1.7776508605192871,2,14.010478025453219
CDMS-11-6B-EFRGR,-8.266395536878694,9.04482335586547,10,15.138479477329767
CDMS-11-6B-EROCO,-4.665443713490002,5.10050925479553,13,14.79511719964852
CDMS-11-6B-JACUPE,-14.568062676119903,16.786398986594953,22,16.578387968818042
CDMS-11-6B-JDCHBA,-7.634523922018781,8.339430249298347,13,15.064957985622556
CDMS-11-6B-JFSAHE,8.54798781745686,-9.644588073406927,12,13.263451402392922
CDMS-11-6B-JLPENA,-3.005294630200449,5.400437602292259,7,16.7551946304348
CDMS-11-6B-JMARME,-0.5556133423692787,0.723007971308399,8,14.52744628728211
CDMS-11-6B-JPSAMA,7.61970557369022,-8.637455516024515,0,13.342301716008695
CDMS-11-6B-LESTA,-4.846095597934862,5.226554038833687,21,14.740510099241815
CDMS-11-6B-MAGIMU,-9.509015549296073,10.432028557409302,26,15.28306466645622
CDMS-11-6B-MEBRTA,-6.933357235777582,7.556679235647088,17,14.983373658212496
CDMS-11-6B-MMAMO,5.455979273595113,-6.274219895008443,9,13.541811036929662
CDMS-11-6B-RSECA,-3.5774812432991894,3.810329920504685,1,14.592900335548487
