subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-10-4A-JURAN,-1.4461694562450589,-0.5401155357643379,0.6841579488467028,0.8215704931808112,-1.5629690048358313,-1.3343461541911803
CDMS-10-5A-HEPIHO,-1.0728801542166821,-0.919834849481099,0.05057593117846517,-0.19777411392765515,-1.5707298980410151,-1.5147050869274987
CDMS-10-5A-KSRAGU,-0.5294356876665026,0.4525310496627778,-0.5683701828086476,-1.8777170221568256,-1.3731684651297504,-0.7240230671774064
CDMS-10-5A-SROPU,2.2789896977217343,0.357599507370366,0.6926184725207822,-1.9975755634903536,1.3987203588331423,1.2043451571807517
CDMS-10-5A-SZURO,0.8153420025747571,-0.3078433446733033,-0.91337686110926,-0.5723700380250981,-0.0599778327940381,-0.09512217322253354
CDMS-10-5B-SRAJA,-1.0134539456322336,-0.8968840758780185,-1.3148379221129913,-0.5742085374415763,-1.0922890423370464,-1.327537854035222
CDMS-10-5C-DAAUSA,0.03336144193219372,-0.8275051111944167,0.558068172189395,1.0648265692620433,-0.11833065378765865,0.12426280914617394
CDMS-10-5C-ICAPA,-0.5080805694212922,0.09936333145095333,-1.1075588215707097,-0.2903341737806186,-0.7350510290203597,-0.6508194302232789
CDMS-10-5C-JFALGI,-1.018479683171697,-1.5477794182275455,-1.22451419290291,0.08870280992739199,-0.9332731753759166,-1.1627610381817577
CDMS-10-5C-MAORTO,0.46354318916068626,0.2399847806849337,-0.21448895194744283,0.1285801648084605,0.5354080867350521,0.36878934902399246
CDMS-10-5C-NBEMO,0.6229513539007289,1.741491204666824,-0.17382253747549734,0.45176857160043765,0.36325365920451785,1.0542536815182482
CDMS-10-6B-ASCACO,-0.010403056623651064,-1.4347412591021411,-1.860655411561946,0.47598277882491635,-1.618527503810453,-1.602749000979253
CDMS-10-6B-JJMOBE,0.012370233749197851,-1.0587800733499493,0.3315741900838883,0.34149457874432376,-0.43780675182895534,-0.62389235876961
CDMS-11-4A-GACHSA,2.032153402142468,-0.1804020106552335,-0.7614804952504987,0.6596971576502453,1.0135705901083565,1.8138890578120948
CDMS-11-5A-EAARCA,0.7185609908353414,-0.8365829335028934,-1.2933112312898145,-0.2940636394901087,-0.7831999705749272,-0.5981285605113095
CDMS-11-5A-MGTHAR,0.9986022266097809,-0.20671354013845877,-0.7401661052640099,-0.8445008930095024,2.1398859378802655,1.6173883479973152
CDMS-11-6A-DFVEBE,-2.0026660162179892,2.4454311195340313,-1.133347732974807,-1.2790283749781761,-0.15380359633475765,-0.5441521145797343
CDMS-11-6A-NMREPR,1.5839278211712575,-0.96269849031722,-1.1301707856554242,-1.4027735981524676,-0.10743723090045086,-0.2535952720918051
CDMS-11-6B-ARAHE,1.428624707816373,1.5456255506200978,-1.519393236240075,-0.8593515525043105,0.23440251323690878,0.41948216472941396
CDMS-11-6B-AVROTO,0.8266606519558679,-0.7290499589027348,-0.7712507446930978,-0.5548791673749711,1.053776764302843,0.23420563656562068
