feature,selected,ranking
z_asp_T6W50,True,1
z_diameter_T6W50,True,1
z_l1_T6W50,True,1
z_l2_T6W50,True,1
z_l3_T6W50,True,1
z_re_T6W50,True,1
z_density_T6W50,False,2
z_lsc_T6W50,False,3
z_pe_T6W50,False,4
