subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,-0.9337762752844231,-0.9139024051682308,-1.023587825732229,0.0,0.0,-1.2167967730896017,0.0,-0.9399090064162787,0.0,-0.9088893627776591,-0.8084830539679927,-0.7718791495319035,0.0,0.0,-0.8662584788620965,-0.7365176691695847,6,6.0
CDMS-10-5A-HEPIHO,1.4710419260375116,0.7755006410731159,0.0,0.7464338226043752,0.0,1.339225318155205,0.0,1.4981730531231467,0.7900354173276326,0.0,0.8561143913553595,0.7355291561631407,0.8196649025608815,0.0,0.0,0.8482813715996329,25,25.0
CDMS-10-5A-KSRAGU,0.8014881706822033,0.5661596293718228,0.0,0.0,0.0,0.5542994548706229,0.24486655096321996,0.424964746738505,0.27072616890984214,0.17098003201519377,0.0,0.0,0.20729299267584286,0.48656029731617845,0.0,0.15266195645656966,19,19.0
CDMS-10-5A-SROPU,0.0,0.0,0.3964078609413887,0.3766245821706281,0.0,0.17244200853181413,0.0,0.4513283804709125,0.19642778534359215,0.0,0.4505545031287311,0.0,0.47334602926115593,0.8407801652546616,0.21544795559852462,0.3066407292985914,19,19.0
CDMS-10-5A-SZURO,-0.2913549534686858,-0.38713756362053725,-0.23226625359046332,0.0,-0.20374126957506977,0.0,-0.1705614819705561,0.0,0.0,-0.2363855679702666,-0.31763845530475054,0.0,-0.3988660549712615,-0.5958444050284546,-0.28620399449995365,0.0,12,12.0
CDMS-10-5B-SRAJA,2.328931050974081,1.811628779296184,0.0,1.0993603191038968,0.0,2.073331039434273,0.0,1.400793099868995,0.0,0.0,1.1464601446580172,0.0,1.0648997852615203,1.4883269584784138,1.2191192946806135,1.247149528244007,30,30.0
CDMS-10-5C-DAAUSA,0.4618770555584053,0.35943704936202187,0.0,0.14915734356741187,0.0,0.5481970248483514,0.07597523913179365,0.6339093709702338,0.2422604330038782,0.0,0.0,0.0,0.07047789540372973,0.0,0.2422587614607239,0.09644982669345148,18,18.0
CDMS-10-5C-ICAPA,0.3620639627206624,0.43419186692010836,0.0,-0.24179053355290006,0.0,0.0,0.08892221645264257,0.3498425427160804,0.14142424840216328,0.0,-0.17807858178622685,0.0,0.09348271983051148,0.10438545163082118,0.0,-0.27444389333386177,16,16.0
CDMS-10-5C-JFALGI,0.0,0.4647814773755681,0.0,0.0,0.3343833482557456,0.281581634763794,0.23007639467274332,0.34912799474772155,0.24817842402583354,0.0,0.0,0.2926999374155624,0.6461508462144696,0.0,0.44573288419935647,0.5872870583292065,19,19.0
CDMS-10-5C-NBEMO,0.0,0.6384313064228946,0.6421752551782842,0.7547336656703256,0.6851293484535547,0.4934449226596321,0.0,0.6889155120418448,0.0,0.739628244858598,0.7543036873731509,1.0122721350501172,0.0,0.0,0.0,0.4709659222915974,22,22.0
CDMS-10-6B-ASCACO,-0.2504447705666222,-0.19220286671068978,0.36082487373094563,-0.25489202393805077,0.0,-0.3442784978066843,0.0,0.0,0.0,0.3896984092193944,-0.2777877785602027,-0.16938848131765552,0.0,0.0,-0.13026144471753676,-0.25126741933289726,14,14.0
CDMS-10-6B-JJMOBE,-0.11003699037152666,-0.5199224884649407,-0.07092170529224395,-0.1349079076911305,0.0,0.0,-0.08803459893812231,0.0,0.0,0.0,-0.18723344145382592,0.0,-0.11817019368849288,-0.6416392882731108,-0.1448179788934092,-0.10431540693319638,13,13.0
CDMS-11-5A-EAARCA,0.0,0.0,1.0024719985486448,0.9816130215654086,1.1181410321834286,0.9554470962190799,0.0,0.9138290431621936,0.0,1.2250930169771153,1.049041206442327,1.3515471736063662,0.9901219084823154,1.2926945028131214,0.0,0.0,26,26.0
CDMS-11-5A-MGTHAR,-0.5619757999779207,0.0,-0.1952511809889653,0.5513340183708056,-0.1774156661548496,0.0,0.0,0.09597932238077746,0.09408996547354687,0.0,0.5578309472247046,0.0,0.0939168865246644,0.0,0.20763034791793164,0.21386115922930535,16,16.0
CDMS-11-6A-DFVEBE,0.0,-0.8911242154475741,0.0,0.0,0.0,-0.859525460697179,-0.5658049920214134,-0.8489666738325129,-0.8227156459633606,-0.6405160656962791,0.0,-0.751525170555853,0.0,-0.7899303677803036,-1.0024305811114036,-0.9474608268941194,7,7.0
CDMS-11-6A-NMREPR,0.6223519278204853,0.9279095584669934,0.0,0.8626541710519738,0.6942022192434034,0.0,0.0,0.0,0.0,0.6415947299739361,0.9717965936375222,0.5717631903354974,0.6816138515133756,1.132272423094321,0.0,0.7738413348624911,23,23.0
CDMS-11-6B-ARAHE,0.0,0.30967432269060025,-0.08135698284062433,-0.5692836622419363,-0.11149882878180183,0.0,0.0,0.0,0.0,-0.2869673020116138,-0.5069592896351143,-0.29013795999828185,-0.2750329992186162,0.0,-0.07956454288332922,-0.22887275507928137,13,13.0
CDMS-11-6B-AVROTO,0.09473403531059277,-0.2994571264358239,0.0,0.267927689326492,-0.10495256112332438,0.25177519211618865,0.0,0.2907241403137886,0.0,-0.1613486470059447,0.0,-0.18864468501214657,0.13735567599234877,-0.4081137134821705,0.0,0.0,15,15.0
CDMS-11-6B-EAFESA,-1.2384039176416626,0.0,0.0,-1.2871058154211852,0.0,-1.176306050992812,0.0,-1.9608862984312279,-1.1254420210147333,-1.251758830236841,-1.494958333753747,0.0,-1.0607690689913039,0.0,-1.1174530566843546,-1.406916606832132,2,2.0
CDMS-11-6B-EFRGR,0.0,0.0,-0.4611200790179152,-0.7879573482918243,-0.44557416648876547,-0.306151769196652,0.0,0.0,0.0,-0.6036014891757611,-0.8429199995941798,-0.47657958046685134,-0.40128029884363986,0.0,-0.31412054082397495,-0.48069472810043545,10,10.0
CDMS-11-6B-EROCO,-0.4105976480865515,-0.2144627550654129,-0.16011472248864844,0.0,-0.09705196286802799,-0.26506863888322907,0.0,-0.2616218831541309,-0.12340726986603648,-0.3087638282529186,0.0,-0.22410878620853564,0.0,0.0,-0.05480250512650775,0.0,13,13.0
