subject,nodes_T2W40,edges_T2W40,l2_T2W40
CDMS-10-4A-JURAN,27.761467889908257,39.0,1.311926605504587
CDMS-10-5A-HEPIHO,27.72448979591837,38.83673469387755,0.4693877551020408
CDMS-10-5A-KSRAGU,28.139240506329116,39.0,0.5189873417721519
CDMS-10-5A-SROPU,29.87313432835821,39.0,0.917910447761194
CDMS-10-5A-SZURO,30.0,38.0,0.6666666666666666
CDMS-10-5B-SRAJA,27.416666666666668,39.0,0.7884615384615384
CDMS-10-5C-DAAUSA,28.669565217391305,39.0,0.5652173913043478
CDMS-10-5C-ICAPA,24.692307692307693,38.0,0.6923076923076923
CDMS-10-5C-JFALGI,30.27906976744186,39.0,0.0
CDMS-10-5C-NBEMO,30.339285714285715,37.96428571428572,1.4642857142857142
CDMS-10-6B-ASCACO,26.885057471264368,38.87356321839081,1.908045977011494
CDMS-10-6B-JJMOBE,26.75,38.0,0.0
CDMS-11-5A-EAARCA,30.26315789473684,39.0,1.2105263157894737
CDMS-11-5A-MGTHAR,30.40506329113924,38.83544303797469,0.2151898734177215
CDMS-11-6A-DFVEBE,26.043478260869566,39.0,1.0
CDMS-11-6A-NMREPR,29.924050632911392,39.0,0.1518987341772152
CDMS-11-6B-ARAHE,27.011764705882356,39.0,0.7294117647058823
CDMS-11-6B-AVROTO,29.17699115044248,39.0,0.6283185840707964
CDMS-11-6B-EAFESA,29.8876404494382,39.0,0.3707865168539326
CDMS-11-6B-EFRGR,27.64130434782609,39.0,0.6195652173913043
CDMS-11-6B-EROCO,29.471698113207548,39.0,0.8113207547169812
CDMS-11-6B-JACUPE,23.564705882352943,38.77058823529412,1.741176470588235
CDMS-11-6B-JDCHBA,27.32894736842105,38.74342105263158,0.2828947368421052
CDMS-11-6B-JFSAHE,29.87878787878788,39.0,0.5681818181818182
CDMS-11-6B-JLPENA,27.82051282051282,37.16666666666666,0.4871794871794871
CDMS-11-6B-JMARME,29.23282442748092,38.85114503816794,1.083969465648855
CDMS-11-6B-JPSAMA,31.425925925925927,39.0,0.7037037037037037
CDMS-11-6B-LESTA,29.15841584158416,38.13861386138614,0.504950495049505
CDMS-11-6B-MEBRTA,28.940594059405942,39.0,1.1584158415841583
CDMS-11-6B-MMAMO,28.502673796791445,39.0,0.481283422459893
CDMS-11-6B-RSECA,33.11764705882353,39.0,0.7254901960784313
CDMS-11-6B-SCAPA,31.94117647058824,39.0,0.0
CDMS-11-6B-VZAPE,28.821428571428573,39.0,1.4910714285714286
CDMS-11-6B-YLNIME,29.64814814814815,39.0,0.6851851851851852
CDMS-11-7C-ICARE,26.47222222222222,39.0,1.5833333333333333
CDMS-11-7C-SALMA,27.46969696969697,39.0,0.3787878787878788
CDMS-11-7C-SPGAVE,29.904761904761905,37.88095238095238,0.5714285714285714
CDMS-12-5A-SRIGO,29.301136363636363,39.0,1.125
CDMS-12-6A-FAROPA,29.00653594771242,39.0,0.5228758169934641
CDMS-12-6A-JGIGA,30.761904761904763,39.0,0.4666666666666667
CDMS-12-6A-SROAL,27.025641025641026,39.0,0.1025641025641025
CDMS-12-6B-IJDAGA,28.07179487179487,39.0,1.5333333333333334
CDMS-12-6B-SCLAG,23.03921568627451,38.78431372549019,2.843137254901961
CDMS-12-7C-CATRAR,29.678571428571427,39.0,0.0
CDMS-12-7C-DLOLO,28.864864864864863,39.0,1.7297297297297298
CDMS-12-7C-JSZAOR,26.803030303030305,38.40909090909091,0.4848484848484848
CDMS-12-7C-MAROBE,29.6046511627907,39.0,0.0
