feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_l1_T7W20,-0.09752469739288576,0.08980736165480682,1.0,341,0.8525
z_re_T7W20,-0.07614990701163693,0.07892508231547889,1.0,190,0.475
z_density_T7W20,0.06113240318177217,0.04975991558858794,1.0,395,0.9875
z_l3_T7W20,0.0317646953691658,0.05029084050207477,1.0,81,0.2025
z_l2_T7W20,-0.02727856377328285,0.022396361430426906,1.0,161,0.4025
z_asp_T7W20,-0.02700569372536501,0.03481158956332669,1.0,301,0.7525
z_diameter_T7W20,-0.02516095944821555,0.033891736462599416,1.0,279,0.6975
z_pe_T7W20,-0.020593765689123467,0.019612481258999875,1.0,147,0.3675
z_atd_T7W20,-0.012459105855523213,0.07839176306614346,1.0,59,0.1475
z_lsc_T7W20,0.0022825882121153885,0.039909097284352116,1.0,46,0.115
