subject,z_re_T2W40,z_l2_T2W40
CDMS-10-4A-JURAN,3.167076694803133,0.1997630347707178
CDMS-10-5A-HEPIHO,2.5857604422708924,-0.7502123928159287
CDMS-10-5A-KSRAGU,3.7754772715328735,-0.6013182459374804
CDMS-10-5A-SROPU,4.7517655854414125,-0.1410652113870167
CDMS-10-5A-SZURO,2.076500517481503,-0.177104131485003
CDMS-10-5B-SRAJA,4.452086522002063,-0.3793758625852362
CDMS-10-5C-DAAUSA,3.5708486807674324,-0.507963589434277
CDMS-10-5C-ICAPA,5.184889027771749,-0.7995219124205892
CDMS-10-5C-JFALGI,1.7638394062204434,-0.8828697885909936
CDMS-10-5C-NBEMO,0.491403862083808,0.6408029612020935
CDMS-10-6B-ASCACO,2.464563789261089,0.3046863008121194
CDMS-10-6B-JJMOBE,4.052866401005487,-1.1797913387192664
CDMS-11-5A-EAARCA,3.0605138178599645,0.455273908475408
CDMS-11-5A-MGTHAR,1.398393091287524,-0.7934639757599468
CDMS-11-6A-DFVEBE,1.857269260222192,-0.4128511444053333
CDMS-11-6A-NMREPR,4.146912016216807,-0.8064913468887499
CDMS-11-6B-ARAHE,5.398283488473893,-0.6018963386862565
CDMS-11-6B-AVROTO,1.4450452852779123,-0.3360492475618479
CDMS-11-6B-EAFESA,4.242028785308428,-0.4427769162616138
CDMS-11-6B-EFRGR,4.31188624527559,-0.4667383547157691
CDMS-11-6B-EROCO,2.137227884611316,-0.3457145049013232
CDMS-11-6B-JACUPE,2.295399444215674,-0.3228547295696771
CDMS-11-6B-JDCHBA,3.5912882004008275,-0.9227338059801936
CDMS-11-6B-JFSAHE,3.695841881316893,-0.2726339369286283
CDMS-11-6B-JLPENA,2.1598188285614235,-0.6366397403593647
CDMS-11-6B-JMARME,2.73926025836902,0.1793899180199681
CDMS-11-6B-JPSAMA,-0.4009675220305119,-0.0960069277387752
CDMS-11-6B-LESTA,4.098623505146285,-0.3587018117278867
CDMS-11-6B-MEBRTA,3.857748893968316,0.3517884149836294
CDMS-11-6B-MMAMO,2.823277542730774,-0.5387039806129715
CDMS-11-6B-RSECA,3.404664304260562,0.3450876995021059
CDMS-11-6B-SCAPA,2.9832959318762304,-0.8232603467437972
CDMS-11-6B-VZAPE,0.599417015188186,0.6319919368291101
CDMS-11-6B-YLNIME,1.25120042024448,-0.144341178735225
CDMS-11-7C-ICARE,3.93879946846233,0.2493383654153694
CDMS-11-7C-SALMA,4.830555445511052,-0.6878481020098357
CDMS-11-7C-SPGAVE,1.3449180809900267,-0.0045669330419266
CDMS-12-5A-SRIGO,4.796947453709456,0.2606162928763824
CDMS-12-6A-FAROPA,1.469625465689582,-0.6451227464280153
CDMS-12-6A-JGIGA,0.9177718464059056,-0.3777436167401028
