subject,z_re_T2W40,z_l2_T2W40,y_true,y_pred
CDMS-10-4A-JURAN,-0.3873684210526318,-0.18000000000000105,2,4.894736842105263
CDMS-10-5A-HEPIHO,-0.755789473684211,-0.5484210526315794,7,4.157894736842105
CDMS-10-5A-KSRAGU,-0.025789473684211472,0.4057894736842105,5,5.842105263157895
CDMS-10-5A-SROPU,0.6747368421052631,-0.2947368421052641,6,5.842105263157895
CDMS-10-5A-SZURO,0.5673684210526315,-0.24000000000000066,5,5.7894736842105265
CDMS-10-5B-SRAJA,-0.6257894736842107,-0.2573684210526328,13,4.578947368421052
CDMS-10-5C-DAAUSA,0.20736842105263076,0.17263157894736825,8,5.842105263157895
CDMS-10-5C-ICAPA,1.4715789473684202,0.17157894736842128,7,7.105263157894737
CDMS-10-5C-JFALGI,0.22842105263157864,-0.26947368421052653,10,5.421052631578948
CDMS-10-5C-NBEMO,-0.5636842105263153,0.5226315789473674,5,5.421052631578948
CDMS-10-6B-ASCACO,-0.1347368421052635,0.09368421052631559,6,5.421052631578948
CDMS-10-6B-JJMOBE,-0.3794736842105264,0.8647368421052626,1,5.947368421052632
CDMS-11-5A-EAARCA,-0.1900000000000026,0.5173684210526335,8,5.7894736842105265
CDMS-11-5A-MGTHAR,-0.16473684210526374,-0.0868421052631585,9,5.2105263157894735
CDMS-11-6A-DFVEBE,0.5905263157894725,0.0,1,6.052631578947368
CDMS-11-6A-NMREPR,-0.8047368421052643,0.4478947368421058,8,5.105263157894737
CDMS-11-6B-ARAHE,1.5868421052631576,-0.10157894736842144,5,6.947368421052632
CDMS-11-6B-AVROTO,-0.05631578947368432,-0.40578947368421137,8,5.0
CDMS-11-6B-EAFESA,-1.087368421052632,-0.2168421052631584,0,4.157894736842105
CDMS-11-6B-EFRGR,-1.0205263157894748,-0.2310526315789474,3,4.2105263157894735
CDMS-11-6B-EROCO,0.3621052631578947,-0.35052631578947446,6,5.473684210526316
CDMS-11-6B-JACUPE,0.3326315789473684,-0.26842105263158,9,5.526315789473684
CDMS-11-6B-JDCHBA,0.36999999999999744,0.6415789473684228,3,6.473684210526316
CDMS-11-6B-JFSAHE,-0.3973684210526325,-0.485789473684211,3,4.578947368421052
CDMS-11-6B-JLPENA,-0.22368421052631682,-0.5542105263157895,4,4.684210526315789
CDMS-11-6B-JMARME,0.1852631578947359,0.3526315789473684,5,6.0
CDMS-11-6B-JPSAMA,0.028421052631578014,-0.22736842105263122,0,5.2631578947368425
CDMS-11-6B-LESTA,-1.1463157894736846,-0.2631578947368429,8,4.052631578947368
CDMS-11-6B-MEBRTA,-1.5452631578947371,-0.7589473684210533,8,3.1578947368421053
CDMS-11-6B-MMAMO,-0.5847368421052632,-0.40368421052631653,2,4.473684210526316
CDMS-11-6B-RSECA,-0.2531578947368418,-0.20894736842105388,1,5.0
CDMS-11-6B-SCAPA,-0.6000000000000019,-0.1252631578947363,5,4.7368421052631575
CDMS-11-6B-VZAPE,-0.5305263157894742,0.5421052631578944,8,5.473684210526316
CDMS-11-6B-YLNIME,0.026842105263158444,-0.22578947368421165,0,5.2631578947368425
CDMS-11-7C-ICARE,-1.617894736842105,-0.6336842105263167,7,3.210526315789474
CDMS-11-7C-SALMA,0.7231578947368407,0.07789473684210613,7,6.2631578947368425
CDMS-11-7C-SPGAVE,0.10368421052631627,-0.14473684210526416,5,5.421052631578948
CDMS-12-5A-SRIGO,0.6026315789473684,0.04052631578947308,7,6.105263157894737
CDMS-12-6A-FAROPA,-0.4115789473684224,-0.4715789473684211,5,4.578947368421052
CDMS-12-6A-JGIGA,-0.5221052631578948,-0.25578947368421145,1,4.684210526315789
CDMS-12-6A-SROAL,-0.8263157894736852,0.25894736842105237,10,4.894736842105263
CDMS-12-6B-IJDAGA,-0.12368421052631673,0.18789473684210511,10,5.526315789473684
CDMS-12-6B-SCLAG,-0.11947368421052751,0.3415789473684212,14,5.684210526315789
CDMS-12-7C-CATRAR,-0.5557894736842108,-0.011578947368422021,6,4.894736842105263
CDMS-12-7C-DLOLO,-0.043157894736841396,0.8968421052631563,10,6.315789473684211
CDMS-12-7C-JSZAOR,-0.5536842105263169,0.6178947368421053,5,5.526315789473684
CDMS-12-7C-MAROBE,-0.09842105263158096,-0.10052631578947224,2,5.2631578947368425
CDMS-12-7C-VMAPA,-0.9042105263157922,0.3368421052631594,4,4.894736842105263
CDMS-12-7C-VQURA,-0.4426315789473705,-0.1773684210526305,4,4.842105263157895
CDMS-13-6B-JDTAHE,-0.7852631578947373,-0.20315789473684243,8,4.473684210526316
CDMS-13-7C-MVEAR,0.2657894736842099,1.3247368421052625,9,7.052631578947368
CDMS-13-7C-RAIZAC,-0.08947368421052637,-0.16210526315789586,4,5.2105263157894735
CDMS-13-7C-SSOSLO,0.12578947368421023,1.4647368421052622,10,7.052631578947368
CDMS-14-10A-IMORTO,0.6252631578947367,-0.1926315789473696,6,5.894736842105263
CDMS-14-10A-JCVANI,-0.4284210526315806,-0.40210526315789386,10,4.631578947368421
CDMS-14-6B-KDCAHE,-0.6631578947368415,-0.2726315789473701,8,4.526315789473684
CDMS-15-10A-AMALOS,-0.433684210526315,-0.29157894736842316,5,4.7368421052631575
CDMS-15-10A-JJMACH,-1.2994736842105266,-0.7415789473684218,1,3.4210526315789473
CDMS-15-10A-MAALCA,-0.6615789473684215,1.0415789473684205,6,5.842105263157895
CDMS-15-10A-MAALRI,-0.6589473684210541,-0.5399999999999991,5,4.2631578947368425
CDMS-15-10A-SGOMO,0.4331578947368415,0.683684210526315,4,6.578947368421052
CDMS-15-10A-SHEGA,0.2605263157894724,0.33000000000000007,7,6.052631578947368
CDMS-15-11B-JEMOLO,1.40473684210526,-0.34052631578947157,6,6.526315789473684
CDMS-15-11B-VSAHO,0.8973684210526311,0.8510526315789466,4,7.2105263157894735
CDMS-16-10A-SGALO,-0.3321052631578949,-0.07736842105263264,7,5.052631578947368
CDMS-16-11B-NGABE,0.20421052631579117,0.4389473684210503,12,6.105263157894737
CDMS-17-10A-ASSAMO,-0.597894736842107,-0.0747368421052621,6,4.7894736842105265
CDMS-18-7C-VVECA,1.24894736842105,-0.026842105263156224,4,6.684210526315789
CDMS-8-4A-DJAVDA,-0.17052631578947341,0.12947368421052552,2,5.421052631578948
CDMS-8-4A-DOSTR,-0.8026315789473695,-0.13315789473684214,9,4.526315789473684
CDMS-8-4A-LGOPA,0.23684210526315663,0.3536842105263158,6,6.052631578947368
CDMS-8-4C-JDBUTU,-0.6489473684210534,-0.33947368421052637,3,4.473684210526316
CDMS-9-4A-ACDUTR,0.05578947368421039,-0.20210526315789545,3,5.315789473684211
CDMS-9-4A-CARGA,-0.5363157894736865,-0.2942105263157879,3,4.631578947368421
CDMS-9-4A-CRAAG,1.6115789473684203,-0.1789473684210532,14,6.894736842105263
CDMS-9-4A-EROHI,-1.625789473684211,-0.8889473684210534,2,2.9473684210526314
CDMS-9-4A-ILOSE,0.2173684210526301,0.0047368421052635945,1,5.684210526315789
CDMS-9-4A-TGAFR,-0.04736842105263106,-0.046315789473685864,2,5.368421052631579
CDMS-9-4C-SCAMO,-0.9178947368421053,-0.6494736842105271,1,3.8947368421052633
CDMS-9-5A-ABERO,-0.07052631578947377,0.7663157894736834,6,6.157894736842105
CDMS-9-5A-VVAAR,-0.6078947368421064,-0.06473684210526276,2,4.7894736842105265
CDMS-9-5C-JDMADE,-1.3152631578947378,-0.4099999999999999,6,3.736842105263158
CDMS-9-5C-LVIZAC,-1.2100000000000009,-0.41000000000000014,2,3.8421052631578947
CDMS-9-5C-MLOGO,-0.2736842105263153,-0.504210526315791,5,4.684210526315789
