feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_diameter_T7W30,-0.07219101415569901,0.2041605645933572,1.0,400,1.0
z_density_T7W30,-0.04424600103996191,0.11979963499106988,1.0,400,1.0
z_l1_T7W30,0.03524820859012422,0.051620715497814065,1.0,400,1.0
z_re_T7W30,0.030404480234379822,0.06033371628444556,1.0,400,1.0
z_l2_T7W30,-0.022663477170457948,0.055967661141371104,1.0,400,1.0
z_lsc_T7W30,-0.016595909725652,0.08337037097348006,1.0,400,1.0
z_asp_T7W30,-0.010660936723422648,0.05416232697311625,1.0,400,1.0
z_pe_T7W30,-0.006697555773169991,0.057143749248705314,1.0,400,1.0
z_l3_T7W30,0.00435051812760443,0.036479285718289456,1.0,400,1.0
z_lcc_T7W30,2.1879706015405233e-17,5.563457053681378e-16,0.0,400,1.0
z_atd_T7W30,-1.0468715973257264e-18,3.732293987621673e-17,0.0,400,1.0
z_edges_T7W30,0.0,0.0,0.0,400,1.0
z_nodes_T7W30,0.0,0.0,0.0,400,1.0
