feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_lsc_T6W40,-0.1215426015275882,0.21625641100028334,1.0,223,0.5575
z_l3_T6W40,0.10625076158650372,0.11855957815736491,1.0,302,0.755
z_l2_T6W40,-0.09435209959210267,0.09123625611020085,1.0,290,0.725
z_l1_T6W40,-0.08775351939730386,0.09936094372151746,1.0,225,0.5625
z_asp_T6W40,0.07709077915624622,0.07036712205341472,1.0,185,0.4625
z_pe_T6W40,-0.06057011857786106,0.06912875744294714,1.0,132,0.33
z_diameter_T6W40,0.05999859000035748,0.12919193425789194,1.0,183,0.4575
z_atd_T6W40,-0.05258094198824813,0.1305638038860195,1.0,150,0.375
z_re_T6W40,0.049584488287352464,0.08878013796217041,1.0,167,0.4175
z_density_T6W40,0.023075455974914855,0.06689465191445064,1.0,143,0.3575
