file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-11-5A-EAARCA,4,4,11,14,2,0,0,0,0,9,1,2.5454545454545454,0.21818181818181817,3.0,1.8611111111111112,0.6825396825396826
CDMS-11-5A-EAARCA,5,4,11,19,5,0,2,0,0,11,1,3.4545454545454546,0.23636363636363636,4.0,2.0545454545454547,0.5551948051948051
CDMS-11-5A-EAARCA,6,4,12,17,4,0,2,0,0,10,1,2.8333333333333335,0.18181818181818182,3.0,1.9111111111111112,0.40714285714285714
CDMS-11-5A-EAARCA,7,4,10,13,3,0,2,0,0,8,1,2.6,0.2,4.0,2.1785714285714284,0.2625
CDMS-11-5A-EAARCA,8,4,9,11,3,0,2,0,0,7,1,2.4444444444444446,0.19444444444444445,4.0,2.1904761904761907,0.0
CDMS-11-5A-MGTHAR,0,4,22,35,12,0,6,0,0,13,1,3.1818181818181817,0.09523809523809523,5.0,2.269230769230769,0.37728937728937734
CDMS-11-6A-NMREPR,0,4,17,16,0,0,0,0,0,8,1,1.8823529411764706,0.11764705882352941,4.0,1.8928571428571428,0.35833333333333334
CDMS-11-6A-NMREPR,1,4,18,20,0,0,0,0,0,13,1,2.2222222222222223,0.13071895424836602,4.0,2.141025641025641,0.36538461538461536
CDMS-11-6A-NMREPR,2,4,15,17,0,0,0,0,0,10,1,2.2666666666666666,0.1619047619047619,3.0,1.8,0.47738095238095235
CDMS-11-6B-ARAHE,0,4,8,6,0,0,0,0,0,3,1,1.5,0.21428571428571427,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,1,4,7,6,1,0,0,0,0,3,1,1.7142857142857142,0.23809523809523808,1.0,1.0,1.0
CDMS-11-6B-ARAHE,2,4,10,10,1,0,0,0,0,6,1,2.0,0.2,2.0,1.5333333333333334,0.7000000000000001
CDMS-11-6B-ARAHE,3,4,11,14,3,0,0,0,0,7,1,2.5454545454545454,0.2,2.0,1.5714285714285714,0.6952380952380952
CDMS-11-6B-ARAHE,4,4,11,13,2,0,0,0,0,9,1,2.3636363636363638,0.2,5.0,2.25,0.31851851851851853
CDMS-11-6B-ARAHE,5,4,11,15,2,0,0,0,0,11,1,2.727272727272727,0.23636363636363636,5.0,2.327272727272727,0.4303030303030303
CDMS-11-6B-ARAHE,6,4,10,12,2,0,0,0,0,8,1,2.4,0.2222222222222222,4.0,2.0,0.44166666666666665
CDMS-11-6B-ARAHE,7,4,12,13,1,0,0,0,0,9,1,2.1666666666666665,0.18181818181818182,6.0,2.7222222222222223,0.4444444444444444
CDMS-11-6B-AVROTO,0,4,20,25,7,0,1,0,0,11,1,2.5,0.08947368421052632,4.0,2.0727272727272728,0.12445887445887446
