file,window,wc,nodes,edges,re,pe,l1,l2,l3,lcc,lsc,atd,density,diameter,asp,cc
CDMS-11-4A-GACHSA,3,3,8,7,0,0,0,0,0,8,1,1.75,0.25,5.0,2.4285714285714284,0.0
CDMS-11-4A-GACHSA,4,3,10,10,1,0,0,0,0,10,1,2.0,0.2,6.0,2.8,0.0
CDMS-11-4A-GACHSA,5,3,12,10,1,0,0,0,0,5,1,1.6666666666666667,0.13636363636363635,3.0,1.8,0.0
CDMS-11-4A-GACHSA,6,3,8,7,1,0,0,0,0,5,1,1.75,0.21428571428571427,3.0,1.8,0.0
CDMS-11-4A-GACHSA,7,3,5,4,1,0,0,0,0,3,1,1.6,0.3,2.0,1.3333333333333333,0.0
CDMS-11-4A-GACHSA,8,3,7,4,0,0,0,0,0,3,1,1.1428571428571428,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,0,3,13,11,1,0,0,0,0,7,1,1.6923076923076923,0.1282051282051282,5.0,2.380952380952381,0.0
CDMS-11-5A-EAARCA,1,3,10,7,0,0,0,0,0,6,1,1.4,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-11-5A-EAARCA,2,3,11,6,0,0,0,0,0,3,1,1.0909090909090908,0.10909090909090909,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,3,3,8,6,1,0,0,0,0,3,1,1.5,0.17857142857142858,2.0,1.3333333333333333,0.0
CDMS-11-5A-EAARCA,4,3,9,9,2,0,0,0,0,7,1,2.0,0.19444444444444445,4.0,2.2857142857142856,0.0
CDMS-11-5A-EAARCA,5,3,9,10,2,0,0,0,0,9,1,2.2222222222222223,0.2222222222222222,4.0,2.4444444444444446,0.0
CDMS-11-5A-EAARCA,6,3,8,10,3,0,0,0,0,8,1,2.5,0.25,4.0,2.2857142857142856,0.0
CDMS-11-5A-EAARCA,7,3,9,9,2,0,0,0,0,7,1,2.0,0.19444444444444445,4.0,2.0952380952380953,0.0
CDMS-11-5A-EAARCA,8,3,8,8,2,0,0,0,0,6,1,2.0,0.21428571428571427,4.0,2.1333333333333333,0.0
CDMS-11-5A-EAARCA,9,3,8,5,0,0,0,0,0,4,1,1.25,0.17857142857142858,2.0,1.5,0.0
CDMS-11-5A-MGTHAR,0,3,19,21,6,0,0,0,0,10,1,2.210526315789474,0.08771929824561403,4.0,2.1777777777777776,0.0
CDMS-11-5A-MGTHAR,1,3,20,21,6,0,0,0,0,11,1,2.1,0.07894736842105263,5.0,2.5454545454545454,0.0
CDMS-11-6A-NMREPR,0,3,13,8,0,0,0,0,0,4,1,1.2307692307692308,0.10256410256410256,3.0,1.6666666666666667,0.0
CDMS-11-6A-NMREPR,1,3,13,10,0,0,0,0,0,8,1,1.5384615384615385,0.1282051282051282,4.0,2.25,0.0
CDMS-11-6A-NMREPR,2,3,15,12,0,0,0,0,0,10,1,1.6,0.11428571428571428,4.0,2.2888888888888888,0.0
CDMS-11-6A-NMREPR,3,3,11,9,0,0,0,0,0,9,1,1.6363636363636365,0.16363636363636364,4.0,2.2777777777777777,0.0
CDMS-11-6B-ARAHE,0,3,4,2,0,0,0,0,0,2,1,1.0,0.3333333333333333,1.0,1.0,0.0
CDMS-11-6B-ARAHE,1,3,7,4,0,0,0,0,0,3,1,1.1428571428571428,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,2,3,7,5,1,0,0,0,0,3,1,1.4285714285714286,0.19047619047619047,2.0,1.3333333333333333,0.0
CDMS-11-6B-ARAHE,3,3,8,7,1,0,0,0,0,6,1,1.75,0.21428571428571427,4.0,2.066666666666667,0.0
CDMS-11-6B-ARAHE,4,3,10,8,1,0,0,0,0,6,1,1.6,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-11-6B-ARAHE,5,3,9,10,2,0,0,0,0,9,1,2.2222222222222223,0.2222222222222222,7.0,3.0,0.0
CDMS-11-6B-ARAHE,6,3,9,9,2,0,0,0,0,7,1,2.0,0.19444444444444445,4.0,2.2857142857142856,0.0
CDMS-11-6B-ARAHE,7,3,9,6,0,0,0,0,0,5,1,1.3333333333333333,0.16666666666666666,4.0,2.0,0.0
CDMS-11-6B-ARAHE,8,3,10,8,1,0,0,0,0,5,1,1.6,0.15555555555555556,3.0,1.8,0.0
CDMS-11-6B-AVROTO,0,3,15,18,6,0,0,0,0,10,1,2.4,0.11428571428571428,5.0,2.3777777777777778,0.0
CDMS-11-6B-AVROTO,1,3,16,18,6,0,0,0,0,10,1,2.25,0.1,4.0,2.111111111111111,0.0
CDMS-11-6B-EAFESA,0,3,12,8,0,0,0,0,0,6,1,1.3333333333333333,0.12121212121212122,4.0,2.066666666666667,0.0
CDMS-11-6B-EAFESA,1,3,8,5,0,0,0,0,0,4,1,1.25,0.17857142857142858,3.0,1.6666666666666667,0.0
CDMS-11-6B-EAFESA,2,3,12,10,0,0,0,0,0,10,1,1.6666666666666667,0.15151515151515152,4.0,2.3777777777777778,0.0
CDMS-11-6B-EFRGR,0,3,8,5,0,0,0,0,0,3,1,1.25,0.17857142857142858,2.0,1.3333333333333333,0.0
CDMS-11-6B-EFRGR,1,3,11,10,1,0,0,0,0,6,1,1.8181818181818181,0.16363636363636364,3.0,1.8,0.0
CDMS-11-6B-EFRGR,2,3,12,11,1,0,0,0,0,7,1,1.8333333333333333,0.15151515151515152,4.0,2.0,0.0
CDMS-11-6B-EFRGR,3,3,10,8,1,0,0,0,0,6,1,1.6,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-11-6B-EFRGR,4,3,13,11,2,0,0,0,0,6,1,1.6923076923076923,0.11538461538461539,4.0,2.066666666666667,0.0
CDMS-11-6B-EFRGR,5,3,10,9,2,0,0,0,0,6,1,1.8,0.15555555555555556,4.0,2.066666666666667,0.0
CDMS-11-6B-EFRGR,6,3,11,10,2,0,0,0,0,6,1,1.8181818181818181,0.14545454545454545,4.0,2.066666666666667,0.0
CDMS-11-6B-EFRGR,7,3,8,6,1,0,0,0,0,3,1,1.5,0.17857142857142858,2.0,1.3333333333333333,0.0
CDMS-11-6B-EFRGR,8,3,9,7,1,0,0,0,0,3,1,1.5555555555555556,0.16666666666666666,2.0,1.3333333333333333,0.0
CDMS-11-6B-EROCO,0,3,9,8,1,0,0,0,0,7,1,1.7777777777777777,0.19444444444444445,4.0,2.1904761904761907,0.0
CDMS-11-6B-EROCO,1,3,8,7,1,0,0,0,0,6,1,1.75,0.21428571428571427,3.0,1.9333333333333333,0.0
CDMS-11-6B-EROCO,2,3,9,7,0,0,0,0,0,7,1,1.5555555555555556,0.19444444444444445,3.0,2.0,0.0
CDMS-11-6B-JACUPE,0,3,14,20,5,0,0,0,0,14,1,2.857142857142857,0.16483516483516483,4.0,2.3956043956043955,0.0
CDMS-11-6B-JACUPE,1,3,10,15,4,0,0,0,0,10,1,3.0,0.24444444444444444,4.0,2.1333333333333333,0.0
CDMS-11-6B-JDCHBA,0,3,17,15,2,0,0,0,0,8,1,1.7647058823529411,0.09558823529411764,4.0,2.2142857142857144,0.0
CDMS-11-6B-JDCHBA,1,3,20,18,2,0,0,0,0,12,1,1.8,0.08421052631578947,4.0,2.484848484848485,0.0
CDMS-11-6B-JDCHBA,2,3,12,12,2,0,0,0,0,10,1,2.0,0.15151515151515152,4.0,2.422222222222222,0.0
CDMS-11-6B-JDCHBA,3,3,13,14,3,0,0,0,0,10,1,2.1538461538461537,0.14102564102564102,4.0,2.422222222222222,0.0
CDMS-11-6B-JDCHBA,4,3,11,12,3,0,0,0,0,8,1,2.1818181818181817,0.16363636363636364,6.0,2.7142857142857144,0.0
CDMS-11-6B-JFSAHE,0,3,9,6,0,0,0,0,0,5,1,1.3333333333333333,0.16666666666666666,4.0,2.0,0.0
CDMS-11-6B-JFSAHE,1,3,11,8,1,0,0,0,0,3,1,1.4545454545454546,0.12727272727272726,2.0,1.3333333333333333,0.0
