subject,edges_T2W20,l1_T2W20,lcc_T2W20,z_l3_T2W20,z_asp_T2W20
CDMS-10-4A-JURAN,0.5283025107261066,-0.3077750634674238,0.21428895661124306,-0.138724461550163,0.6529251440062606
CDMS-10-5A-HEPIHO,0.06603901162467352,-0.9475782693391982,-0.09349287701384858,-0.14949269668902201,-1.149709460625322
CDMS-10-5A-KSRAGU,0.5283025107261066,0.43458033090532894,-0.22168369443265046,0.2857084552711367,-0.12871902574666413
CDMS-10-5A-SROPU,0.5283025107261066,-0.3270172651477779,0.4128278782916841,-0.5400842387301181,0.4130317730219467
CDMS-10-5A-SZURO,-0.6575038565340876,-0.9475782693391982,0.14158589260944457,-1.3387112822622484,-1.2398953216996493
CDMS-10-5B-SRAJA,0.5283025107261066,-0.44160949603539823,-0.21749352366937644,1.7981882293246192,0.5799258382292594
CDMS-10-5C-DAAUSA,0.5283025107261066,-0.6901603713042387,-0.046255211810249004,1.0364061925518557,-0.24807866342972196
CDMS-10-5C-ICAPA,-1.4345663623523275,1.8825560073519765,-0.2803460851184869,-1.0247450846846637,0.07629844528522078
CDMS-10-5C-JFALGI,0.5283025107261066,-0.9475782693391982,1.08804396700211,0.11197412394800398,-1.9584276313849913
CDMS-10-5C-MAORTO,-2.5020915389388527,-0.9475782693391982,0.4822649937973664,-0.9566872259379532,-1.622797071470705
CDMS-10-5C-NBEMO,-1.1762941422104323,0.13840348799578744,0.14870534751042921,-0.5709007168056269,-0.24004708224647237
CDMS-10-6B-ASCACO,0.17782469423448208,0.5951247878095663,-0.3870192174470667,-0.7291812776305293,0.5699421554834244
CDMS-10-6B-JJMOBE,-1.3893687238274997,-0.9475782693391982,0.055915118634245364,-1.2359267369229578,-1.9588175597269524
CDMS-11-5A-EAARCA,0.5283025107261066,0.012126539468463537,0.5985665939361436,0.545851137334757,-0.11594901389196877
CDMS-11-5A-MGTHAR,0.08063066248014623,0.017738848291900085,0.09676928357616718,-0.2580067903621105,-0.7427628534392862
CDMS-11-6A-DFVEBE,0.5283025107261066,0.26468043652311135,-0.6989733781190607,2.1670351463170796,1.5442737516004739
CDMS-11-6A-NMREPR,0.5283025107261066,0.5881535087102765,0.2811367971602187,3.0844129569293925,1.2736767208446
CDMS-11-6B-ARAHE,0.5283025107261066,1.2129538584114576,-0.5696001889663839,-0.21232747339692756,0.6939869320399074
CDMS-11-6B-AVROTO,0.5283025107261066,-0.3270172651477779,0.43721278183133694,0.32400152547026495,-0.8349042398123838
CDMS-11-6B-EAFESA,0.5283025107261066,0.9454174544557309,0.6733982876964308,-1.2277637564828003,0.8337909033682427
CDMS-11-6B-EFRGR,0.5283025107261066,1.0966226856443038,-0.14133100803104617,-0.7299946655746113,0.6161002640938122
CDMS-11-6B-EROCO,0.5283025107261066,1.759937892783643,0.1539392846750815,0.33805330221382945,0.9199628555039037
CDMS-11-6B-JACUPE,0.18738318013879393,2.23034729423055,-1.9712784698725083,-0.8000085465579184,0.6021453282470017
CDMS-11-6B-JDCHBA,0.1517055757750116,0.4919789438722943,-0.3806178459419475,2.181081703152936,0.4351204594660274
CDMS-11-6B-JFSAHE,0.5283025107261066,-0.6760828300054518,0.9237766710644395,-0.40186025648724893,-0.7602461492008942
CDMS-11-6B-JLPENA,-3.228767663093209,0.7368015991803714,-2.1684883392631393,-0.41081889026871654,0.2610510459795598
CDMS-11-6B-JMARME,0.2986050894084202,0.13070148971681578,0.3949846283240644,-0.2223868741313492,0.3806961572303792
CDMS-11-6B-JPSAMA,0.5283025107261066,-0.3899119615185301,0.9444295042006332,0.34776914539247833,-0.6056236816407176
CDMS-11-6B-LESTA,-1.077681112701713,-0.12187313153077947,-0.7900232197785314,-0.24168821030877366,-0.3938629873048034
CDMS-11-6B-MAGIMU,0.5283025107261066,2.672360921777421,0.2057137234212891,-1.4204837326826212,1.8874228533800916
CDMS-11-6B-MEBRTA,0.5283025107261066,1.7808387077668817,0.01220401908100088,-0.8377818895220811,1.7946038960111996
CDMS-11-6B-MMAMO,0.5283025107261066,-0.09767950272920942,0.22174568112425022,-0.05804383877957189,-0.02764651946044235
CDMS-11-6B-RSECA,0.5283025107261066,-0.3663485963993468,1.1587119978627969,0.6487457154487023,-0.2647507594882434
CDMS-11-6B-SCAPA,0.5283025107261066,-0.9475782693391982,1.0028765383031542,1.1499812478493896,-0.7398800838825531
